model,class_id,class_name,ap50_95
YOLOv8n-M4,0,tent,0.7449189727090878
YOLOv8n-M4,1,tank,0.5675035442450131
YOLOv8n-M4,2,tower,0.6334142273108048
YOLOv8n-M4,3,container,0.697817581406429
YOLOv8n-M4,4,whitevan,0.5357228855060376
YOLOv8n-M4,5,suv,0.6820723626530234
YOLOv8n-M4,6,male,0.4995095394190585
YOLOv8n-M4,7,rock,0.6432804730505508
YOLOv8n-M4,8,barrel,0.537023721976836
YOLOv8n-M4,9,tree,0.6951686718214677
YOLOv8l-M4,0,tent,0.7895501049974556
YOLOv8l-M4,1,tank,0.6034699414055863
YOLOv8l-M4,2,tower,0.6789974621826975
YOLOv8l-M4,3,container,0.7324275061668066
YOLOv8l-M4,4,whitevan,0.5841552795594666
YOLOv8l-M4,5,suv,0.7349022669528429
YOLOv8l-M4,6,male,0.5978425092431404
YOLOv8l-M4,7,rock,0.6953118111730551
YOLOv8l-M4,8,barrel,0.6485829725815471
YOLOv8l-M4,9,tree,0.7366658586406897
