image,precision,recall,f1,ap50,ap50_95,tp,fp,fn,num_gt,num_pred
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_1-elhigh-radfar-az270.png,1.0,1.0,1.0,1.0,0.946875,4.0,0.0,0.0,4.0,4.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_1-elhigh-radmid-az045.png,0.8,1.0,0.888888888888889,1.0,0.8725000008940696,4.0,1.0,0.0,4.0,5.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_1-elhigh-radnear-az090.png,0.8,1.0,0.888888888888889,1.0,0.8850000008940697,4.0,1.0,0.0,4.0,5.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_1-ellow-radfar-az135.png,0.3333333333333333,1.0,0.5,1.0,0.886458333581686,4.0,8.0,0.0,4.0,12.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_1-ellow-radmid-az135.png,0.15384615384615385,0.5714285714285714,0.24242424242424246,0.6043956292035815,0.5318681523121974,4.0,22.0,3.0,7.0,26.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_1-ellow-radnear-az090.png,0.24324324324324326,0.75,0.3673469387755103,0.7577444964668878,0.4098571415969513,18.0,56.0,6.0,24.0,74.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_1-ellow-radnear-az135.png,0.2711864406779661,0.7619047619047619,0.4,0.7529056978764439,0.38035623542888736,16.0,43.0,5.0,21.0,59.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_1-ellow-radnear-az270.png,0.20652173913043478,0.59375,0.3064516129032258,0.5010146989952773,0.25489727779640814,19.0,73.0,13.0,32.0,92.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_1-elmid-radfar-az225.png,1.0,1.0,1.0,1.0,0.9072916671633721,4.0,0.0,0.0,4.0,4.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_1-elmid-radmid-az090.png,1.0,1.0,1.0,1.0,0.84375,4.0,0.0,0.0,4.0,4.0
