split,class_name,scene_id,episode_id,focus_object,file_name,image_path,label_path,view_idx,azimuth_deg,azimuth_bin,radius_m,radius_name,radius_bin,elevation_z_off,elevation_name,elevation_bin
train,tent,S0,S0_SM_tent_1,SM_tent_1,S0-SM_tent_1-ellow-radnear-az000.png,images/train/S0-SM_tent_1-ellow-radnear-az000.png,labels/train/S0-SM_tent_1-ellow-radnear-az000.txt,0,0,0,10.0,near,0,-2.0,low,0
train,tent,S0,S0_SM_tent_1,SM_tent_1,S0-SM_tent_1-ellow-radnear-az045.png,images/train/S0-SM_tent_1-ellow-radnear-az045.png,labels/train/S0-SM_tent_1-ellow-radnear-az045.txt,1,45,1,10.0,near,0,-2.0,low,0
train,tent,S0,S0_SM_tent_1,SM_tent_1,S0-SM_tent_1-ellow-radnear-az270.png,images/train/S0-SM_tent_1-ellow-radnear-az270.png,labels/train/S0-SM_tent_1-ellow-radnear-az270.txt,6,270,6,10.0,near,0,-2.0,low,0
train,tent,S0,S0_SM_tent_1,SM_tent_1,S0-SM_tent_1-ellow-radnear-az315.png,images/train/S0-SM_tent_1-ellow-radnear-az315.png,labels/train/S0-SM_tent_1-ellow-radnear-az315.txt,7,315,7,10.0,near,0,-2.0,low,0
train,tent,S0,S0_SM_tent_1,SM_tent_1,S0-SM_tent_1-ellow-radmid-az090.png,images/train/S0-SM_tent_1-ellow-radmid-az090.png,labels/train/S0-SM_tent_1-ellow-radmid-az090.txt,10,90,2,16.0,mid,1,-2.0,low,0
train,tent,S0,S0_SM_tent_1,SM_tent_1,S0-SM_tent_1-ellow-radmid-az135.png,images/train/S0-SM_tent_1-ellow-radmid-az135.png,labels/train/S0-SM_tent_1-ellow-radmid-az135.txt,11,135,3,16.0,mid,1,-2.0,low,0
train,tent,S0,S0_SM_tent_1,SM_tent_1,S0-SM_tent_1-ellow-radmid-az180.png,images/train/S0-SM_tent_1-ellow-radmid-az180.png,labels/train/S0-SM_tent_1-ellow-radmid-az180.txt,12,180,4,16.0,mid,1,-2.0,low,0
train,tent,S0,S0_SM_tent_1,SM_tent_1,S0-SM_tent_1-ellow-radmid-az225.png,images/train/S0-SM_tent_1-ellow-radmid-az225.png,labels/train/S0-SM_tent_1-ellow-radmid-az225.txt,13,225,5,16.0,mid,1,-2.0,low,0
train,tent,S0,S0_SM_tent_1,SM_tent_1,S0-SM_tent_1-ellow-radmid-az315.png,images/train/S0-SM_tent_1-ellow-radmid-az315.png,labels/train/S0-SM_tent_1-ellow-radmid-az315.txt,15,315,7,16.0,mid,1,-2.0,low,0
train,tent,S0,S0_SM_tent_1,SM_tent_1,S0-SM_tent_1-ellow-radfar-az045.png,images/train/S0-SM_tent_1-ellow-radfar-az045.png,labels/train/S0-SM_tent_1-ellow-radfar-az045.txt,17,45,1,22.0,far,2,-2.0,low,0
train,tank,S0,S0_SM_tank1,SM_tank1,S0-SM_tank1-ellow-radnear-az090.png,images/train/S0-SM_tank1-ellow-radnear-az090.png,labels/train/S0-SM_tank1-ellow-radnear-az090.txt,2,90,2,9.0,near,0,-2.0,low,0
train,tank,S0,S0_SM_tank1,SM_tank1,S0-SM_tank1-ellow-radnear-az135.png,images/train/S0-SM_tank1-ellow-radnear-az135.png,labels/train/S0-SM_tank1-ellow-radnear-az135.txt,3,135,3,9.0,near,0,-2.0,low,0
train,tank,S0,S0_SM_tank1,SM_tank1,S0-SM_tank1-ellow-radnear-az180.png,images/train/S0-SM_tank1-ellow-radnear-az180.png,labels/train/S0-SM_tank1-ellow-radnear-az180.txt,4,180,4,9.0,near,0,-2.0,low,0
train,tank,S0,S0_SM_tank1,SM_tank1,S0-SM_tank1-ellow-radnear-az225.png,images/train/S0-SM_tank1-ellow-radnear-az225.png,labels/train/S0-SM_tank1-ellow-radnear-az225.txt,5,225,5,9.0,near,0,-2.0,low,0
train,tank,S0,S0_SM_tank1,SM_tank1,S0-SM_tank1-ellow-radnear-az315.png,images/train/S0-SM_tank1-ellow-radnear-az315.png,labels/train/S0-SM_tank1-ellow-radnear-az315.txt,7,315,7,9.0,near,0,-2.0,low,0
