method_label,All primary views,Far primary views,Hard scenes by mean quality (Q1),Low primary IoU (Q1),Primary miss only,Small target box (Q1),Weak primary quality (Q1)
Best box (max),0.9099524059346402,0.9003959000139179,0.7859010687606518,0.7867625607204675,0.7590827418762287,0.8008835070674635,0.7836069284787056
Geometry prior selector,0.8880428486135107,0.8771715244461813,0.7409157816731612,0.7348337241443161,0.5686637644556636,0.7647022078520067,0.7315143430420443
Geometry-calibrated selector,0.9010070198687322,0.8906014264467158,0.7693937137298812,0.7689014973412074,0.7590827418762287,0.7851545518878136,0.7657464779626225
Geometry-weighted OR + best IoU,0.9510994279467183,0.9415606879470447,0.8672055079206729,0.8653899348857901,0.7581511075135822,0.883825320600637,0.8652662408887627
Hybrid geometry+cell OR,0.9516293729247405,0.942892925772062,0.867879282982157,0.8661261823490752,0.7589664624330408,0.8844812697920449,0.8658486421823809
Mean quality,0.8747141514643689,0.8615588156510081,0.6981405997120756,0.6975842029249799,0.37954137093811435,0.7420461693861419,0.6926691067188425
Noisy-OR + best IoU,0.951810338251855,0.9451353134412159,0.8680371740189857,0.8666963913617379,0.7590827418762287,0.8846222740124613,0.8660443420066426
Primary single reference,0.874714151464369,0.8502347590090519,0.6981405997120756,0.6694427779447009,0.0,0.7507543116015969,0.6674213421186718
Support-weighted OR,0.92278560378906,0.9130370491103779,0.7917419029978542,0.789927374871308,0.37954137093811435,0.8382354431741261,0.7882562447778311
Viewpoint-cell OR + best IoU,0.9517324901883902,0.9440542698973342,0.8674811258000842,0.8658901076233012,0.758234981490697,0.8842889644955861,0.8653515254700115
Viewpoint-cell selector,0.8817508368383404,0.8719967394480442,0.713359910150399,0.711342571345682,0.39036036318978157,0.7544338873486546,0.7077771244077122
