method_id,method_label,method_family,mean_lift_vs_primary,mean_lift_vs_best_constituent,positive_vs_primary_rate,positive_vs_best_constituent_rate,primary_miss_count,rescue_count,rescue_rate_given_primary_miss,mean_scene_expected_quality,gain_vs_single_reference,gap_vs_best_box,gap_vs_noisy_or_best_iou
viewpoint_cell_weighted_or_best_iou,Viewpoint-cell OR + best IoU,Geometry-aware accumulation,0.0770183387240212,0.04178008425375003,0.9921070403511734,0.9854803309133885,419,389,0.9284009546539379,0.9515371066973968,0.07838621587501504,0.04272457851401246,7.94037527784841e-06
noisy_or_best_iou,Noisy-OR + best IoU,Probabilistic accumulation,0.07709618678748593,0.04185793231721477,0.9856069559344927,0.972480162080027,419,389,0.9284009546539379,0.9515291663221189,0.0783782754997372,0.04271663813873461,0.0
hybrid_geometry_cell_weighted_or_best_iou,Hybrid geometry+cell OR + best IoU,Geometry-aware accumulation,0.07691522146037147,0.04167696699010031,0.9876751646125275,0.9784737464122911,419,389,0.9284009546539379,0.9515242021481601,0.0783733113257784,0.04271167396477582,-4.96417395878801e-06
geometry_weighted_or_best_iou,Geometry-weighted OR + best IoU,Geometry-aware accumulation,0.07638527648234915,0.04114702201207799,0.9865777477629579,0.976954246159041,419,389,0.9284009546539379,0.9510669934249851,0.0779161026026034,0.042254465241600814,-0.0004621728971337946
geometry_weighted_or_mean_iou,Geometry-weighted OR + mean IoU,Geometry-aware accumulation,0.06080148862745636,0.025563234157185196,0.9566520344420057,0.9171872361978727,419,389,0.9284009546539379,0.9351567112677249,0.062005820445343196,0.02634418308434061,-0.016372455054393997
support_weighted_or,Support-weighted OR,Conservative corroboration,0.04807145232469104,0.01283319785441988,0.951671450278575,0.9046091507681918,419,389,0.9284009546539379,0.9212350033183657,0.04808411249598399,0.012422475134981403,-0.030294163003753205
best_box,Best box (max),Best-view rescue,0.03523825447027116,0.0,0.4993668748944792,0.0,419,389,0.9284009546539379,0.9088125281833843,0.035661637361002585,0.0,-0.04271663813873461
geometry_calibrated_selector,Geometry-calibrated selector,Geometry-aware selection,0.02629286840436306,-0.0089453860659081,0.34036805672800946,0.0,419,389,0.9284009546539379,0.8997168448782357,0.026565954055853935,-0.00909568330514865,-0.05181232144388326
geometry_prior_selector,Geometry prior selector,Geometry-aware selection,0.013328697149141675,-0.021909557321129484,0.29815971635995275,0.0,419,291,0.6945107398568019,0.8863686291703607,0.013217738347979013,-0.02244389901302357,-0.06516053715175818
viewpoint_cell_prior_selector,Viewpoint-cell prior selector,Geometry-aware selection,0.007036685373971369,-0.028201569096299794,0.30512409252068207,0.0,419,199,0.47494033412887826,0.87983590053453,0.006685009712148249,-0.028976627648854336,-0.07169326578758894
