left_method_id,left_method_label,right_method_id,right_method_label,win_rate_left_over_right,tie_rate,mean_score_gap_left_minus_right
best_box,Best box (max),best_box,Best box (max),0.0,1.0,0.0
best_box,Best box (max),noisy_or_best_iou,Noisy-OR + best IoU,0.0073442512240418706,0.03410433901738984,-0.04185793231721477
best_box,Best box (max),support_weighted_or,Support-weighted OR,0.0941245990207665,0.0013506668917778154,-0.01283319785441988
best_box,Best box (max),geometry_prior_selector,Geometry prior selector,0.40173898362316396,0.5986830997805166,0.02193984617623031
best_box,Best box (max),geometry_calibrated_selector,Geometry-calibrated selector,0.31799763633293937,0.6824244470707411,0.0089453860659081
best_box,Best box (max),viewpoint_cell_prior_selector,Viewpoint-cell prior selector,0.3871348978558163,0.6132871855478642,0.028214475618754196
best_box,Best box (max),geometry_weighted_or_best_iou,Geometry-weighted OR + best IoU,0.021779503629917273,0.001266250211041702,-0.04114702201207799
best_box,Best box (max),geometry_weighted_or_mean_iou,Geometry-weighted OR + mean IoU,0.0815465135910856,0.0014350835725139288,-0.025563234157185196
best_box,Best box (max),viewpoint_cell_weighted_or_best_iou,Viewpoint-cell OR + best IoU,0.012493668748944791,0.00219483369913895,-0.04178008425375003
best_box,Best box (max),hybrid_geometry_cell_weighted_or_best_iou,Hybrid geometry+cell OR + best IoU,0.02026000337666723,0.001266250211041702,-0.0416769669901003
noisy_or_best_iou,Noisy-OR + best IoU,best_box,Best box (max),0.972480162080027,0.03410433901738984,0.04185793231721477
noisy_or_best_iou,Noisy-OR + best IoU,noisy_or_best_iou,Noisy-OR + best IoU,0.0,1.0,0.0
noisy_or_best_iou,Noisy-OR + best IoU,support_weighted_or,Support-weighted OR,0.9987337497889583,0.0016883336147222692,0.029024734462794893
noisy_or_best_iou,Noisy-OR + best IoU,geometry_prior_selector,Geometry prior selector,0.9793179132196522,0.02583150430525072,0.06379777849344508
noisy_or_best_iou,Noisy-OR + best IoU,geometry_calibrated_selector,Geometry-calibrated selector,0.972480162080027,0.03410433901738984,0.050803318383122874
noisy_or_best_iou,Noisy-OR + best IoU,viewpoint_cell_prior_selector,Viewpoint-cell prior selector,0.9849738308289718,0.01806516967752828,0.07007240793596896
noisy_or_best_iou,Noisy-OR + best IoU,geometry_weighted_or_best_iou,Geometry-weighted OR + best IoU,0.37936856322809387,0.008188418031403005,0.0007109103051367809
noisy_or_best_iou,Noisy-OR + best IoU,geometry_weighted_or_mean_iou,Geometry-weighted OR + mean IoU,0.924109404018234,0.0030390005065000845,0.01629469816002957
noisy_or_best_iou,Noisy-OR + best IoU,viewpoint_cell_weighted_or_best_iou,Viewpoint-cell OR + best IoU,0.2742697957116326,0.018909336484889416,7.784806346473899e-05
noisy_or_best_iou,Noisy-OR + best IoU,hybrid_geometry_cell_weighted_or_best_iou,Hybrid geometry+cell OR + best IoU,0.36037481006246835,0.014604085767347627,0.00018096532711446082
support_weighted_or,Support-weighted OR,best_box,Best box (max),0.9046091507681918,0.0013506668917778154,0.01283319785441988
support_weighted_or,Support-weighted OR,noisy_or_best_iou,Noisy-OR + best IoU,0.0,0.0016883336147222692,-0.029024734462794893
support_weighted_or,Support-weighted OR,support_weighted_or,Support-weighted OR,0.0,1.0,0.0
support_weighted_or,Support-weighted OR,geometry_prior_selector,Geometry prior selector,0.9349147391524565,0.0013506668917778154,0.034773044030650194
support_weighted_or,Support-weighted OR,geometry_calibrated_selector,Geometry-calibrated selector,0.9157521526253588,0.0013506668917778154,0.021778583920327978
support_weighted_or,Support-weighted OR,viewpoint_cell_prior_selector,Viewpoint-cell prior selector,0.9406550734425122,0.0013506668917778154,0.041047673473174076
support_weighted_or,Support-weighted OR,geometry_weighted_or_best_iou,Geometry-weighted OR + best IoU,0.055377342562890425,0.0021104170184028364,-0.028313824157658107
support_weighted_or,Support-weighted OR,geometry_weighted_or_mean_iou,Geometry-weighted OR + mean IoU,0.3633293938882323,0.008357251392875232,-0.012730036302765316
support_weighted_or,Support-weighted OR,viewpoint_cell_weighted_or_best_iou,Viewpoint-cell OR + best IoU,0.03022117170352862,0.0014350835725139288,-0.028946886399330154
support_weighted_or,Support-weighted OR,hybrid_geometry_cell_weighted_or_best_iou,Hybrid geometry+cell OR + best IoU,0.03857842309640385,0.001857166976194496,-0.02884376913568043
geometry_prior_selector,Geometry prior selector,best_box,Best box (max),0.0,0.5986830997805166,-0.02193984617623031
geometry_prior_selector,Geometry prior selector,noisy_or_best_iou,Noisy-OR + best IoU,0.005318250886375148,0.02583150430525072,-0.06379777849344508
geometry_prior_selector,Geometry prior selector,support_weighted_or,Support-weighted OR,0.06381901063650178,0.0013506668917778154,-0.034773044030650194
geometry_prior_selector,Geometry prior selector,geometry_prior_selector,Geometry prior selector,0.0,1.0,0.0
geometry_prior_selector,Geometry prior selector,geometry_calibrated_selector,Geometry-calibrated selector,0.017727502954583824,0.8808036468006079,-0.012994460110322213
geometry_prior_selector,Geometry prior selector,viewpoint_cell_prior_selector,Viewpoint-cell prior selector,0.17296977882829648,0.6397940232990039,0.006274629442523889
geometry_prior_selector,Geometry prior selector,geometry_weighted_or_best_iou,Geometry-weighted OR + best IoU,0.012662502110417018,0.001266250211041702,-0.0630868681883083
geometry_prior_selector,Geometry prior selector,geometry_weighted_or_mean_iou,Geometry-weighted OR + mean IoU,0.050650008441668073,0.0014350835725139288,-0.04750308033341551
geometry_prior_selector,Geometry prior selector,viewpoint_cell_weighted_or_best_iou,Viewpoint-cell OR + best IoU,0.0073442512240418706,0.0020260003376667227,-0.06371993042998034
