combination_label,viewpoint_1,viewpoint_2,viewpoint_3,drone_count,sample_count,mean_best_box_quality,mean_noisy_or_max_iou,mean_support_weighted_or,mean_support_ratio,mean_target_ap50_95,mean_azimuth_gap_max,elevation_pattern,radius_pattern
elhigh-radfar-az000 + elhigh-radfar-az045,elhigh-radfar-az000,elhigh-radfar-az045,,2,5,0.8562109788994284,0.8894597091116934,0.8780490291055882,1.0,0.9128769844297379,45.0,high + high,far + far
elhigh-radfar-az000 + elhigh-radfar-az090,elhigh-radfar-az000,elhigh-radfar-az090,,2,5,0.9236445792280804,0.9653223478137573,0.9597956349360641,1.0,0.9599433300153143,90.0,high + high,far + far
elhigh-radfar-az000 + elhigh-radfar-az135,elhigh-radfar-az000,elhigh-radfar-az135,,2,4,0.9501637236365665,0.98213479818588,0.9762313759214762,1.0,0.9645878932649314,135.0,high + high,far + far
elhigh-radfar-az000 + elhigh-radfar-az180,elhigh-radfar-az000,elhigh-radfar-az180,,2,5,0.8809974287452711,0.9226254057801924,0.8945445890441661,1.0,0.9133333341280618,180.0,high + high,far + far
elhigh-radfar-az000 + elhigh-radfar-az225,elhigh-radfar-az000,elhigh-radfar-az225,,2,6,0.9394524450405607,0.9767576153162768,0.9632226626137684,1.0,0.9666194416794286,135.0,high + high,far + far
elhigh-radfar-az000 + elhigh-radfar-az270,elhigh-radfar-az000,elhigh-radfar-az270,,2,6,0.9200690985504067,0.959593063667461,0.9513771311835238,1.0,0.9954074076568639,90.0,high + high,far + far
elhigh-radfar-az000 + elhigh-radfar-az315,elhigh-radfar-az000,elhigh-radfar-az315,,2,5,0.8949357209593188,0.9494011835862967,0.9281095706459441,1.0,0.9133333340287209,45.0,high + high,far + far
elhigh-radfar-az045 + elhigh-radfar-az090,elhigh-radfar-az045,elhigh-radfar-az090,,2,3,0.8182637596805454,0.8940446155113234,0.8472806487656624,1.0,0.8791666666666668,45.0,high + high,far + far
elhigh-radfar-az045 + elhigh-radfar-az135,elhigh-radfar-az045,elhigh-radfar-az135,,2,5,0.9470339811208419,0.9793123876397167,0.9742592098408014,1.0,0.9502359005767567,90.0,high + high,far + far
elhigh-radfar-az045 + elhigh-radfar-az180,elhigh-radfar-az045,elhigh-radfar-az180,,2,5,0.9027395692865305,0.9504785102416197,0.9315185740803485,1.0,0.933333334128062,135.0,high + high,far + far
elhigh-radfar-az045 + elhigh-radfar-az225,elhigh-radfar-az045,elhigh-radfar-az225,,2,4,0.9055661272524089,0.9600178290782643,0.9303361690115415,1.0,0.9082992452502703,180.0,high + high,far + far
elhigh-radfar-az045 + elhigh-radfar-az270,elhigh-radfar-az045,elhigh-radfar-az270,,2,4,0.942592442658909,0.9764684960825882,0.9686325070002371,1.0,1.0,135.0,high + high,far + far
elhigh-radfar-az045 + elhigh-radfar-az315,elhigh-radfar-az045,elhigh-radfar-az315,,2,4,0.9320181656161353,0.9752837205173885,0.973578583455634,1.0,0.9628785271116751,90.0,high + high,far + far
elhigh-radfar-az090 + elhigh-radfar-az135,elhigh-radfar-az090,elhigh-radfar-az135,,2,4,0.9503772552935059,0.983118859468803,0.9779067017183903,1.0,0.9439348888325453,45.0,high + high,far + far
elhigh-radfar-az090 + elhigh-radfar-az180,elhigh-radfar-az090,elhigh-radfar-az180,,2,4,0.9433937560168708,0.978024678971937,0.974536795448637,1.0,1.0,90.0,high + high,far + far
elhigh-radfar-az090 + elhigh-radfar-az225,elhigh-radfar-az090,elhigh-radfar-az225,,2,6,0.9483599104462032,0.9802751179756243,0.9750167407595424,1.0,0.9626611383933934,135.0,high + high,far + far
elhigh-radfar-az090 + elhigh-radfar-az270,elhigh-radfar-az090,elhigh-radfar-az270,,2,3,0.9301052355821918,0.9683445389094394,0.9612013707914192,1.0,1.0,180.0,high + high,far + far
elhigh-radfar-az090 + elhigh-radfar-az315,elhigh-radfar-az090,elhigh-radfar-az315,,2,3,0.8729106676978043,0.9566057822105928,0.8929328366125641,1.0,0.915625,135.0,high + high,far + far
elhigh-radfar-az135 + elhigh-radfar-az180,elhigh-radfar-az135,elhigh-radfar-az180,,2,1,0.9495277659595871,0.9848039084078326,0.9793795641522043,1.0,0.8533333370089531,45.0,high + high,far + far
elhigh-radfar-az135 + elhigh-radfar-az225,elhigh-radfar-az135,elhigh-radfar-az225,,2,5,0.8752632301092909,0.939131072599545,0.9286828976045809,1.0,0.9021493757818602,90.0,high + high,far + far
elhigh-radfar-az135 + elhigh-radfar-az270,elhigh-radfar-az135,elhigh-radfar-az270,,2,3,0.9448373973623383,0.9756645769465876,0.9681707701539239,1.0,0.9817777780956692,135.0,high + high,far + far
elhigh-radfar-az135 + elhigh-radfar-az315,elhigh-radfar-az135,elhigh-radfar-az315,,2,4,0.9518435236516272,0.9869948187722276,0.9762997920184351,1.0,0.901538370881174,180.0,high + high,far + far
elhigh-radfar-az180 + elhigh-radfar-az225,elhigh-radfar-az180,elhigh-radfar-az225,,2,3,0.9375048978654176,0.9758828972057708,0.9700122758221935,1.0,1.0,45.0,high + high,far + far
elhigh-radfar-az180 + elhigh-radfar-az270,elhigh-radfar-az180,elhigh-radfar-az270,,2,6,0.9089189654626407,0.959612964060927,0.9474534433463156,1.0,0.9833333333333334,90.0,high + high,far + far
elhigh-radfar-az180 + elhigh-radfar-az315,elhigh-radfar-az180,elhigh-radfar-az315,,2,3,0.9356327001956627,0.9764920928104549,0.9687751505962782,1.0,1.0,135.0,high + high,far + far
elhigh-radfar-az225 + elhigh-radfar-az270,elhigh-radfar-az225,elhigh-radfar-az270,,2,6,0.9401589534757969,0.9775929402753208,0.9698836011622944,1.0,0.9875555559131834,45.0,high + high,far + far
elhigh-radfar-az225 + elhigh-radfar-az315,elhigh-radfar-az225,elhigh-radfar-az315,,2,1,0.9517734569240872,0.9867339469699205,0.9797292795550337,1.0,1.0,90.0,high + high,far + far
elhigh-radfar-az270 + elhigh-radfar-az315,elhigh-radfar-az270,elhigh-radfar-az315,,2,2,0.9582931025317958,0.99043216078877,0.9847324696257482,1.0,0.9580817242667391,45.0,high + high,far + far
elhigh-radmid-az000 + elhigh-radfar-az000,elhigh-radmid-az000,elhigh-radfar-az000,,2,6,0.9139156537591434,0.9559127421028794,0.9455613068240782,1.0,0.9666666666666667,0.0,high + high,mid + far
elhigh-radmid-az000 + elhigh-radfar-az045,elhigh-radmid-az000,elhigh-radfar-az045,,2,10,0.8472894354954394,0.9191734607181166,0.8974687269910632,1.0,0.8946808094711617,45.0,high + high,mid + far
elhigh-radmid-az000 + elhigh-radfar-az090,elhigh-radmid-az000,elhigh-radfar-az090,,2,6,0.887738790239311,0.9396555053238776,0.9326798344363926,1.0,0.9458333333333333,90.0,high + high,mid + far
elhigh-radmid-az000 + elhigh-radfar-az135,elhigh-radmid-az000,elhigh-radfar-az135,,2,1,0.9665112863923184,0.9888189066201483,0.9844938558139926,1.0,1.0,135.0,high + high,mid + far
elhigh-radmid-az000 + elhigh-radfar-az180,elhigh-radmid-az000,elhigh-radfar-az180,,2,5,0.9515436205223018,0.9808238201542399,0.9743243688401675,1.0,0.9956250000000001,180.0,high + high,mid + far
elhigh-radmid-az000 + elhigh-radfar-az225,elhigh-radmid-az000,elhigh-radfar-az225,,2,6,0.9204105688300697,0.9677977829323366,0.9536470904801284,1.0,0.9563999314025335,135.0,high + high,mid + far
elhigh-radmid-az000 + elhigh-radfar-az270,elhigh-radmid-az000,elhigh-radfar-az270,,2,5,0.9029997693971374,0.9511246680529615,0.921633306365047,1.0,0.9153530131638495,90.0,high + high,mid + far
elhigh-radmid-az000 + elhigh-radfar-az315,elhigh-radmid-az000,elhigh-radfar-az315,,2,4,0.939588658792319,0.9821180503805254,0.9694282461326997,1.0,0.9863690480944656,45.0,high + high,mid + far
