elevation_pattern,azimuth_gap_max,sample_count,mean_best_box_quality,mean_support_weighted_or,mean_gain_vs_best_box
high + high,0,103,0.890602295419582,0.9289157825928491,0.03831348717326709
high + high,45,319,0.8985644550356913,0.9334118426621814,0.034847387626490124
high + high,90,324,0.8954135923628661,0.9330373922673063,0.0376237999044403
high + high,135,316,0.9036483297769019,0.9371268558338209,0.03347852605691911
high + high,180,166,0.9118835620298168,0.9454307094477185,0.03354714741790161
low + high,0,338,0.9112224564151105,0.9236131060926446,0.012390649677534222
low + high,45,678,0.9121264999201131,0.9127956294874148,0.0006691295673016464
low + high,90,681,0.9120872697670374,0.9156785664494203,0.0035912966823828736
low + high,135,662,0.9088582676229868,0.9123464213644875,0.0034881537415007466
low + high,180,329,0.9059219352321317,0.9107242606571662,0.004802325425034489
low + low,0,110,0.8728129794553615,0.8788671183853964,0.00605413893003489
low + low,45,352,0.9059229430229556,0.8987191636485764,-0.0072037793743792485
low + low,90,322,0.905936050700309,0.8950416074506168,-0.01089444324969226
low + low,135,343,0.9047732513825394,0.8866852695655753,-0.01808798181696424
low + low,180,152,0.9105789110685304,0.888979557899357,-0.021599353169173437
low + mid,0,364,0.9151405947810903,0.9152475716827456,0.00010697690165526823
low + mid,45,659,0.912516937119079,0.9129908312494636,0.0004738941303845895
low + mid,90,694,0.9136682685367175,0.9131406574156231,-0.0005276111210944306
low + mid,135,659,0.9165767667231951,0.9153442202506602,-0.0012325464725348352
low + mid,180,351,0.915081942112784,0.9138802461684442,-0.0012016959443397932
mid + high,0,341,0.9143441068317794,0.9441196430108644,0.02977553617908499
mid + high,45,689,0.9132706165202072,0.9399660926171327,0.02669547609692548
mid + high,90,677,0.9059251393178533,0.9372580690166709,0.03133292969881741
mid + high,135,634,0.9146952612633092,0.9428942461077195,0.02819898484441022
mid + high,180,317,0.9031621677005397,0.9362433049303983,0.03308113722985864
mid + mid,0,112,0.9095442231984515,0.9369173844404379,0.027373161241986316
mid + mid,45,338,0.9171748050609899,0.9454312306552684,0.02825642559427837
mid + mid,90,327,0.9149456183352431,0.9442626631098158,0.029317044774572625
mid + mid,135,319,0.9085680584246975,0.9362361547305986,0.027668096305901137
mid + mid,180,170,0.9179382148994083,0.9450303339693908,0.027092119069982427
