target_class,scene_count,k1_target_ap50_95,k2_target_ap50_95,k3_target_ap50_95,delta_target_ap50_95_1_to_2,delta_target_ap50_95_2_to_3,delta_target_ap50_95_1_to_3,k1_target_strict_quality_iou50,k2_target_strict_quality_iou50,k3_target_strict_quality_iou50,delta_target_strict_quality_iou50_1_to_2,delta_target_strict_quality_iou50_2_to_3,delta_target_strict_quality_iou50_1_to_3,k1_target_found_rate,k2_target_found_rate,k3_target_found_rate
barrel,20,0.7005740425426672,0.8100093103892496,0.8500356492272765,0.10943526784658242,0.040026338838026865,0.14946160668460928,0.6845664406138463,0.7651367482231577,0.7926116449546521,0.08057030760931139,0.02747489673149439,0.10804520434080578,0.9325180375180375,0.9921214896214897,0.9994459706959707
male,20,0.6712867166072278,0.7654763511750655,0.8019223517682574,0.09418963456783769,0.03644600059319192,0.1306356351610296,0.6814881663434977,0.7485098216220201,0.7713565595001847,0.06702165527852233,0.022846737878164602,0.08986839315668693,0.9734157509157508,1.0,1.0
suv,22,0.8717102175214433,0.9611917671472451,0.9819856297589463,0.08948154962580179,0.02079386261170124,0.11027541223750303,0.8647125867300894,0.9175173536495077,0.9287224404713171,0.05280476691941827,0.011205086821809429,0.0640098537412277,0.9539059425423062,0.9955060091423727,0.999724517906336
tank,20,0.836009813047222,0.9359089349509977,0.9675956410916076,0.0998991219037757,0.031686706140609866,0.13158582804438557,0.861668264539254,0.9138052739263278,0.9284059324535363,0.052137009387073774,0.014600658527208488,0.06673766791428226,0.99375,1.0,1.0
whitevan,19,0.8932431042239525,0.9791096368487974,0.9934521916765194,0.0858665326248449,0.014342554827722065,0.10020908745256696,0.912145612038438,0.9484143390044505,0.9549786729474359,0.036268726966012466,0.00656433394298539,0.042833060908997855,0.9732873851294904,0.9988304093567252,1.0
rock,21,0.9051676711518138,0.9702366642188881,0.9871433802720381,0.06506899306707425,0.016906716053149973,0.08197570912022423,0.9404980839965053,0.9584601492199696,0.9622370036356183,0.01796206522346433,0.0037768544156486783,0.021738919639113008,0.9929356357927785,1.0,1.0
tree,30,0.852398333424311,0.9164230740117429,0.9365417338755664,0.0640247405874319,0.02011865986382344,0.08414340045125535,0.9371855854640224,0.9521442464068416,0.9567790302837834,0.014958660942819169,0.004634783876941828,0.019593444819760997,0.9966666666666666,1.0,1.0
tower,13,0.8965187454142972,0.975745504044701,0.9924621723879887,0.07922675863040374,0.016716668343287777,0.09594342697369151,0.9486731800473455,0.962554218733088,0.965540849545852,0.01388103868574253,0.0029866308127639574,0.016867669498506488,1.0,1.0,1.0
container,22,0.9490008108457662,0.9917156032681667,0.9969258038961276,0.042714792422400505,0.005210200627960959,0.047924993050361464,0.9386229131544762,0.9520764225980866,0.9559488822757616,0.013453509443610345,0.003872459677675022,0.017325969121285367,0.9954545454545454,1.0,1.0
tent,18,0.9536303795275425,0.9909821635040426,0.9974425596686071,0.037351783976500075,0.006460396164564508,0.04381218014106458,0.957697160777931,0.9667444730154067,0.9694305675059641,0.00904731223747568,0.0026860944905574557,0.011733406728033136,1.0,1.0,1.0
