ring_id,subset_size,added_drone_number,ring_scene_count,max_views_seen_in_any_ring_scene,mean_coalition_value,best_coalition_value,mean_marginal_gain_from_prev_size,best_marginal_gain_from_prev_size,mean_share_of_full_8_drone_value,best_share_of_full_8_drone_value,best_coalition_members,num_coalitions_of_this_size
ellow-radnear,0,0,154,4,0.0,0.0,nan,nan,0.0,0.0,(empty),1
ellow-radnear,1,1,154,4,0.19163048124836418,0.22119663516296234,0.19163048124836418,0.22119663516296234,0.20824924146835325,0.24037945940519417,az180,8
ellow-radnear,2,2,154,4,0.3548198978737359,0.4066859234674079,0.16318941662537173,0.18548928830444555,0.3855909253513646,0.44195492557459415,az045 az225,28
ellow-radnear,3,3,154,4,0.49318342079210276,0.5583439246500373,0.13836352291836684,0.15165800118262945,0.5359537408436154,0.6067651556754947,az045 az180 az225,56
ellow-radnear,4,4,154,4,0.6100655656000982,0.6773269781932441,0.11688214480799541,0.11898305354320671,0.6629722497932037,0.7360667703588465,az045 az090 az180 az225,70
ellow-radnear,5,5,154,4,0.7085401925750018,0.7666807328474965,0.09847462697490361,0.08935375465425244,0.769986886701745,0.833169546012687,az000 az045 az135 az180 az225,56
ellow-radnear,6,6,154,4,0.7914105066747397,0.8375286755530217,0.08287031409973789,0.07084794270552519,0.8600439587243719,0.9101616311543869,az000 az045 az135 az180 az225 az270,28
ellow-radnear,7,7,154,4,0.8612090575378841,0.8939698647888377,0.06979855086314446,0.05644118923581598,0.9358956456697345,0.9714975666974219,az000 az045 az090 az135 az180 az225 az270,8
ellow-radnear,8,8,154,4,0.9201977394836536,0.9201977394836536,0.05898868194576945,0.02622787469481591,1.0,1.0,az000 az045 az090 az135 az180 az225 az270 az315,1
ellow-radmid,0,0,149,4,0.0,0.0,nan,nan,0.0,0.0,(empty),1
ellow-radmid,1,1,149,4,0.17113274790526972,0.20769707830795944,0.17113274790526972,0.20769707830795944,0.19068744619874395,0.2314298457207544,az045,8
ellow-radmid,2,2,149,4,0.3213224216345139,0.40251015504701565,0.1501896737292442,0.1948130767390562,0.35803873155708693,0.44850348325770323,az045 az315,28
ellow-radmid,3,3,149,4,0.4527846378965208,0.5288698681716776,0.13146221626200688,0.12635971312466193,0.5045226430087136,0.5893018476448956,az045 az090 az315,56
ellow-radmid,4,4,149,4,0.5676024580808368,0.6436425193070798,0.11481782018431597,0.11477265113540225,0.6324602655680929,0.7171891398572781,az000 az045 az225 az315,70
ellow-radmid,5,5,149,4,0.6677263882577679,0.7276412014325483,0.10012393017693111,0.08399868212546846,0.7440249823304796,0.8107860368546437,az000 az045 az090 az225 az315,56
ellow-radmid,6,6,149,4,0.7549743791783783,0.7973485406374906,0.08724799092061042,0.06970733920494232,0.8412424744719127,0.8884585726901459,az000 az045 az090 az225 az270 az315,28
