scene_key,target_class,available_image_count,added_image_number,base_coalition_size,permutations_used,mean_prefix_target_ap50_95,mean_prefix_target_strict_quality_iou50,mean_prefix_noisy_or_best_iou,mean_marginal_target_ap50_95,mean_marginal_target_strict_quality_iou50,mean_marginal_noisy_or_best_iou
S0-SM_barrel_1,barrel,10,1,0,256,0.8339843750000001,0.7383085102337175,0.7383085102337175,0.8339843750000001,0.7383085102337175,0.7383085102337175
S0-SM_barrel_1,barrel,10,2,1,256,0.9000000000000001,0.7780131838637767,0.8987005279096285,0.06601562500000001,0.039704673630059195,0.16039201767591105
S0-SM_barrel_1,barrel,10,3,2,256,0.9332031250000001,0.7987145230513915,0.936486812805343,0.03320312499999999,0.020701339187614853,0.03778628489571449
S0-SM_barrel_1,barrel,10,4,3,256,0.9597656250000001,0.8166307722460938,0.9512095351828262,0.026562499999999992,0.01791624919470236,0.014722722377483262
S0-SM_barrel_1,barrel,10,5,4,256,0.9769531250000001,0.8268515226355478,0.9587586805766828,0.017187499999999994,0.010220750389453984,0.007549145393856456
S0-SM_barrel_1,barrel,10,6,5,256,0.9867187500000001,0.8373819088164591,0.9636494785152055,0.009765624999999997,0.01053038618091133,0.004890797938522828
S0-SM_barrel_1,barrel,10,7,6,256,0.99296875,0.8452274970621656,0.9665428542741958,0.006249999999999999,0.007845588245706386,0.002893375758990266
S0-SM_barrel_1,barrel,10,8,7,256,0.996875,0.8513913514596676,0.9685238792643598,0.003906249999999999,0.006163854397501986,0.001981024990163956
S0-SM_barrel_10,barrel,9,1,0,256,0.6460693360830192,0.6514860866137617,0.6514860866137617,0.6460693360830192,0.6514860866137617,0.6514860866137617
S0-SM_barrel_10,barrel,9,2,1,256,0.7865478516672739,0.7604316863464455,0.839344003488952,0.14047851558425462,0.10894559973268385,0.18785791687519024
S0-SM_barrel_10,barrel,9,3,2,256,0.8313720703881702,0.7817290013633305,0.8879788360650993,0.04482421872089616,0.021297315016884963,0.04863483257614726
S0-SM_barrel_10,barrel,9,4,3,256,0.8547444661904594,0.796846439368232,0.902758627450424,0.023372395802289246,0.015117438004901423,0.014779791385324727
S0-SM_barrel_10,barrel,9,5,4,256,0.8703369140916041,0.8073047856041631,0.9099533509937898,0.015592447901144623,0.010458346235931143,0.007194723543365931
