target_class,viewpoint_pair,viewpoint_1,viewpoint_2,scene_count,mean_viewpoint_1_target_ap50_95,mean_viewpoint_2_target_ap50_95,expected_pair_or_target_ap50_95,best_single_target_ap50_95_on_matched_scenes,pair_complementarity_gain_target_ap50_95,mean_viewpoint_1_target_strict_quality_iou50,mean_viewpoint_2_target_strict_quality_iou50,expected_pair_or_target_strict_quality_iou50,best_single_target_strict_quality_iou50_on_matched_scenes,pair_complementarity_gain_target_strict_quality_iou50,mean_viewpoint_1_target_match_confidence_iou50,mean_viewpoint_2_target_match_confidence_iou50,expected_pair_or_target_match_confidence_iou50,best_single_target_match_confidence_iou50_on_matched_scenes,pair_complementarity_gain_target_match_confidence_iou50,viewpoint_1_scene_win_rate,viewpoint_2_scene_win_rate,tie_rate
suv,ellow-radmid-az270 + elmid-radmid-az225,ellow-radmid-az270,elmid-radmid-az225,3,0.6666666666666666,0.6541666666666667,0.9874999999999999,0.6666666666666666,0.3208333333333333,0.6371466903761901,0.617925467347817,0.9385026618487657,0.6371466903761901,0.30135597147257565,0.6468438108762106,0.6353054841359457,0.9595340689023336,0.6468438108762106,0.31269025802612305,0.3333333333333333,0.6666666666666666,0.0
suv,ellow-radmid-az270 + elmid-radnear-az225,ellow-radmid-az270,elmid-radnear-az225,4,0.6786791373910571,0.634327259620962,0.9074337160705843,0.6786791373910571,0.2287545786795272,0.7122528268320991,0.6986138037419805,0.9408835705999161,0.7122528268320991,0.228630743767817,0.7278604358434677,0.7240668535232544,0.9673534035682678,0.7278604358434677,0.2394929677248001,0.5,0.5,0.0
male,ellow-radmid-az000 + ellow-radmid-az225,ellow-radmid-az000,ellow-radmid-az225,5,0.5875941590571591,0.6313044671388474,0.7950137289336082,0.6313044671388474,0.16370926179476086,0.6979432715166354,0.7127944951941799,0.8866343164026184,0.7127944951941799,0.17383982120843844,0.7472849607467651,0.7537705898284912,0.9388347268104553,0.7537705898284912,0.1850641369819641,0.4,0.6,0.0
barrel,ellow-radmid-az180 + ellow-radnear-az000,ellow-radmid-az180,ellow-radnear-az000,6,0.5283002466997458,0.7594677889336641,0.9466145840783914,0.7594677889336641,0.18714679514472732,0.7849256839774194,0.7827868410758848,0.939712902456467,0.7849256839774194,0.15478721847904764,0.805310865243276,0.801074375708898,0.9612693190574646,0.805310865243276,0.1559584538141886,0.16666666666666666,0.8333333333333334,0.0
barrel,ellow-radfar-az225 + ellow-radfar-az315,ellow-radfar-az225,ellow-radfar-az315,6,0.594173885170709,0.5845486111938953,0.762452654574405,0.594173885170709,0.16827876940369602,0.6253725380942837,0.45881291585601963,0.7700490703887084,0.6253725380942837,0.14467653229442468,0.7187893092632294,0.5551882609724998,0.8533902764320374,0.7187893092632294,0.13460096716880798,0.5,0.5,0.0
rock,ellow-radfar-az180 + ellow-radmid-az045,ellow-radfar-az180,ellow-radmid-az045,6,0.6802910055189083,0.6759803930480106,0.8541666667287547,0.6802910055189083,0.17387566120984643,0.7691131442143142,0.7704515608885126,0.9109004019505568,0.7704515608885126,0.14044884106204414,0.7940348188082377,0.8063583672046661,0.9590540130933126,0.8063583672046661,0.15269564588864648,0.3333333333333333,0.6666666666666666,0.0
barrel,elhigh-radfar-az000 + ellow-radnear-az270,elhigh-radfar-az000,ellow-radnear-az270,7,0.7856859421534063,0.638666669926473,0.9113095247035935,0.7856859421534063,0.12562358255018724,0.7644223738323909,0.7860332046217552,0.9185792938596161,0.7860332046217552,0.13254608923786093,0.8079258395092828,0.8065880366734096,0.9418228268623352,0.8079258395092828,0.13389698735305244,0.14285714285714285,0.8571428571428571,0.0
barrel,ellow-radfar-az000 + ellow-radmid-az225,ellow-radfar-az000,ellow-radmid-az225,8,0.6175585482665715,0.6641518062567919,0.8050887130113785,0.6641518062567919,0.1409369067545866,0.7651307678100587,0.6992242117113427,0.8860104326506266,0.7651307678100587,0.12087966484056789,0.8043757081031799,0.761932872235775,0.9319468811154366,0.8043757081031799,0.12757117301225662,0.5,0.5,0.0
barrel,elhigh-radmid-az135 + ellow-radnear-az000,elhigh-radmid-az135,ellow-radnear-az000,5,0.8,0.760555555837022,0.9405555558370219,0.8,0.14055555583702184,0.7625239012685867,0.7096151664065026,0.8817108915930966,0.7625239012685867,0.11918699032450986,0.8741383671760559,0.7376667499542237,0.9251150131225586,0.8741383671760559,0.05097664594650275,0.2,0.8,0.0
barrel,ellow-radfar-az135 + ellow-radmid-az090,ellow-radfar-az135,ellow-radmid-az090,5,0.6600500001013279,0.5466339889878492,0.7543555567827489,0.6600500001013279,0.09430555668142104,0.7127798908262193,0.6785943668686109,0.8301622314487197,0.7127798908262193,0.11738234062250041,0.8643378138542175,0.7262314677238464,0.8938246726989746,0.8643378138542175,0.029486858844757102,0.2,0.8,0.0
