target_class,viewpoint_pair,viewpoint_1,viewpoint_2,scene_count,mean_viewpoint_1_target_ap50_95,mean_viewpoint_2_target_ap50_95,expected_pair_or_target_ap50_95,best_single_target_ap50_95_on_matched_scenes,pair_complementarity_gain_target_ap50_95,mean_viewpoint_1_target_strict_quality_iou50,mean_viewpoint_2_target_strict_quality_iou50,expected_pair_or_target_strict_quality_iou50,best_single_target_strict_quality_iou50_on_matched_scenes,pair_complementarity_gain_target_strict_quality_iou50,mean_viewpoint_1_target_match_confidence_iou50,mean_viewpoint_2_target_match_confidence_iou50,expected_pair_or_target_match_confidence_iou50,best_single_target_match_confidence_iou50_on_matched_scenes,pair_complementarity_gain_target_match_confidence_iou50,viewpoint_1_scene_win_rate,viewpoint_2_scene_win_rate,tie_rate
barrel,ellow-radfar-az000 + ellow-radmid-az225,ellow-radfar-az000,ellow-radmid-az225,8,0.6175585482665715,0.6641518062567919,0.8050887130113785,0.6641518062567919,0.1409369067545866,0.7651307678100587,0.6992242117113427,0.8860104326506266,0.7651307678100587,0.12087966484056789,0.8043757081031799,0.761932872235775,0.9319468811154366,0.8043757081031799,0.12757117301225662,0.5,0.5,0.0
barrel,elhigh-radmid-az090 + ellow-radmid-az000,elhigh-radmid-az090,ellow-radmid-az000,8,0.7657407425275004,0.7155381947807554,0.8525462973276499,0.7657407425275004,0.08680555480014951,0.7523416562551604,0.7384901685668535,0.8232599156911209,0.7523416562551604,0.07091825943596053,0.8763746693730354,0.7970373407006264,0.9020357877016068,0.8763746693730354,0.02566111832857132,0.375,0.625,0.0
male,elhigh-radfar-az000 + ellow-radfar-az135,elhigh-radfar-az000,ellow-radfar-az135,8,0.8404829559001056,0.6594588431480313,0.9114304315997288,0.8404829559001056,0.07094747569962323,0.8109826827467878,0.7119940708740025,0.8814904019390672,0.8109826827467878,0.0705077191922795,0.8505521882325411,0.7893356010317802,0.9296191707253456,0.8505521882325411,0.07906698249280453,0.75,0.25,0.0
barrel,elhigh-radfar-az090 + ellow-radnear-az000,elhigh-radfar-az090,ellow-radnear-az000,8,0.8501302099352082,0.6613055412291189,0.9549635420652727,0.8501302099352082,0.10483333213006452,0.8528347330719708,0.7381156036822198,0.9210898444884674,0.8528347330719708,0.06825511141649665,0.9282764494419098,0.8297007158398628,0.9547687619924545,0.9282764494419098,0.02649231255054474,0.375,0.625,0.0
barrel,ellow-radnear-az000 + elmid-radfar-az090,ellow-radnear-az000,elmid-radfar-az090,9,0.6516647919652968,0.7440458685004463,0.8468236461540477,0.7440458685004463,0.10277777765360141,0.7520006913383186,0.7859810591992056,0.8536645273096235,0.7859810591992056,0.06768346811041792,0.8267785509427389,0.8916490077972412,0.9166390895843506,0.8916490077972412,0.024990081787109375,0.6666666666666666,0.3333333333333333,0.0
barrel,ellow-radmid-az225 + elmid-radfar-az135,ellow-radmid-az225,elmid-radfar-az135,8,0.7267040364711124,0.6785353813173508,0.7911655896894892,0.7267040364711124,0.06446155321837688,0.7902209193349434,0.781904988666537,0.8563145131086851,0.7902209193349434,0.06609359377374169,0.8815290853381157,0.9056404605507851,0.9301734268665314,0.9056404605507851,0.024532966315746307,0.75,0.25,0.0
barrel,elhigh-radfar-az045 + ellow-radmid-az045,elhigh-radfar-az045,ellow-radmid-az045,8,0.8409288210504585,0.8194444447639398,0.9276475695893168,0.8409288210504585,0.0867187485388583,0.8249090246294113,0.8454283740633981,0.9044199699277273,0.8454283740633981,0.05899159586432923,0.9072478041052818,0.9078901037573814,0.938781164586544,0.9078901037573814,0.030891060829162598,0.375,0.625,0.0
barrel,ellow-radmid-az045 + ellow-radnear-az000,ellow-radmid-az045,ellow-radnear-az000,10,0.7044636289739105,0.6903225495466342,0.8283130269210254,0.7044636289739105,0.12384939794711491,0.8343127290846063,0.7959471078822634,0.8907390442713201,0.8343127290846063,0.056426315186713816,0.9056284427642822,0.855545723438263,0.9423236846923828,0.9056284427642822,0.036695241928100586,0.5,0.5,0.0
barrel,ellow-radmid-az045 + ellow-radnear-az180,ellow-radmid-az045,ellow-radnear-az180,8,0.7790520852934569,0.8236293862214344,0.9136875018980354,0.8236293862214344,0.09005811567660094,0.7975137394605745,0.8479375043356412,0.900702719880349,0.8479375043356412,0.05276521554470781,0.8247918114066124,0.9079882577061653,0.9393570423126221,0.9079882577061653,0.03136878460645676,0.5,0.5,0.0
barrel,ellow-radmid-az045 + elmid-radfar-az135,ellow-radmid-az045,elmid-radfar-az135,10,0.7381285849435637,0.7133428049255995,0.8153145149172172,0.7381285849435637,0.07718592997365348,0.8271837330196383,0.7902935242828161,0.8737867619624673,0.8271837330196383,0.04660302894282897,0.9029525637626648,0.9063959836959838,0.927323442697525,0.9063959836959838,0.020927459001541138,0.7,0.3,0.0
