group,target_class,ring_id,viewpoint,azimuth,rank,shapley_value,share_of_ring_value,singleton_ring_scene_value,mean_strict_quality_on_observed_rows,observed_scene_count,observed_scene_rate_within_ring,matched_scene_count,matched_scene_rate_within_ring,ring_scene_count,complete_ring_scene_count,max_views_seen_in_any_ring_scene,grand_value_all_8_players,empty_coalition_value
overall,all,ellow-radnear,ellow-radnear-az225,225,1,0.14663901987458028,0.1593559879389219,0.22027086627992865,0.9422698168641391,36,0.23376623376623376,36,0.23376623376623376,154,0,4,0.9201977394836536,0.0
overall,all,ellow-radnear,ellow-radnear-az180,180,2,0.1446603188367268,0.15720568811427357,0.22119663516296234,0.8734431234640052,39,0.2532467532467532,37,0.24025974025974026,154,0,4,0.9201977394836536,0.0
overall,all,ellow-radnear,ellow-radnear-az045,45,3,0.11951638610212917,0.1298811994139356,0.18641505718747925,0.8971224627147438,32,0.2077922077922078,31,0.2012987012987013,154,0,4,0.9201977394836536,0.0
overall,all,ellow-radnear,ellow-radnear-az135,135,4,0.11333962046770192,0.12316876645589205,0.192237558592395,0.9251432507259009,32,0.2077922077922078,32,0.2077922077922078,154,0,4,0.9201977394836536,0.0
overall,all,ellow-radnear,ellow-radnear-az000,0,5,0.11151232918889227,0.12118300709091578,0.18856108429399743,0.8296687708935887,35,0.22727272727272727,32,0.2077922077922078,154,0,4,0.9201977394836536,0.0
overall,all,ellow-radnear,ellow-radnear-az090,90,6,0.10072868155001359,0.10946416974088094,0.18897565772141234,0.9094453527842968,32,0.2077922077922078,32,0.2077922077922078,154,0,4,0.9201977394836536,0.0
overall,all,ellow-radnear,ellow-radnear-az270,270,7,0.09855394849782435,0.10710083742775274,0.17350523392113928,0.8906602007951817,30,0.19480519480519481,29,0.18831168831168832,154,0,4,0.9201977394836536,0.0
overall,all,ellow-radnear,ellow-radnear-az315,315,8,0.08524743496578524,0.09264034381742749,0.1618817568275991,0.8596479500500089,29,0.18831168831168832,28,0.18181818181818182,154,0,4,0.9201977394836536,0.0
overall,all,ellow-radmid,ellow-radmid-az315,315,1,0.15426358160303535,0.17189070343005072,0.2051882214551369,0.926455908994406,33,0.2214765100671141,33,0.2214765100671141,149,0,4,0.8974515696586898,0.0
overall,all,ellow-radmid,ellow-radmid-az045,45,2,0.1332692223721269,0.14849739738358314,0.20769707830795944,0.8364017477807015,37,0.2483221476510067,35,0.2348993288590604,149,0,4,0.8974515696586898,0.0
