group,target_class,ring_id,ring_scene_count,complete_ring_scene_count,max_views_seen_in_any_ring_scene,grand_value_all_8_players,empty_coalition_value,top_viewpoint,top_azimuth,top_shapley_value,second_viewpoint,second_azimuth,second_shapley_value,top_minus_second_shapley_gap,top_singleton_viewpoint,top_singleton_azimuth,top_singleton_value,top_singleton_best_addition_azimuth,top_singleton_best_addition_viewpoint,top_singleton_best_addition_delta,top_singleton_expanded_members,top_singleton_expanded_value,best_pair_members,best_pair_value,best_pair_best_addition_azimuth,best_pair_best_addition_viewpoint,best_pair_best_addition_delta,best_pair_expanded_members,best_pair_expanded_value
per_class,barrel,ellow-radnear,17,0,4,0.8467772353983144,0.0,ellow-radnear-az225,225,0.2003549342693322,ellow-radnear-az090,90,0.15914835340665548,0.04120658086267673,ellow-radnear-az090,90,0.2558804394594515,225,ellow-radnear-az225,0.25483276636210095,az090 + az225,0.5107132058215524,az090 + az225,0.5107132058215524,0,ellow-radnear-az000,0.11789675309078784,az000 + az090 + az225,0.6286099589123403
per_class,barrel,ellow-radmid,17,0,2,0.6582872935899579,0.0,ellow-radmid-az045,45,0.1940498303257221,ellow-radmid-az135,135,0.11259764967957041,0.08145218064615169,ellow-radmid-az045,45,0.23160202512828743,135,ellow-radmid-az135,0.1300142102470052,az045 + az135,0.36161623537529264,az045 + az135,0.36161623537529264,0,ellow-radmid-az000,0.08673230109806085,az000 + az045 + az135,0.4483485364733535
per_class,barrel,ellow-radfar,18,0,3,0.6602651800467239,0.0,ellow-radfar-az135,135,0.19860278465528597,ellow-radfar-az000,0,0.19381028914447468,0.00479249551081129,ellow-radfar-az000,0,0.2484184807364333,135,ellow-radfar-az135,0.19986502266479061,az000 + az135,0.4482835034012239,az000 + az135,0.4482835034012239,180,ellow-radfar-az180,0.07776465086502815,az000 + az135 + az180,0.5260481542662521
per_class,barrel,elmid-radnear,11,0,4,0.8523666385460792,0.0,elmid-radnear-az090,90,0.19353614894056997,elmid-radnear-az135,135,0.14792281565294027,0.045613333287629704,elmid-radnear-az090,90,0.28430586182708045,135,elmid-radnear-az135,0.16361902391738853,az090 + az135,0.447924885744469,az090 + az135,0.447924885744469,315,elmid-radnear-az315,0.14876695271179452,az090 + az135 + az315,0.5966918384562635
per_class,barrel,elmid-radmid,15,0,4,0.8128447558970122,0.0,elmid-radmid-az000,0,0.2630421756324806,elmid-radmid-az090,90,0.11639971143660827,0.14664246419587235,elmid-radmid-az000,0,0.3555464161215004,315,elmid-radmid-az315,0.20321712150167148,az000 + az315,0.5587635376231719,az000 + az315,0.5587635376231719,90,elmid-radmid-az090,0.10506700168564898,az000 + az090 + az315,0.6638305393088209
per_class,barrel,elmid-radfar,13,0,3,0.7613263211813841,0.0,elmid-radfar-az225,225,0.18224307345909152,elmid-radfar-az090,90,0.16395303808122397,0.018290035377867553,elmid-radfar-az225,225,0.28564115033129495,90,elmid-radfar-az090,0.17781621920368484,az090 + az225,0.4634573695349798,az090 + az225,0.4634573695349798,135,elmid-radfar-az135,0.13887319549229643,az090 + az135 + az225,0.6023305650272762
per_class,barrel,elhigh-radnear,15,0,3,0.7465015383627412,0.0,elhigh-radnear-az270,270,0.14149105896404088,elhigh-radnear-az315,315,0.11273388256613147,0.02875717639790941,elhigh-radnear-az225,225,0.17794121578196118,270,elhigh-radnear-az270,0.14149105896404088,az225 + az270,0.31943227474600205,az225 + az270,0.31943227474600205,315,elhigh-radnear-az315,0.10695691616431485,az225 + az270 + az315,0.4263891909103169
per_class,barrel,elhigh-radmid,16,0,4,0.7223267436586397,0.0,elhigh-radmid-az135,135,0.1549170568242233,elhigh-radmid-az180,180,0.11437791173173309,0.04053914509249021,elhigh-radmid-az135,135,0.20592344507905103,180,elhigh-radmid-az180,0.17658423280504465,az135 + az180,0.3825076778840957,az135 + az180,0.3825076778840957,45,elhigh-radmid-az045,0.09803261520769663,az045 + az135 + az180,0.4805402930917923
per_class,barrel,elhigh-radfar,10,0,2,0.7503134932771457,0.0,elhigh-radfar-az225,225,0.15404329030988073,elhigh-radfar-az180,180,0.12445361734651302,0.029589672963367716,elhigh-radfar-az225,225,0.1966249647218131,180,elhigh-radfar-az180,0.15038585932284645,az180 + az225,0.34701082404465955,az180 + az225,0.34701082404465955,315,elhigh-radfar-az315,0.14133843266262897,az180 + az225 + az315,0.4883492567072885
per_class,container,ellow-radnear,18,0,4,0.9684295634285434,0.0,ellow-radnear-az180,180,0.21218931567433086,ellow-radnear-az000,0,0.16719914564137145,0.04499017003295941,ellow-radnear-az135,135,0.3162416181722981,180,ellow-radnear-az180,0.2641322628681321,az135 + az180,0.5803738810404302,az135 + az180,0.5803738810404302,0,ellow-radnear-az000,0.16541269899988664,az000 + az135 + az180,0.7457865800403168
