group,target_class,ring_id,base_coalition_mask,base_coalition_size,base_coalition_members,candidate_azimuth,candidate_viewpoint,expanded_coalition_mask,expanded_coalition_size,expanded_coalition_members,base_value,expanded_value,delta_value,rank_within_base_coalition
overall,all,ellow-radnear,0,0,(empty),180,ellow-radnear-az180,16,1,az180,0.0,0.22119663516296234,0.22119663516296234,1
overall,all,ellow-radnear,0,0,(empty),225,ellow-radnear-az225,32,1,az225,0.0,0.22027086627992865,0.22027086627992865,2
overall,all,ellow-radnear,0,0,(empty),135,ellow-radnear-az135,8,1,az135,0.0,0.192237558592395,0.192237558592395,3
overall,all,ellow-radnear,0,0,(empty),90,ellow-radnear-az090,4,1,az090,0.0,0.18897565772141234,0.18897565772141234,4
overall,all,ellow-radnear,0,0,(empty),0,ellow-radnear-az000,1,1,az000,0.0,0.18856108429399743,0.18856108429399743,5
overall,all,ellow-radnear,0,0,(empty),45,ellow-radnear-az045,2,1,az045,0.0,0.18641505718747925,0.18641505718747925,6
overall,all,ellow-radnear,0,0,(empty),270,ellow-radnear-az270,64,1,az270,0.0,0.17350523392113928,0.17350523392113928,7
overall,all,ellow-radnear,0,0,(empty),315,ellow-radnear-az315,128,1,az315,0.0,0.1618817568275991,0.1618817568275991,8
overall,all,ellow-radnear,1,1,az000,180,ellow-radnear-az180,17,2,az000 + az180,0.18856108429399743,0.3917115898215095,0.20315050552751207,1
overall,all,ellow-radnear,1,1,az000,225,ellow-radnear-az225,33,2,az000 + az225,0.18856108429399743,0.37507310072686983,0.1865120164328724,2
overall,all,ellow-radnear,1,1,az000,45,ellow-radnear-az045,3,2,az000 + az045,0.18856108429399743,0.3507804872132713,0.1622194029192739,3
overall,all,ellow-radnear,1,1,az000,135,ellow-radnear-az135,9,2,az000 + az135,0.18856108429399743,0.33976223241168135,0.15120114811768393,4
overall,all,ellow-radnear,1,1,az000,90,ellow-radnear-az090,5,2,az000 + az090,0.18856108429399743,0.33453706252131604,0.14597597822731861,5
overall,all,ellow-radnear,1,1,az000,315,ellow-radnear-az315,129,2,az000 + az315,0.18856108429399743,0.32986437794567675,0.14130329365167932,6
overall,all,ellow-radnear,1,1,az000,270,ellow-radnear-az270,65,2,az000 + az270,0.18856108429399743,0.32753190706515,0.13897082277115258,7
