group,target_class,ring_id,base_coalition_mask,base_coalition_size,base_coalition_members,base_value,best_addition_azimuth,best_addition_viewpoint,expanded_coalition_mask,expanded_coalition_size,expanded_coalition_members,expanded_value,delta_value
overall,all,ellow-radnear,16,1,az180,0.22119663516296234,225,ellow-radnear-az225,48,2,az180 + az225,0.39966002993291305,0.1784633947699507
overall,all,ellow-radnear,34,2,az045 + az225,0.4066859234674079,180,ellow-radnear-az180,50,3,az045 + az180 + az225,0.5583439246500373,0.15165800118262945
overall,all,ellow-radnear,50,3,az045 + az180 + az225,0.5583439246500373,90,ellow-radnear-az090,54,4,az045 + az090 + az180 + az225,0.6773269781932441,0.11898305354320671
overall,all,ellow-radnear,54,4,az045 + az090 + az180 + az225,0.6773269781932441,0,ellow-radnear-az000,55,5,az000 + az045 + az090 + az180 + az225,0.7621559971437406,0.08482901895049655
overall,all,ellow-radnear,59,5,az000 + az045 + az135 + az180 + az225,0.7666807328474965,270,ellow-radnear-az270,123,6,az000 + az045 + az135 + az180 + az225 + az270,0.8375286755530217,0.07084794270552519
overall,all,ellow-radnear,123,6,az000 + az045 + az135 + az180 + az225 + az270,0.8375286755530217,90,ellow-radnear-az090,127,7,az000 + az045 + az090 + az135 + az180 + az225 + az270,0.8939698647888377,0.05644118923581598
overall,all,ellow-radnear,127,7,az000 + az045 + az090 + az135 + az180 + az225 + az270,0.8939698647888377,315,ellow-radnear-az315,255,8,az000 + az045 + az090 + az135 + az180 + az225 + az270 + az315,0.9201977394836536,0.02622787469481591
overall,all,ellow-radmid,2,1,az045,0.20769707830795944,315,ellow-radmid-az315,130,2,az045 + az315,0.40251015504701565,0.1948130767390562
overall,all,ellow-radmid,130,2,az045 + az315,0.40251015504701565,90,ellow-radmid-az090,134,3,az045 + az090 + az315,0.5288698681716776,0.12635971312466193
overall,all,ellow-radmid,134,3,az045 + az090 + az315,0.5288698681716776,0,ellow-radmid-az000,135,4,az000 + az045 + az090 + az315,0.6360635764677665,0.10719370829608887
overall,all,ellow-radmid,163,4,az000 + az045 + az225 + az315,0.6436425193070798,90,ellow-radmid-az090,167,5,az000 + az045 + az090 + az225 + az315,0.7276412014325483,0.08399868212546846
overall,all,ellow-radmid,167,5,az000 + az045 + az090 + az225 + az315,0.7276412014325483,270,ellow-radmid-az270,231,6,az000 + az045 + az090 + az225 + az270 + az315,0.7973485406374906,0.06970733920494232
overall,all,ellow-radmid,231,6,az000 + az045 + az090 + az225 + az270 + az315,0.7973485406374906,180,ellow-radmid-az180,247,7,az000 + az045 + az090 + az180 + az225 + az270 + az315,0.8511326762482174,0.05378413561072681
overall,all,ellow-radmid,247,7,az000 + az045 + az090 + az180 + az225 + az270 + az315,0.8511326762482174,135,ellow-radmid-az135,255,8,az000 + az045 + az090 + az135 + az180 + az225 + az270 + az315,0.8974515696586898,0.04631889341047235
overall,all,ellow-radfar,1,1,az000,0.2034608568169912,135,ellow-radfar-az135,9,2,az000 + az135,0.3594918628273519,0.1560310060103607
overall,all,ellow-radfar,9,2,az000 + az135,0.3594918628273519,270,ellow-radfar-az270,73,3,az000 + az135 + az270,0.4785846925534969,0.11909282972614499
overall,all,ellow-radfar,73,3,az000 + az135 + az270,0.4785846925534969,225,ellow-radfar-az225,105,4,az000 + az135 + az225 + az270,0.5897990580470401,0.11121436549354324
overall,all,ellow-radfar,105,4,az000 + az135 + az225 + az270,0.5897990580470401,180,ellow-radfar-az180,121,5,az000 + az135 + az180 + az225 + az270,0.6793118223354703,0.08951276428843014
overall,all,ellow-radfar,121,5,az000 + az135 + az180 + az225 + az270,0.6793118223354703,315,ellow-radfar-az315,249,6,az000 + az135 + az180 + az225 + az270 + az315,0.7542455026640139,0.07493368032854364
overall,all,ellow-radfar,249,6,az000 + az135 + az180 + az225 + az270 + az315,0.7542455026640139,90,ellow-radfar-az090,253,7,az000 + az090 + az135 + az180 + az225 + az270 + az315,0.8103547034916171,0.05610920082760318
overall,all,ellow-radfar,253,7,az000 + az090 + az135 + az180 + az225 + az270 + az315,0.8103547034916171,45,ellow-radfar-az045,255,8,az000 + az045 + az090 + az135 + az180 + az225 + az270 + az315,0.860633360746207,0.05027865725458991
overall,all,elmid-radnear,8,1,az135,0.26294263328350614,270,elmid-radnear-az270,72,2,az135 + az270,0.4789481202490699,0.21600548696556376
overall,all,elmid-radnear,72,2,az135 + az270,0.4789481202490699,180,elmid-radnear-az180,88,3,az135 + az180 + az270,0.6165568506327632,0.1376087303836933
overall,all,elmid-radnear,88,3,az135 + az180 + az270,0.6165568506327632,90,elmid-radnear-az090,92,4,az090 + az135 + az180 + az270,0.7309288509470199,0.11437200031425665
overall,all,elmid-radnear,92,4,az090 + az135 + az180 + az270,0.7309288509470199,315,elmid-radnear-az315,220,5,az090 + az135 + az180 + az270 + az315,0.8276687037536915,0.09673985280667163
overall,all,elmid-radnear,220,5,az090 + az135 + az180 + az270 + az315,0.8276687037536915,45,elmid-radnear-az045,222,6,az045 + az090 + az135 + az180 + az270 + az315,0.8777105898554144,0.05004188610172289
overall,all,elmid-radnear,222,6,az045 + az090 + az135 + az180 + az270 + az315,0.8777105898554144,225,elmid-radnear-az225,254,7,az045 + az090 + az135 + az180 + az225 + az270 + az315,0.9170790184634983,0.03936842860808387
