ring_id,azimuth,observed_shapley,bootstrap_mean,bootstrap_ci_low,bootstrap_ci_high,selected_as_top_rate
ellow-radnear,0,0.11151232918889231,0.11120743639628375,0.07336432764272201,0.15208766552780098,0.04
ellow-radnear,45,0.11951638610212911,0.11954799697614753,0.08007827586231073,0.16144248029962616,0.07825
ellow-radnear,90,0.10072868155001347,0.10047007676909817,0.06720213964689,0.13645568214864393,0.01
ellow-radnear,135,0.11333962046770182,0.11350883402550503,0.07564614047069254,0.15478256713204486,0.04975
ellow-radnear,180,0.1446603188367268,0.1446530874940178,0.09997404859660144,0.19073565838507486,0.3785
ellow-radnear,225,0.14663901987458022,0.14709275753982382,0.10316208948879572,0.1964553464001476,0.43375
ellow-radnear,270,0.09855394849782441,0.0982856487717012,0.065271292778888,0.13507562861725703,0.00875
ellow-radnear,315,0.08524743496578521,0.08548399263107793,0.05598960792444874,0.11906121738128383,0.001
ellow-radmid,0,0.11788186371536273,0.11839750025239032,0.07936685447458762,0.1613910457549332,0.076
ellow-radmid,45,0.13326922237212696,0.13251760163800652,0.09089718601084541,0.17613872524240506,0.20525
ellow-radmid,90,0.11511326451380056,0.11487508572325586,0.0746258312710546,0.1560999094879609,0.0505
ellow-radmid,135,0.09748421758757332,0.0975028692222466,0.06380946937789635,0.1345391227242412,0.0105
ellow-radmid,180,0.08143669905541116,0.08140070697594053,0.04658617113900025,0.11931682298370568,0.003
ellow-radmid,225,0.10323734334270047,0.10340764609951841,0.06528633451211721,0.14506432796991928,0.028
ellow-radmid,270,0.09476537746867943,0.09482966280526813,0.059391012755533726,0.13366663562129485,0.0065
ellow-radmid,315,0.15426358160303538,0.1544781354314899,0.1069721684004064,0.20559449892467083,0.62025
ellow-radfar,0,0.13610467033369003,0.13577710791352798,0.09354348450920066,0.18187349848630957,0.42775
ellow-radfar,45,0.07927803095098254,0.07954560230937478,0.04638085275696293,0.11648855413356841,0.003
ellow-radfar,90,0.0950285166649357,0.09422740792162909,0.059934675424450225,0.13289825449392234,0.01675
ellow-radfar,135,0.12394982719720253,0.12439073673800638,0.08435469207934225,0.16722997692164285,0.22225
ellow-radfar,180,0.10110724541108687,0.1016528167236169,0.06467805280183733,0.1431488648316468,0.03925
ellow-radfar,225,0.11674542133043925,0.116922439461749,0.07512323574471062,0.16032392113320876,0.144
ellow-radfar,270,0.1155809253752782,0.11574957382988348,0.07545397142922113,0.15950426754799976,0.133
ellow-radfar,315,0.09283872348259202,0.09214425010331888,0.056843601520145656,0.13229279811726358,0.014
elmid-radnear,0,0.07150458771289953,0.07159163644062157,0.04189667025019133,0.10516825273331455,0.0
elmid-radnear,45,0.10409147290288459,0.10419590291094019,0.06915110889115926,0.14165740168339494,0.0005
