ring_id,coalition_mask,subset_size,coalition_members,coalition_value
elmid-radnear,0,0,(empty),0.0
elmid-radnear,1,1,az000,0.12948474099487683
elmid-radnear,2,1,az045,0.19710768743664897
elmid-radnear,3,2,az000 az045,0.32035913020290235
elmid-radnear,4,1,az090,0.18193630958748558
elmid-radnear,5,2,az000 az090,0.29563941116724146
elmid-radnear,6,2,az045 az090,0.33378269864412224
elmid-radnear,7,3,az000 az045 az090,0.4412525019952547
elmid-radnear,8,1,az135,0.26294263328350614
elmid-radnear,9,2,az000 az135,0.363952155887723
elmid-radnear,10,2,az045 az135,0.39677176149336996
elmid-radnear,11,3,az000 az045 az135,0.4915479858689634
elmid-radnear,12,2,az090 az135,0.4108198946464333
elmid-radnear,13,3,az000 az090 az135,0.4998908928844313
elmid-radnear,14,3,az045 az090 az135,0.5042748631440755
elmid-radnear,15,4,az000 az045 az090 az135,0.5871125631534501
elmid-radnear,16,1,az180,0.19097696959349028
elmid-radnear,17,2,az000 az180,0.2898005141947616
elmid-radnear,18,2,az045 az180,0.36970157209531695
elmid-radnear,19,3,az000 az045 az180,0.46229181846796497
elmid-radnear,20,2,az090 az180,0.3407486034349118
elmid-radnear,21,3,az000 az090 az180,0.4298010345632943
elmid-radnear,22,3,az045 az090 az180,0.480248075382253
elmid-radnear,23,4,az000 az045 az090 az180,0.5630672082820122
elmid-radnear,24,2,az135 az180,0.41688706397999864
elmid-radnear,25,3,az000 az135 az180,0.48723539019060996
elmid-radnear,26,3,az045 az135 az180,0.5383542938420485
elmid-radnear,27,4,az000 az045 az135 az180,0.6024693218240366
elmid-radnear,28,3,az090 az135 az180,0.5386738364121111
elmid-radnear,29,4,az000 az090 az135 az180,0.6030941641987356
elmid-radnear,30,4,az045 az090 az135 az180,0.6258030743874666
elmid-radnear,31,5,az000 az045 az090 az135 az180,0.6839901039454677
elmid-radnear,32,1,az225,0.145213904569886
elmid-radnear,33,2,az000 az225,0.2531408692179264
elmid-radnear,34,2,az045 az225,0.30380993447956717
elmid-radnear,35,3,az000 az045 az225,0.40550360089898413
elmid-radnear,36,2,az090 az225,0.30739398855306593
elmid-radnear,37,3,az000 az090 az225,0.40225556637724663
elmid-radnear,38,3,az045 az090 az225,0.4300943983019946
elmid-radnear,39,4,az000 az045 az090 az225,0.5187226778975519
elmid-radnear,40,2,az135 az225,0.38794165936015484
elmid-radnear,41,3,az000 az135 az225,0.475890678412303
elmid-radnear,42,3,az045 az135 az225,0.49383425606640174
elmid-radnear,43,4,az000 az045 az135 az225,0.5755499768899266
elmid-radnear,44,3,az090 az135 az225,0.5235632879635691
elmid-radnear,45,4,az000 az090 az135 az225,0.6000597279863309
elmid-radnear,46,4,az045 az090 az135 az225,0.5937953777068328
elmid-radnear,47,5,az000 az045 az090 az135 az225,0.6640585195009712
elmid-radnear,48,2,az180 az225,0.3124317194493916
elmid-radnear,49,3,az000 az180 az225,0.3956233969033457
elmid-radnear,50,3,az045 az180 az225,0.45775841039386383
elmid-radnear,51,4,az000 az045 az180 az225,0.5347167896191946
elmid-radnear,52,3,az090 az180 az225,0.4424471276865074
elmid-radnear,53,4,az000 az090 az180 az225,0.5185839442588339
elmid-radnear,54,4,az045 az090 az180 az225,0.5579143662957541
elmid-radnear,55,5,az000 az045 az090 az180 az225,0.6278178846394572
elmid-radnear,56,3,az135 az180 az225,0.5181269353426625
elmid-radnear,57,4,az000 az135 az180 az225,0.5813406672007243
elmid-radnear,58,4,az045 az135 az180 az225,0.6167713796707093
elmid-radnear,59,5,az000 az045 az135 az180 az225,0.6737518133001477
elmid-radnear,60,4,az090 az135 az180 az225,0.627658075015262
elmid-radnear,61,5,az000 az090 az135 az180 az225,0.6854297537861699
elmid-radnear,62,5,az045 az090 az135 az180 az225,0.6966781802058525
elmid-radnear,63,6,az000 az045 az090 az135 az180 az225,0.7482165607481368
elmid-radnear,64,1,az270,0.2603478563729449
elmid-radnear,65,2,az000 az270,0.37762581130035955
elmid-radnear,66,2,az045 az270,0.4245577721709612
elmid-radnear,67,3,az000 az045 az270,0.5356024288697526
elmid-radnear,68,2,az090 az270,0.4257659022343343
elmid-radnear,69,3,az000 az090 az270,0.5272622177466281
elmid-radnear,70,3,az045 az090 az270,0.5447145196523382
elmid-radnear,71,4,az000 az045 az090 az270,0.6399775369360086
elmid-radnear,72,2,az135 az270,0.4789481202490699
elmid-radnear,73,3,az000 az135 az270,0.5677508567858246
elmid-radnear,74,3,az045 az135 az270,0.5946921875378474
elmid-radnear,75,4,az000 az045 az135 az270,0.6772616258459788
elmid-radnear,76,3,az090 az135 az270,0.61585323790784
elmid-radnear,77,4,az000 az090 az135 az270,0.6927174500783757
elmid-radnear,78,4,az045 az090 az135 az270,0.6912231454843959
elmid-radnear,79,5,az000 az045 az090 az135 az270,0.7618540594263083
elmid-radnear,80,2,az180 az270,0.42917096723400033
elmid-radnear,81,3,az000 az180 az270,0.5214936073596704
elmid-radnear,82,3,az045 az180 az270,0.5749977980971943
elmid-radnear,83,4,az000 az045 az180 az270,0.6610871399942411
elmid-radnear,84,3,az090 az180 az270,0.5659817089356267
elmid-radnear,85,4,az000 az090 az180 az270,0.6485332355884081
elmid-radnear,86,4,az045 az090 az180 az270,0.6725834092443352
elmid-radnear,87,5,az000 az045 az090 az180 az270,0.7489016376684933
elmid-radnear,88,3,az135 az180 az270,0.6165568506327632
elmid-radnear,89,4,az000 az135 az180 az270,0.6804042723677736
elmid-radnear,90,4,az045 az135 az180 az270,0.719939019573727
elmid-radnear,91,5,az000 az045 az135 az180 az270,0.7775531430801139
elmid-radnear,92,4,az090 az135 az180 az270,0.7309288509470199
elmid-radnear,93,5,az000 az090 az135 az180 az270,0.7888482742580434
elmid-radnear,94,5,az045 az090 az135 az180 az270,0.799973028001289
elmid-radnear,95,6,az000 az045 az090 az135 az180 az270,0.8516591530836892
elmid-radnear,96,2,az225 az270,0.3931595384152833
elmid-radnear,97,3,az000 az225 az270,0.48887971699586147
elmid-radnear,98,3,az045 az225 az270,0.5188577966863317
elmid-radnear,99,4,az000 az045 az225 az270,0.6083446770382864
elmid-radnear,100,3,az090 az225 az270,0.5388213586723669
elmid-radnear,101,4,az000 az090 az225 az270,0.6214761504290854
elmid-radnear,102,4,az045 az090 az225 az270,0.628623996782663
elmid-radnear,103,5,az000 az045 az090 az225 az270,0.705045490310758
elmid-radnear,104,3,az135 az225 az270,0.591544923798171
elmid-radnear,105,4,az000 az135 az225 az270,0.667287156782857
elmid-radnear,106,4,az045 az135 az225 az270,0.6793524595833316
elmid-radnear,107,5,az000 az045 az135 az225 az270,0.7488613943393941
elmid-radnear,108,4,az090 az135 az225 az270,0.716194408697428
elmid-radnear,109,5,az000 az090 az135 az225 az270,0.7804840626527276
elmid-radnear,110,5,az045 az090 az135 az225 az270,0.7683414375196054
elmid-radnear,111,6,az000 az045 az090 az135 az225 az270,0.8263977932462816
elmid-radnear,112,3,az180 az225 az270,0.5382234945623539
elmid-radnear,113,4,az000 az180 az225 az270,0.6149142675407069
elmid-radnear,114,4,az045 az180 az225 az270,0.6506524138681934
elmid-radnear,115,5,az000 az045 az180 az225 az270,0.7211098886179231
elmid-radnear,116,4,az090 az180 az225 az270,0.6552780106596747
elmid-radnear,117,5,az000 az090 az180 az225 az270,0.7249139227564002
elmid-radnear,118,5,az045 az090 az180 az225 az270,0.7378474776302888
elmid-radnear,119,6,az000 az045 az090 az180 az225 az270,0.801250091498391
elmid-radnear,120,4,az135 az180 az225 az270,0.7053944994678796
elmid-radnear,121,5,az000 az135 az180 az225 az270,0.7621073268503403
elmid-radnear,122,5,az045 az135 az180 az225 az270,0.7859538828748399
elmid-radnear,123,6,az000 az045 az135 az180 az225 az270,0.8364334120286774
elmid-radnear,124,5,az090 az135 az180 az225 az270,0.8075108670226232
elmid-radnear,125,6,az000 az090 az135 az180 az225 az270,0.8587816413179299
elmid-radnear,126,6,az045 az090 az135 az180 az225 az270,0.8584459112921273
elmid-radnear,127,7,az000 az045 az090 az135 az180 az225 az270,0.9034833873588105
elmid-radnear,128,1,az315,0.2050563717331663
elmid-radnear,129,2,az000 az315,0.30392918957715487
elmid-radnear,130,2,az045 az315,0.36486287558612535
elmid-radnear,131,3,az000 az045 az315,0.4575023952014905
elmid-radnear,132,2,az090 az315,0.3710420866000724
elmid-radnear,133,3,az000 az090 az315,0.45413326502893997
elmid-radnear,134,3,az045 az090 az315,0.49181858309106924
elmid-radnear,135,4,az000 az045 az090 az315,0.5686764632913134
elmid-radnear,136,2,az135 az315,0.41881997710155294
elmid-radnear,137,3,az000 az135 az315,0.4892175765548815
elmid-radnear,138,3,az045 az135 az315,0.5274155233408203
elmid-radnear,139,4,az000 az045 az135 az315,0.5915798245655254
elmid-radnear,140,3,az090 az135 az315,0.5507466437439005
elmid-radnear,141,4,az000 az090 az135 az315,0.6092057188310102
elmid-radnear,142,4,az045 az090 az135 az315,0.6251993212889965
elmid-radnear,143,5,az000 az045 az090 az135 az315,0.6774250981474828
