ring_id,base_coalition_size,added_drone_number,mean_marginal_gain_across_all_azimuths,mean_shapley_component_across_all_azimuths,mean_cumulative_share_of_total_shapley,top_viewpoint,top_azimuth,top_mean_marginal_gain,top_shapley_component_from_this_size,second_viewpoint,second_azimuth,second_mean_marginal_gain,top_minus_second_marginal_gap
ellow-radnear,0,1,0.19163048124836418,0.023953810156045523,0.21114959049924797,ellow-radnear-az180,180,0.22119663516296234,0.027649579395370293,ellow-radnear-az225,225,0.22027086627992865,0.0009257688830336952
ellow-radnear,1,2,0.1631894166253718,0.020398677078171477,0.3903046137081446,ellow-radnear-az225,225,0.19379244718410543,0.02422405589801318,ellow-radnear-az180,180,0.19267557629798984,0.0011168708861155896
ellow-radnear,2,3,0.1383635229183668,0.01729544036479585,0.5415471026383005,ellow-radnear-az225,225,0.17036720351562312,0.02129590043945289,ellow-radnear-az180,180,0.16782512460851814,0.0025420789071049776
ellow-radnear,3,4,0.11688214480799539,0.014610268100999423,0.6686456233225502,ellow-radnear-az225,225,0.14972889441032722,0.018716111801290902,ellow-radnear-az180,180,0.1463702103199944,0.0033586840903328252
ellow-radnear,4,5,0.0984746269749037,0.012309328371862962,0.7750552748149515,ellow-radnear-az225,225,0.13161127900406272,0.01645140987550784,ellow-radnear-az180,180,0.12803576365786581,0.003575515346196906
ellow-radnear,5,6,0.082870314099738,0.01035878926246725,0.8639176891907863,ellow-radnear-az225,225,0.11574811643267499,0.014468514554084374,ellow-radnear-az180,180,0.11254671484757943,0.003201401585095562
ellow-radnear,6,7,0.06979855086314439,0.008724818857893049,0.9380610315465592,ellow-radnear-az225,225,0.10187316583200913,0.012734145729001141,ellow-radnear-az180,180,0.09962799411458245,0.0022451717174266778
ellow-radnear,7,8,0.05898868194576934,0.007373585243221167,1.0,ellow-radnear-az225,225,0.08972018633791068,0.011215023292238835,ellow-radnear-az180,180,0.08900453168432221,0.0007156546535884711
ellow-radmid,0,1,0.17113274790526972,0.021391593488158715,0.1922351509459832,ellow-radmid-az045,45,0.20769707830795944,0.02596213478849493,ellow-radmid-az315,315,0.2051882214551369,0.0025088568528225386
ellow-radmid,1,2,0.15018967372924427,0.018773709216155534,0.3604775113565065,ellow-radmid-az315,315,0.18847225828556916,0.023559032285696144,ellow-radmid-az045,45,0.18059087698080073,0.007881381304768426
ellow-radmid,2,3,0.13146221626200677,0.016432777032750846,0.5073082863285261,ellow-radmid-az315,315,0.1728393281504851,0.02160491601881064,ellow-radmid-az045,45,0.15673661376734824,0.016102714383136874
ellow-radmid,3,4,0.11481782018431606,0.014352227523039508,0.6351568158446474,ellow-radmid-az315,315,0.15828943104988466,0.019786178881235583,ellow-radmid-az045,45,0.13586917802911955,0.022420253020765113
ellow-radmid,4,5,0.10012393017693104,0.01251549127211638,0.746300574773126,ellow-radmid-az315,315,0.14482256698376783,0.01810282087297098,ellow-radmid-az045,45,0.11772345912763242,0.02709910785613541
ellow-radmid,5,6,0.08724799092061047,0.01090599886507631,0.8428651728678664,ellow-radmid-az315,315,0.13243873595213465,0.01655484199401683,ellow-radmid-az045,45,0.10203434642440445,0.030404389527730197
ellow-radmid,6,7,0.0760574470961132,0.00950718088701415,0.9268243547684231,ellow-radmid-az315,315,0.12113793795498506,0.015142242244373133,ellow-radmid-az045,45,0.08853672928095334,0.032601208674031726
ellow-radmid,7,8,0.06641974338419822,0.008302467923024777,0.9999999999999999,ellow-radmid-az315,315,0.11092017299231927,0.013865021624039908,ellow-radmid-az045,45,0.07696549705879685,0.033954675933522416
ellow-radfar,0,1,0.15344738334003732,0.019180922917504666,0.1786318525251657,ellow-radfar-az000,0,0.2034608568169912,0.0254326071021239,ellow-radfar-az135,135,0.1815464032994458,0.021914453517545396
ellow-radfar,1,2,0.1372233661683815,0.017152920771047686,0.3382642110379329,ellow-radfar-az000,0,0.18063129985593787,0.022578912481992234,ellow-radfar-az135,135,0.16013892320895654,0.020492376646981336
ellow-radfar,2,3,0.12278658061451199,0.015348322576813999,0.4810066624063353,ellow-radfar-az000,0,0.15979092682853052,0.019973865853566315,ellow-radfar-az135,135,0.14166275071209736,0.018128176116433165
ellow-radfar,3,4,0.10995476673894657,0.01374434584236832,0.6087515670346344,ellow-radfar-az000,0,0.14078236348846782,0.017597795436058477,ellow-radfar-az135,135,0.12575336592990358,0.015028997558564239
ellow-radfar,4,5,0.09854566460220279,0.012318208075275349,0.7231740588633193,ellow-radfar-az000,0,0.12344823558944848,0.01543102944868106,ellow-radfar-az135,135,0.1120462489834104,0.011401986606038084
ellow-radfar,5,6,0.0883770142647983,0.011047126783099787,0.8257320453691073,ellow-radfar-az000,0,0.10763116888517113,0.013453896110646391,ellow-radfar-az225,225,0.10190684938090985,0.005724319504261277
ellow-radfar,6,7,0.07926655578725078,0.009908319473406348,0.9176662075649433,ellow-radfar-az225,225,0.09490507518355153,0.01186313439794394,ellow-radfar-az000,0,0.09317378912933451,0.0017312860542170183
ellow-radfar,7,8,0.07103202923007775,0.008879003653759718,1.0,ellow-radfar-az225,225,0.08876964963752854,0.011096206204691067,ellow-radfar-az270,270,0.08521702343373183,0.003552626203796705
elmid-radnear,0,1,0.19663330919650063,0.02457916364956258,0.21345846924106496,elmid-radnear-az135,135,0.26294263328350614,0.03286782916043827,elmid-radnear-az270,270,0.2603478563729449,0.0025947769105612584
elmid-radnear,1,2,0.16791830632282373,0.020989788290352966,0.3945404485318381,elmid-radnear-az270,270,0.23669203463523467,0.029586504329404333,elmid-radnear-az135,135,0.22343097034711484,0.013261064288119823
elmid-radnear,2,3,0.1425394210880714,0.017817427636008926,0.5470602519076233,elmid-radnear-az270,270,0.21527603980427368,0.02690950497553421,elmid-radnear-az135,135,0.1882850191708044,0.02699102063346928
elmid-radnear,3,4,0.12031915337962881,0.015039894172453602,0.6746217988137619,elmid-radnear-az270,270,0.19594150973267363,0.024492688716584204,elmid-radnear-az135,135,0.15730814167673363,0.038633368055940004
elmid-radnear,4,5,0.10108000308488099,0.012635000385610124,0.780618614105633,elmid-radnear-az270,270,0.17853008227304618,0.022316260284130772,elmid-radnear-az135,135,0.13030369978706083,0.04822638248598535
elmid-radnear,5,6,0.08464447009121318,0.010580558761401647,0.8682338280486538,elmid-radnear-az270,270,0.16288339527800305,0.02036042440975038,elmid-radnear-az135,135,0.10707505542394483,0.055808339854058225
elmid-radnear,6,7,0.07083505428601036,0.008854381785751295,0.9404401763182786,elmid-radnear-az270,270,0.14884308660015586,0.018605385825019482,elmid-radnear-az135,135,0.08742557050954392,0.06141751609061194
