viewpoint,elevation,radius,azimuth,scene_count,sample_count,mean_target_ap50_95,mean_target_strict_quality_iou50,mean_target_match_confidence_iou50,target_visible_rate,target_detected_rate
ellow-radnear-az225,low,near,225,36,36,0.8585031392068458,0.9422698168641391,0.9678751445478864,1.0,1.0
elmid-radnear-az315,mid,near,315,33,33,0.9613336250985963,0.9382882464153973,0.9618144324331572,1.0,1.0
elmid-radnear-az000,mid,near,0,21,21,0.9263145329839101,0.9310569471536381,0.9638969273794264,1.0,1.0
elmid-radnear-az045,mid,near,45,32,32,0.9156071375252578,0.9301019000916874,0.962074114009738,1.0,1.0
elhigh-radnear-az000,high,near,0,34,34,0.937761748385335,0.9290929259368824,0.9580160677433014,1.0,1.0
ellow-radmid-az315,low,mid,315,33,33,0.8816379968561886,0.926455908994406,0.9577774279045336,1.0,1.0
ellow-radnear-az135,low,near,135,32,32,0.8764634217007157,0.9251432507259009,0.9596788734197617,1.0,1.0
elmid-radnear-az135,mid,near,135,43,43,0.9075941350469103,0.9233566889723123,0.9531030044999234,1.0,1.0
elmid-radnear-az270,mid,near,270,43,43,0.9136514213008092,0.9142447979608065,0.9512969338616659,1.0,1.0
ellow-radnear-az090,low,near,90,32,32,0.8485322125212844,0.9094453527842968,0.9551473651081324,1.0,1.0
elmid-radfar-az000,mid,far,0,27,27,0.889695159327168,0.9085655512375765,0.9465464817153083,1.0,1.0
elhigh-radfar-az315,high,far,315,30,30,0.913874886525326,0.9064996203345702,0.94234472711881,1.0,1.0
elmid-radmid-az270,mid,mid,270,40,40,0.907396100282624,0.9054478044083016,0.9472495675086975,1.0,1.0
elmid-radmid-az090,mid,mid,90,29,29,0.896036854401307,0.904437681285708,0.9468219917396019,1.0,1.0
elhigh-radnear-az225,high,near,225,36,36,0.931466464078558,0.9026729541798686,0.9442787882354524,1.0,1.0
elmid-radnear-az180,mid,near,180,32,32,0.9379400283138873,0.9011725752692823,0.9366855788975954,1.0,1.0
elhigh-radfar-az135,high,far,135,25,25,0.9031716113134105,0.9000449884349474,0.9410389041900635,1.0,1.0
elmid-radmid-az045,mid,mid,45,35,35,0.9011834853674903,0.8989723176203146,0.9405283212661744,1.0,1.0
elmid-radfar-az225,mid,far,225,36,36,0.876669020604217,0.8979020610527405,0.9380710754129622,1.0,1.0
elmid-radmid-az315,mid,mid,315,29,29,0.9118625298779983,0.8978907647064809,0.9468228611452826,1.0,1.0
elhigh-radnear-az180,high,near,180,31,31,0.9207228772577426,0.8977822678377404,0.9382830300638753,1.0,1.0
ellow-radnear-az045,low,near,45,32,32,0.7916880877488965,0.8971224627147438,0.9269900098443031,0.96875,0.96875
elmid-radmid-az135,mid,mid,135,20,20,0.920686990227785,0.894408380209289,0.9417726159095764,1.0,1.0
elhigh-radmid-az225,high,mid,225,36,36,0.914632626465496,0.8941819787064256,0.9385479936997095,1.0,1.0
elhigh-radfar-az270,high,far,270,30,30,0.9324050908740898,0.8940785628099618,0.9391388893127441,1.0,1.0
elhigh-radmid-az315,high,mid,315,24,24,0.9072669750233975,0.8927043491267641,0.9366868486007055,1.0,1.0
elhigh-radfar-az180,high,far,180,25,25,0.904640827059239,0.892690462670615,0.9386737442016602,1.0,1.0
ellow-radnear-az270,low,near,270,30,30,0.7783753879723747,0.8906602007951817,0.9181212941805522,0.9666666666666667,0.9666666666666667
elmid-radmid-az000,mid,mid,0,42,42,0.8731641982117042,0.887476872372253,0.9354027112325033,1.0,1.0
elmid-radnear-az090,mid,near,90,31,31,0.910072295777202,0.8862058950874298,0.9342678881460621,1.0,1.0
elmid-radfar-az270,mid,far,270,26,26,0.8874455977807689,0.884992142983688,0.9309246150346903,1.0,1.0
elhigh-radnear-az045,high,near,45,23,23,0.8968312648661896,0.8846867204114461,0.9347101216730864,1.0,1.0
elhigh-radfar-az045,high,far,45,39,39,0.9059152228516252,0.8844867578821718,0.9335005833552434,1.0,1.0
elhigh-radmid-az000,high,mid,0,43,43,0.9127047946512323,0.8829026711182688,0.9319229292315107,1.0,1.0
elhigh-radfar-az225,high,far,225,27,27,0.8924605661825011,0.8825921694004585,0.9267853807519983,1.0,1.0
ellow-radmid-az270,low,mid,270,26,26,0.8232399069741068,0.8804566067770992,0.9149148831000695,0.9615384615384616,0.9615384615384616
elhigh-radfar-az090,high,far,90,29,29,0.8997429354253434,0.8803254268781121,0.9341089026681308,1.0,1.0
elmid-radfar-az180,mid,far,180,26,26,0.8589781461913764,0.8790350391536739,0.9313358779136951,1.0,1.0
elhigh-radmid-az180,high,mid,180,30,30,0.8949080103836823,0.8782861484483468,0.929916630188624,1.0,1.0
elmid-radmid-az180,mid,mid,180,31,31,0.8802653022140728,0.8778828076863948,0.9292256024576002,1.0,1.0
elhigh-radnear-az135,high,near,135,32,32,0.8862360495007375,0.8773791921258101,0.9316034652292728,1.0,1.0
elmid-radnear-az225,mid,near,225,25,25,0.8680479174260464,0.8770919836021115,0.9161764550209045,1.0,0.96
elmid-radfar-az315,mid,far,315,26,26,0.8540764147739766,0.8770846934049266,0.9253868414805486,1.0,1.0
elhigh-radnear-az315,high,near,315,29,29,0.8772979538609688,0.8760953887108824,0.929316808437479,1.0,1.0
elhigh-radnear-az090,high,near,90,28,28,0.8869025083150833,0.874549699964973,0.9329765502895627,1.0,1.0
ellow-radnear-az180,low,near,180,39,39,0.8000259317383128,0.8734431234640052,0.9035053956202972,0.9487179487179487,0.9487179487179487
elhigh-radmid-az045,high,mid,45,30,30,0.873074802102382,0.8720404103543078,0.930583902200063,1.0,1.0
elhigh-radfar-az000,high,far,0,29,29,0.8939858701444203,0.8719672046004717,0.9152545214727007,1.0,1.0
elmid-radfar-az090,mid,far,90,29,29,0.8402039547341753,0.8623881413460452,0.926037399933256,1.0,1.0
ellow-radmid-az180,low,mid,180,21,21,0.7245926032250074,0.8616092318182323,0.8985433351425898,0.9523809523809523,0.9523809523809523
ellow-radfar-az180,low,far,180,25,25,0.7695561731382309,0.8611496800146489,0.9022188258171081,0.96,0.96
