target_class,viewpoint,elevation,radius,azimuth,scene_count,sample_count,mean_target_ap50_95,mean_target_strict_quality_iou50,mean_target_match_confidence_iou50,target_visible_rate,target_detected_rate
barrel,ellow-radnear-az090,low,near,90,5,5,0.877309524739782,0.869993494162135,0.9123515367507935,1.0,1.0
barrel,ellow-radnear-az225,low,near,225,5,5,0.8735416667163373,0.8664314056311433,0.9253262996673584,1.0,1.0
barrel,ellow-radnear-az180,low,near,180,3,3,0.8158730217388698,0.8426036941235123,0.8892016013463339,1.0,1.0
barrel,elmid-radnear-az135,mid,near,135,3,3,0.9116666667163372,0.8305873921227883,0.8730882207552592,1.0,1.0
barrel,elmid-radmid-az135,mid,mid,135,1,1,0.9,0.8299292449612139,0.8867248892784119,1.0,1.0
barrel,ellow-radnear-az270,low,near,270,3,3,0.904444445338514,0.8259906860092604,0.8696696559588114,1.0,1.0
barrel,ellow-radnear-az315,low,near,315,2,2,0.8416666678463419,0.8203984512296785,0.9024834036827087,1.0,1.0
barrel,elmid-radnear-az315,mid,near,315,2,2,0.9109375,0.8182182399148701,0.8764364719390869,1.0,1.0
barrel,ellow-radnear-az135,low,near,135,2,2,0.8181250002235174,0.8051187567197893,0.896449625492096,1.0,1.0
barrel,elmid-radnear-az180,mid,near,180,2,2,0.9,0.7895015706276247,0.8556593656539917,1.0,1.0
barrel,ellow-radmid-az270,low,mid,270,2,2,0.7515740787706993,0.787558946197084,0.8949131965637207,1.0,1.0
barrel,elmid-radnear-az090,mid,near,90,4,4,0.8562500000000001,0.7818411200244713,0.8636544346809387,1.0,1.0
barrel,elmid-radnear-az045,mid,near,45,2,2,0.8500000000000001,0.7784865213387047,0.8692938983440399,1.0,1.0
barrel,elmid-radmid-az000,mid,mid,0,7,7,0.8393353178624123,0.7618851774032152,0.8482766492026192,1.0,1.0
barrel,elmid-radnear-az000,mid,near,0,1,1,0.911111115747028,0.761199950657911,0.8809545040130615,1.0,1.0
barrel,elmid-radfar-az045,mid,far,45,3,3,0.7781250000931322,0.7604547489326402,0.853342592716217,1.0,1.0
barrel,ellow-radmid-az225,low,mid,225,2,2,0.7375000003725289,0.7593930966230111,0.8610800504684448,1.0,1.0
barrel,ellow-radmid-az315,low,mid,315,1,1,0.855555557873514,0.7567085428545504,0.867435872554779,1.0,1.0
barrel,elhigh-radfar-az180,high,far,180,2,2,0.711111116492086,0.7519292966142324,0.8161330819129944,1.0,1.0
barrel,elmid-radnear-az270,mid,near,270,2,2,0.7576388904617892,0.7516350857336498,0.8937435448169708,1.0,1.0
barrel,elmid-radfar-az225,mid,far,225,5,5,0.8712500001490117,0.7426669908613668,0.8262009143829345,1.0,1.0
barrel,elmid-radmid-az270,mid,mid,270,4,4,0.7506944448583656,0.737368899911985,0.8480935394763947,1.0,1.0
barrel,ellow-radmid-az135,low,mid,135,3,3,0.7791666666666667,0.736747191399696,0.8622940381368002,1.0,1.0
barrel,elmid-radmid-az045,mid,mid,45,2,2,0.7296296306920271,0.7360406388338507,0.8633352220058441,1.0,1.0
barrel,elmid-radmid-az315,mid,mid,315,5,5,0.7938888903624483,0.7314424844519081,0.8476040244102478,1.0,1.0
barrel,elhigh-radnear-az180,high,near,180,2,2,0.760416666790843,0.7305457294554252,0.831788957118988,1.0,1.0
barrel,elhigh-radnear-az090,high,near,90,2,2,0.8,0.7277310723575781,0.8519643545150757,1.0,1.0
barrel,elmid-radmid-az090,mid,mid,90,3,3,0.7666666666666666,0.7265525995290348,0.8350288073221842,1.0,1.0
barrel,elmid-radmid-az180,mid,mid,180,4,4,0.6817708337679506,0.7245367459570868,0.8496082127094269,1.0,1.0
barrel,elmid-radfar-az270,mid,far,270,1,1,0.6333333343267441,0.7207770094885859,0.8388461470603943,1.0,1.0
barrel,elmid-radfar-az315,mid,far,315,1,1,0.716666667163372,0.7201036946884471,0.832405149936676,1.0,1.0
barrel,elhigh-radmid-az315,high,mid,315,1,1,0.684375,0.7194501350527815,0.8269653916358948,1.0,1.0
barrel,elhigh-radmid-az000,high,mid,0,4,4,0.7564236114008559,0.7175798672020433,0.8317893743515015,1.0,1.0
barrel,elhigh-radnear-az000,high,near,0,2,2,0.7888888897167312,0.7174028259763165,0.8210316002368927,1.0,1.0
barrel,elmid-radfar-az090,mid,far,90,4,4,0.6937500002793968,0.7140749182504713,0.823132112622261,1.0,1.0
barrel,ellow-radnear-az000,low,near,0,6,6,0.767129629864185,0.7134187237721612,0.753481904665629,0.8333333333333334,0.8333333333333334
barrel,elhigh-radnear-az045,high,near,45,1,1,0.8,0.7123035355466456,0.8284043669700623,1.0,1.0
barrel,elmid-radnear-az225,mid,near,225,3,3,0.7000000000000001,0.7112101490025111,0.858177900314331,1.0,1.0
