group,target_class,subset_name,player_count,base_coalition_mask,base_coalition_size,base_coalition_members,candidate_player_index,candidate_viewpoint,expanded_coalition_mask,expanded_coalition_size,expanded_coalition_members,base_value,expanded_value,delta_value,rank_within_base_coalition
overall,all,edges_az135_225,8,0,0,(empty),3,elmid-radnear-az135,4,1,elmid-radnear-az135,0.0,0.27382301810903054,0.27382301810903054,1
overall,all,edges_az135_225,8,0,0,(empty),6,elmid-radfar-az225,32,1,elmid-radfar-az225,0.0,0.22292740826137006,0.22292740826137006,2
overall,all,edges_az135_225,8,0,0,(empty),8,elhigh-radmid-az225,128,1,elhigh-radmid-az225,0.0,0.22200380160987118,0.22200380160987118,3
overall,all,edges_az135_225,8,0,0,(empty),5,elmid-radfar-az135,16,1,elmid-radfar-az135,0.0,0.18036840892001738,0.18036840892001738,4
overall,all,edges_az135_225,8,0,0,(empty),7,elhigh-radmid-az135,64,1,elhigh-radmid-az135,0.0,0.17783338478634028,0.17783338478634028,5
overall,all,edges_az135_225,8,0,0,(empty),1,ellow-radmid-az135,1,1,ellow-radmid-az135,0.0,0.1702012385943444,0.1702012385943444,6
overall,all,edges_az135_225,8,0,0,(empty),2,ellow-radmid-az225,2,1,ellow-radmid-az225,0.0,0.1651059940883299,0.1651059940883299,7
overall,all,edges_az135_225,8,0,0,(empty),4,elmid-radnear-az225,8,1,elmid-radnear-az225,0.0,0.1512227557934675,0.1512227557934675,8
overall,all,edges_az135_225,8,1,1,ellow-radmid-az135,3,elmid-radnear-az135,5,2,ellow-radmid-az135 + elmid-radnear-az135,0.1702012385943444,0.4007713607124052,0.2305701221180608,1
overall,all,edges_az135_225,8,1,1,ellow-radmid-az135,6,elmid-radfar-az225,33,2,ellow-radmid-az135 + elmid-radfar-az225,0.1702012385943444,0.3680057541058683,0.19780451551152387,2
overall,all,edges_az135_225,8,1,1,ellow-radmid-az135,8,elhigh-radmid-az225,129,2,ellow-radmid-az135 + elhigh-radmid-az225,0.1702012385943444,0.36386327543991115,0.19366203684556674,3
overall,all,edges_az135_225,8,1,1,ellow-radmid-az135,7,elhigh-radmid-az135,65,2,ellow-radmid-az135 + elhigh-radmid-az135,0.1702012385943444,0.32035270188573195,0.15015146329138754,4
overall,all,edges_az135_225,8,1,1,ellow-radmid-az135,2,ellow-radmid-az225,3,2,ellow-radmid-az135 + ellow-radmid-az225,0.1702012385943444,0.3196523012085211,0.1494510626141767,5
overall,all,edges_az135_225,8,1,1,ellow-radmid-az135,5,elmid-radfar-az135,17,2,ellow-radmid-az135 + elmid-radfar-az135,0.1702012385943444,0.3157283471557525,0.14552710856140808,6
overall,all,edges_az135_225,8,1,1,ellow-radmid-az135,4,elmid-radnear-az225,9,2,ellow-radmid-az135 + elmid-radnear-az225,0.1702012385943444,0.3098287842459486,0.1396275456516042,7
overall,all,edges_az135_225,8,2,1,ellow-radmid-az225,3,elmid-radnear-az135,6,2,ellow-radmid-az225 + elmid-radnear-az135,0.1651059940883299,0.39658467727181584,0.23147868318348594,1
overall,all,edges_az135_225,8,2,1,ellow-radmid-az225,8,elhigh-radmid-az225,130,2,ellow-radmid-az225 + elhigh-radmid-az225,0.1651059940883299,0.3537301205558652,0.18862412646753532,2
overall,all,edges_az135_225,8,2,1,ellow-radmid-az225,6,elmid-radfar-az225,34,2,ellow-radmid-az225 + elmid-radfar-az225,0.1651059940883299,0.3488611102073944,0.1837551161190645,3
overall,all,edges_az135_225,8,2,1,ellow-radmid-az225,7,elhigh-radmid-az135,66,2,ellow-radmid-az225 + elhigh-radmid-az135,0.1651059940883299,0.3199175677149211,0.15481157362659118,4
overall,all,edges_az135_225,8,2,1,ellow-radmid-az225,1,ellow-radmid-az135,3,2,ellow-radmid-az135 + ellow-radmid-az225,0.1651059940883299,0.3196523012085211,0.1545463071201912,5
overall,all,edges_az135_225,8,2,1,ellow-radmid-az225,5,elmid-radfar-az135,18,2,ellow-radmid-az225 + elmid-radfar-az135,0.1651059940883299,0.30883763084966465,0.14373163676133474,6
overall,all,edges_az135_225,8,2,1,ellow-radmid-az225,4,elmid-radnear-az225,10,2,ellow-radmid-az225 + elmid-radnear-az225,0.1651059940883299,0.3036764826349322,0.13857048854660228,7
overall,all,edges_az135_225,8,4,1,elmid-radnear-az135,6,elmid-radfar-az225,36,2,elmid-radnear-az135 + elmid-radfar-az225,0.27382301810903054,0.4531783258130398,0.17935530770400926,1
overall,all,edges_az135_225,8,4,1,elmid-radnear-az135,8,elhigh-radmid-az225,132,2,elmid-radnear-az135 + elhigh-radmid-az225,0.27382301810903054,0.4334674195843803,0.15964440147534975,2
overall,all,edges_az135_225,8,4,1,elmid-radnear-az135,7,elhigh-radmid-az135,68,2,elmid-radnear-az135 + elhigh-radmid-az135,0.27382301810903054,0.41206596559532077,0.13824294748629024,3
overall,all,edges_az135_225,8,4,1,elmid-radnear-az135,4,elmid-radnear-az225,12,2,elmid-radnear-az135 + elmid-radnear-az225,0.27382301810903054,0.4039944176785061,0.13017139956947554,4
overall,all,edges_az135_225,8,4,1,elmid-radnear-az135,1,ellow-radmid-az135,5,2,ellow-radmid-az135 + elmid-radnear-az135,0.27382301810903054,0.4007713607124052,0.12694834260337468,5
overall,all,edges_az135_225,8,4,1,elmid-radnear-az135,2,ellow-radmid-az225,6,2,ellow-radmid-az225 + elmid-radnear-az135,0.27382301810903054,0.39658467727181584,0.12276165916278531,6
overall,all,edges_az135_225,8,4,1,elmid-radnear-az135,5,elmid-radfar-az135,20,2,elmid-radnear-az135 + elmid-radfar-az135,0.27382301810903054,0.3940770996682954,0.12025408155926487,7
