group,target_class,subset_name,player_count,base_coalition_mask,base_coalition_size,base_coalition_members,candidate_player_index,candidate_viewpoint,expanded_coalition_mask,expanded_coalition_size,expanded_coalition_members,base_value,expanded_value,delta_value,rank_within_base_coalition
overall,all,perimeter_same_az225,8,0,0,(empty),1,ellow-radnear-az225,1,1,ellow-radnear-az225,0.0,0.23075995515040143,0.23075995515040143,1
overall,all,perimeter_same_az225,8,0,0,(empty),6,elhigh-radnear-az225,32,1,elhigh-radnear-az225,0.0,0.22106276428894742,0.22106276428894742,2
overall,all,perimeter_same_az225,8,0,0,(empty),5,elmid-radfar-az225,16,1,elmid-radfar-az225,0.0,0.21989438229863034,0.21989438229863034,3
overall,all,perimeter_same_az225,8,0,0,(empty),7,elhigh-radmid-az225,64,1,elhigh-radmid-az225,0.0,0.2189833417240226,0.2189833417240226,4
overall,all,perimeter_same_az225,8,0,0,(empty),2,ellow-radmid-az225,2,1,ellow-radmid-az225,0.0,0.16285965403270636,0.16285965403270636,5
overall,all,perimeter_same_az225,8,0,0,(empty),8,elhigh-radfar-az225,128,1,elhigh-radfar-az225,0.0,0.16210876580824748,0.16210876580824748,6
overall,all,perimeter_same_az225,8,0,0,(empty),3,ellow-radfar-az225,4,1,ellow-radfar-az225,0.0,0.15888223688612324,0.15888223688612324,7
overall,all,perimeter_same_az225,8,0,0,(empty),4,elmid-radnear-az225,8,1,elmid-radnear-az225,0.0,0.14916530333369243,0.14916530333369243,8
overall,all,perimeter_same_az225,8,1,1,ellow-radnear-az225,7,elhigh-radmid-az225,65,2,ellow-radnear-az225 + elhigh-radmid-az225,0.23075995515040143,0.41816331166851806,0.18740335651811663,1
overall,all,perimeter_same_az225,8,1,1,ellow-radnear-az225,5,elmid-radfar-az225,17,2,ellow-radnear-az225 + elmid-radfar-az225,0.23075995515040143,0.39959709538149374,0.1688371402310923,2
overall,all,perimeter_same_az225,8,1,1,ellow-radnear-az225,6,elhigh-radnear-az225,33,2,ellow-radnear-az225 + elhigh-radnear-az225,0.23075995515040143,0.39234993383050915,0.16158997868010772,3
overall,all,perimeter_same_az225,8,1,1,ellow-radnear-az225,3,ellow-radfar-az225,5,2,ellow-radnear-az225 + ellow-radfar-az225,0.23075995515040143,0.36933930791422603,0.1385793527638246,4
overall,all,perimeter_same_az225,8,1,1,ellow-radnear-az225,2,ellow-radmid-az225,3,2,ellow-radnear-az225 + ellow-radmid-az225,0.23075995515040143,0.36359591533360774,0.13283596018320631,5
overall,all,perimeter_same_az225,8,1,1,ellow-radnear-az225,4,elmid-radnear-az225,9,2,ellow-radnear-az225 + elmid-radnear-az225,0.23075995515040143,0.3446169220940431,0.11385696694364167,6
overall,all,perimeter_same_az225,8,1,1,ellow-radnear-az225,8,elhigh-radfar-az225,129,2,ellow-radnear-az225 + elhigh-radfar-az225,0.23075995515040143,0.3411200502771645,0.11036009512676309,7
overall,all,perimeter_same_az225,8,2,1,ellow-radmid-az225,1,ellow-radnear-az225,3,2,ellow-radnear-az225 + ellow-radmid-az225,0.16285965403270636,0.36359591533360774,0.2007362613009014,1
overall,all,perimeter_same_az225,8,2,1,ellow-radmid-az225,6,elhigh-radnear-az225,34,2,ellow-radmid-az225 + elhigh-radnear-az225,0.16285965403270636,0.3498212922361155,0.18696163820340916,2
overall,all,perimeter_same_az225,8,2,1,ellow-radmid-az225,7,elhigh-radmid-az225,66,2,ellow-radmid-az225 + elhigh-radmid-az225,0.16285965403270636,0.34891746585442485,0.1860578118217185,3
overall,all,perimeter_same_az225,8,2,1,ellow-radmid-az225,5,elmid-radfar-az225,18,2,ellow-radmid-az225 + elmid-radfar-az225,0.16285965403270636,0.3441147005447088,0.18125504651200242,4
overall,all,perimeter_same_az225,8,2,1,ellow-radmid-az225,8,elhigh-radfar-az225,130,2,ellow-radmid-az225 + elhigh-radfar-az225,0.16285965403270636,0.30966355768262804,0.14680390364992169,5
overall,all,perimeter_same_az225,8,2,1,ellow-radmid-az225,3,ellow-radfar-az225,6,2,ellow-radmid-az225 + ellow-radfar-az225,0.16285965403270636,0.3094068287941448,0.14654717476143841,6
overall,all,perimeter_same_az225,8,2,1,ellow-radmid-az225,4,elmid-radnear-az225,10,2,ellow-radmid-az225 + elmid-radnear-az225,0.16285965403270636,0.2995448298099671,0.13668517577726075,7
overall,all,perimeter_same_az225,8,4,1,ellow-radfar-az225,1,ellow-radnear-az225,5,2,ellow-radnear-az225 + ellow-radfar-az225,0.15888223688612324,0.36933930791422603,0.2104570710281028,1
overall,all,perimeter_same_az225,8,4,1,ellow-radfar-az225,6,elhigh-radnear-az225,36,2,ellow-radfar-az225 + elhigh-radnear-az225,0.15888223688612324,0.3682549563148272,0.20937271942870395,2
overall,all,perimeter_same_az225,8,4,1,ellow-radfar-az225,7,elhigh-radmid-az225,68,2,ellow-radfar-az225 + elhigh-radmid-az225,0.15888223688612324,0.33975488446069085,0.1808726475745676,3
overall,all,perimeter_same_az225,8,4,1,ellow-radfar-az225,5,elmid-radfar-az225,20,2,ellow-radfar-az225 + elmid-radfar-az225,0.15888223688612324,0.3331795121382333,0.17429727525211008,4
overall,all,perimeter_same_az225,8,4,1,ellow-radfar-az225,2,ellow-radmid-az225,6,2,ellow-radmid-az225 + ellow-radfar-az225,0.15888223688612324,0.3094068287941448,0.15052459190802153,5
overall,all,perimeter_same_az225,8,4,1,ellow-radfar-az225,8,elhigh-radfar-az225,132,2,ellow-radfar-az225 + elhigh-radfar-az225,0.15888223688612324,0.2950904006278238,0.13620816374170058,6
overall,all,perimeter_same_az225,8,4,1,ellow-radfar-az225,4,elmid-radnear-az225,12,2,ellow-radfar-az225 + elmid-radnear-az225,0.15888223688612324,0.28654832314774764,0.1276660862616244,7
overall,all,perimeter_same_az225,8,8,1,elmid-radnear-az225,7,elhigh-radmid-az225,72,2,elmid-radnear-az225 + elhigh-radmid-az225,0.14916530333369243,0.3494566079122091,0.20029130457851668,1
overall,all,perimeter_same_az225,8,8,1,elmid-radnear-az225,1,ellow-radnear-az225,9,2,ellow-radnear-az225 + elmid-radnear-az225,0.14916530333369243,0.3446169220940431,0.19545161876035066,2
overall,all,perimeter_same_az225,8,8,1,elmid-radnear-az225,5,elmid-radfar-az225,24,2,elmid-radnear-az225 + elmid-radfar-az225,0.14916530333369243,0.33335062201065674,0.1841853186769643,3
overall,all,perimeter_same_az225,8,8,1,elmid-radnear-az225,6,elhigh-radnear-az225,40,2,elmid-radnear-az225 + elhigh-radnear-az225,0.14916530333369243,0.32961014140157124,0.1804448380678788,4
overall,all,perimeter_same_az225,8,8,1,elmid-radnear-az225,2,ellow-radmid-az225,10,2,ellow-radmid-az225 + elmid-radnear-az225,0.14916530333369243,0.2995448298099671,0.15037952647627467,5
overall,all,perimeter_same_az225,8,8,1,elmid-radnear-az225,8,elhigh-radfar-az225,136,2,elmid-radnear-az225 + elhigh-radfar-az225,0.14916530333369243,0.2958714215432458,0.14670611820955337,6
