group,target_class,subset_name,player_count,player_index,viewpoint,ring_id,elevation,radius,azimuth,rank,shapley_value,share_of_subset_value,singleton_subset_scene_value,mean_strict_quality_on_observed_rows,observed_scene_count,observed_scene_rate_within_subset,matched_scene_count,matched_scene_rate_within_subset,subset_scene_count,complete_subset_scene_count,max_views_seen_in_any_subset_scene,grand_value_all_players,empty_coalition_value
per_class,barrel,perimeter_unique_az_best_overlap,8,1,ellow-radnear-az225,ellow-radnear,low,near,225,1,0.18379675485173586,0.2297329872705729,0.28881046854371445,0.8664314056311433,5,0.3333333333333333,5,0.3333333333333333,15,0,4,0.8000451177490907,0.0
per_class,barrel,perimeter_unique_az_best_overlap,8,2,ellow-radmid-az045,ellow-radmid,low,mid,45,2,0.16420433748757493,0.20524384668399728,0.2624822951453924,0.656205737863481,6,0.4,5,0.3333333333333333,15,0,4,0.8000451177490907,0.0
per_class,barrel,perimeter_unique_az_best_overlap,8,4,elmid-radnear-az090,elmid-radnear,mid,near,90,3,0.12950778864669676,0.16187560647962465,0.208490965339859,0.7818411200244713,4,0.26666666666666666,4,0.26666666666666666,15,0,4,0.8000451177490907,0.0
per_class,barrel,perimeter_unique_az_best_overlap,8,7,elhigh-radmid-az135,elhigh-radmid,high,mid,135,4,0.11239982357671367,0.14049185612549964,0.21965167475098776,0.6589550242529633,5,0.3333333333333333,5,0.3333333333333333,15,0,4,0.8000451177490907,0.0
per_class,barrel,perimeter_unique_az_best_overlap,8,6,elhigh-radnear-az270,elhigh-radnear,high,near,270,5,0.10388619109471932,0.12985041567030722,0.1414910589640409,0.7074552948202045,3,0.2,3,0.2,15,0,4,0.8000451177490907,0.0
per_class,barrel,perimeter_unique_az_best_overlap,8,5,elmid-radfar-az180,elmid-radfar,mid,far,180,6,0.050914796707244706,0.0636399067723735,0.08653665369253408,0.6490249026940056,2,0.13333333333333333,2,0.13333333333333333,15,0,4,0.8000451177490907,0.0
per_class,barrel,perimeter_unique_az_best_overlap,8,3,ellow-radfar-az315,ellow-radfar,low,far,315,7,0.02777057009227073,0.03471125499822137,0.05206484212007467,0.39048631590056004,2,0.13333333333333333,1,0.06666666666666667,15,0,4,0.8000451177490907,0.0
per_class,barrel,perimeter_unique_az_best_overlap,8,8,elhigh-radfar-az000,elhigh-radfar,high,far,0,8,0.027564855292135235,0.03445412599940407,0.04526454256544312,0.6789681384816468,1,0.06666666666666667,1,0.06666666666666667,15,0,4,0.8000451177490907,0.0
per_class,container,perimeter_unique_az_best_overlap,8,1,ellow-radnear-az225,ellow-radnear,low,near,225,1,0.21131444147228629,0.220343716915401,0.2930562526255783,0.9524328210331294,4,0.3076923076923077,4,0.3076923076923077,13,0,3,0.9590218610745256,0.0
per_class,container,perimeter_unique_az_best_overlap,8,8,elhigh-radfar-az000,elhigh-radfar,high,far,0,2,0.19211180160637248,0.200320565572012,0.28383707150503423,0.9224704823913612,4,0.3076923076923077,4,0.3076923076923077,13,0,3,0.9590218610745256,0.0
per_class,container,perimeter_unique_az_best_overlap,8,5,elmid-radfar-az180,elmid-radfar,mid,far,180,3,0.1830906026502379,0.19091389892311322,0.2188169327701399,0.9482067086706062,3,0.23076923076923078,3,0.23076923076923078,13,0,3,0.9590218610745256,0.0
per_class,container,perimeter_unique_az_best_overlap,8,4,elmid-radnear-az090,elmid-radnear,mid,near,90,4,0.1474963264571705,0.15379871142031096,0.1474963264571705,0.9587261219716083,2,0.15384615384615385,2,0.15384615384615385,13,0,3,0.9590218610745256,0.0
per_class,container,perimeter_unique_az_best_overlap,8,6,elhigh-radnear-az270,elhigh-radnear,high,near,270,5,0.0749024098625427,0.07810292226145826,0.14493017513068113,0.9420461383494274,2,0.15384615384615385,2,0.15384615384615385,13,0,3,0.9590218610745256,0.0
per_class,container,perimeter_unique_az_best_overlap,8,7,elhigh-radmid-az135,elhigh-radmid,high,mid,135,6,0.07330426119188434,0.07643648613990027,0.07330426119188424,0.9529553954944951,1,0.07692307692307693,1,0.07692307692307693,13,0,3,0.9590218610745256,0.0
per_class,container,perimeter_unique_az_best_overlap,8,2,ellow-radmid-az045,ellow-radmid,low,mid,45,7,0.05330728426718412,0.0555850564318279,0.1466237178725067,0.9530541661712935,2,0.15384615384615385,2,0.15384615384615385,13,0,3,0.9590218610745256,0.0
per_class,container,perimeter_unique_az_best_overlap,8,3,ellow-radfar-az315,ellow-radfar,low,far,315,8,0.023494733566847784,0.024498642335976956,0.06764756275818967,0.8794183158564657,1,0.07692307692307693,1,0.07692307692307693,13,0,3,0.9590218610745256,0.0
per_class,male,perimeter_unique_az_best_overlap,8,4,elmid-radnear-az090,elmid-radnear,mid,near,90,1,0.18363821784521256,0.23679898871709795,0.2688508449554514,0.7617440607071124,6,0.35294117647058826,6,0.35294117647058826,17,0,4,0.7755025426422062,0.0
per_class,male,perimeter_unique_az_best_overlap,8,2,ellow-radmid-az045,ellow-radmid,low,mid,45,2,0.17804573055390321,0.22958755228227307,0.22860468225969632,0.7772559196829676,5,0.29411764705882354,5,0.29411764705882354,17,0,4,0.7755025426422062,0.0
per_class,male,perimeter_unique_az_best_overlap,8,3,ellow-radfar-az315,ellow-radfar,low,far,315,3,0.12045894322650424,0.15533017186003015,0.16442042455889325,0.559029443500237,5,0.29411764705882354,4,0.23529411764705882,17,0,4,0.7755025426422062,0.0
per_class,male,perimeter_unique_az_best_overlap,8,5,elmid-radfar-az180,elmid-radfar,mid,far,180,4,0.087285306118749,0.11255321719689042,0.12281763187852297,0.6959665806449635,3,0.17647058823529413,3,0.17647058823529413,17,0,4,0.7755025426422062,0.0
per_class,male,perimeter_unique_az_best_overlap,8,7,elhigh-radmid-az135,elhigh-radmid,high,mid,135,5,0.08002710925648915,0.1031938708851033,0.16900039607874237,0.7182516833346551,4,0.23529411764705882,4,0.23529411764705882,17,0,4,0.7755025426422062,0.0
per_class,male,perimeter_unique_az_best_overlap,8,6,elhigh-radnear-az270,elhigh-radnear,high,near,270,6,0.07654152056836581,0.09869925159443325,0.11649229249738847,0.49509224311390104,4,0.23529411764705882,4,0.23529411764705882,17,0,4,0.7755025426422062,0.0
per_class,male,perimeter_unique_az_best_overlap,8,8,elhigh-radfar-az000,elhigh-radfar,high,far,0,7,0.029060149386468365,0.03747266809397923,0.04983760493883134,0.4236196419800664,2,0.11764705882352941,2,0.11764705882352941,17,0,4,0.7755025426422062,0.0
per_class,male,perimeter_unique_az_best_overlap,8,1,ellow-radnear-az225,ellow-radnear,low,near,225,8,0.020445565686513845,0.026364279370192627,0.04817854488939964,0.8190352631197939,1,0.058823529411764705,1,0.058823529411764705,17,0,4,0.7755025426422062,0.0
per_class,rock,perimeter_unique_az_best_overlap,8,1,ellow-radnear-az225,ellow-radnear,low,near,225,1,0.2965903744259917,0.30614225860129224,0.43822529184490544,0.964095642058792,5,0.45454545454545453,5,0.45454545454545453,11,0,3,0.9687991974092653,0.0
per_class,rock,perimeter_unique_az_best_overlap,8,7,elhigh-radmid-az135,elhigh-radmid,high,mid,135,2,0.15909994598585375,0.1642238622939761,0.25708737912716373,0.942653723466267,3,0.2727272727272727,3,0.2727272727272727,11,0,3,0.9687991974092653,0.0
