group,target_class,subset_name,player_count,base_coalition_mask,base_coalition_size,base_coalition_members,candidate_player_index,candidate_viewpoint,expanded_coalition_mask,expanded_coalition_size,expanded_coalition_members,base_value,expanded_value,delta_value,rank_within_base_coalition
overall,all,perimeter_unique_az_best_overlap,8,0,0,(empty),1,ellow-radnear-az225,1,1,ellow-radnear-az225,0.0,0.23721477907069238,0.23721477907069238,1
overall,all,perimeter_unique_az_best_overlap,8,0,0,(empty),2,ellow-radmid-az045,2,1,ellow-radmid-az045,0.0,0.21641164103416755,0.21641164103416755,2
overall,all,perimeter_unique_az_best_overlap,8,0,0,(empty),4,elmid-radnear-az090,8,1,elmid-radnear-az090,0.0,0.19211456466930296,0.19211456466930296,3
overall,all,perimeter_unique_az_best_overlap,8,0,0,(empty),7,elhigh-radmid-az135,64,1,elhigh-radmid-az135,0.0,0.18032056499314222,0.18032056499314222,4
overall,all,perimeter_unique_az_best_overlap,8,0,0,(empty),6,elhigh-radnear-az270,32,1,elhigh-radnear-az270,0.0,0.17797303403327955,0.17797303403327955,5
overall,all,perimeter_unique_az_best_overlap,8,0,0,(empty),8,elhigh-radfar-az000,128,1,elhigh-radfar-az000,0.0,0.17683251002387188,0.17683251002387188,6
overall,all,perimeter_unique_az_best_overlap,8,0,0,(empty),5,elmid-radfar-az180,16,1,elmid-radfar-az180,0.0,0.15982455257339523,0.15982455257339523,7
overall,all,perimeter_unique_az_best_overlap,8,0,0,(empty),3,ellow-radfar-az315,4,1,ellow-radfar-az315,0.0,0.14597619558576336,0.14597619558576336,8
overall,all,perimeter_unique_az_best_overlap,8,1,1,ellow-radnear-az225,2,ellow-radmid-az045,3,2,ellow-radnear-az225 + ellow-radmid-az045,0.23721477907069238,0.4227642173051211,0.1855494382344287,1
overall,all,perimeter_unique_az_best_overlap,8,1,1,ellow-radnear-az225,4,elmid-radnear-az090,9,2,ellow-radnear-az225 + elmid-radnear-az090,0.23721477907069238,0.38758611724263226,0.15037133817193987,2
overall,all,perimeter_unique_az_best_overlap,8,1,1,ellow-radnear-az225,5,elmid-radfar-az180,17,2,ellow-radnear-az225 + elmid-radfar-az180,0.23721477907069238,0.3840594024780228,0.1468446234073304,3
overall,all,perimeter_unique_az_best_overlap,8,1,1,ellow-radnear-az225,8,elhigh-radfar-az000,129,2,ellow-radnear-az225 + elhigh-radfar-az000,0.23721477907069238,0.38220750221176797,0.14499272314107559,4
overall,all,perimeter_unique_az_best_overlap,8,1,1,ellow-radnear-az225,3,ellow-radfar-az315,5,2,ellow-radnear-az225 + ellow-radfar-az315,0.23721477907069238,0.36567287992230135,0.12845810085160897,5
overall,all,perimeter_unique_az_best_overlap,8,1,1,ellow-radnear-az225,6,elhigh-radnear-az270,33,2,ellow-radnear-az225 + elhigh-radnear-az270,0.23721477907069238,0.3644782793138961,0.1272635002432037,6
overall,all,perimeter_unique_az_best_overlap,8,1,1,ellow-radnear-az225,7,elhigh-radmid-az135,65,2,ellow-radnear-az225 + elhigh-radmid-az135,0.23721477907069238,0.3627202658108968,0.1255054867402044,7
overall,all,perimeter_unique_az_best_overlap,8,2,1,ellow-radmid-az045,1,ellow-radnear-az225,3,2,ellow-radnear-az225 + ellow-radmid-az045,0.21641164103416755,0.4227642173051211,0.20635257627095355,1
overall,all,perimeter_unique_az_best_overlap,8,2,1,ellow-radmid-az045,6,elhigh-radnear-az270,34,2,ellow-radmid-az045 + elhigh-radnear-az270,0.21641164103416755,0.37110100741292945,0.1546893663787619,2
overall,all,perimeter_unique_az_best_overlap,8,2,1,ellow-radmid-az045,7,elhigh-radmid-az135,66,2,ellow-radmid-az045 + elhigh-radmid-az135,0.21641164103416755,0.3692809681985104,0.15286932716434287,3
overall,all,perimeter_unique_az_best_overlap,8,2,1,ellow-radmid-az045,4,elmid-radnear-az090,10,2,ellow-radmid-az045 + elmid-radnear-az090,0.21641164103416755,0.35483738341577564,0.1384257423816081,4
overall,all,perimeter_unique_az_best_overlap,8,2,1,ellow-radmid-az045,8,elhigh-radfar-az000,130,2,ellow-radmid-az045 + elhigh-radfar-az000,0.21641164103416755,0.3510074942361344,0.13459585320196688,5
overall,all,perimeter_unique_az_best_overlap,8,2,1,ellow-radmid-az045,5,elmid-radfar-az180,18,2,ellow-radmid-az045 + elmid-radfar-az180,0.21641164103416755,0.34947341106275703,0.1330617700285895,6
overall,all,perimeter_unique_az_best_overlap,8,2,1,ellow-radmid-az045,3,ellow-radfar-az315,6,2,ellow-radmid-az045 + ellow-radfar-az315,0.21641164103416755,0.3115150382777897,0.09510339724362216,7
overall,all,perimeter_unique_az_best_overlap,8,4,1,ellow-radfar-az315,1,ellow-radnear-az225,5,2,ellow-radnear-az225 + ellow-radfar-az315,0.14597619558576336,0.36567287992230135,0.219696684336538,1
overall,all,perimeter_unique_az_best_overlap,8,4,1,ellow-radfar-az315,2,ellow-radmid-az045,6,2,ellow-radmid-az045 + ellow-radfar-az315,0.14597619558576336,0.3115150382777897,0.16553884269202634,2
overall,all,perimeter_unique_az_best_overlap,8,4,1,ellow-radfar-az315,8,elhigh-radfar-az000,132,2,ellow-radfar-az315 + elhigh-radfar-az000,0.14597619558576336,0.3108398217741926,0.16486362618842926,3
overall,all,perimeter_unique_az_best_overlap,8,4,1,ellow-radfar-az315,7,elhigh-radmid-az135,68,2,ellow-radfar-az315 + elhigh-radmid-az135,0.14597619558576336,0.30996555275643184,0.16398935717066848,4
overall,all,perimeter_unique_az_best_overlap,8,4,1,ellow-radfar-az315,6,elhigh-radnear-az270,36,2,ellow-radfar-az315 + elhigh-radnear-az270,0.14597619558576336,0.3079717996794936,0.16199560409373026,5
overall,all,perimeter_unique_az_best_overlap,8,4,1,ellow-radfar-az315,4,elmid-radnear-az090,12,2,ellow-radfar-az315 + elmid-radnear-az090,0.14597619558576336,0.2980946487564472,0.15211845317068384,6
