group,target_class,subset_name,player_count,base_coalition_mask,base_coalition_size,base_coalition_members,candidate_player_index,candidate_viewpoint,expanded_coalition_mask,expanded_coalition_size,expanded_coalition_members,base_value,expanded_value,delta_value,rank_within_base_coalition
overall,all,perimeter_unique_az_clean_reverse_cycle,8,0,0,(empty),4,elmid-radnear-az270,8,1,elmid-radnear-az270,0.0,0.25863504152838607,0.25863504152838607,1
overall,all,perimeter_unique_az_clean_reverse_cycle,8,0,0,(empty),7,elhigh-radmid-az000,64,1,elhigh-radmid-az000,0.0,0.24976851880319448,0.24976851880319448,2
overall,all,perimeter_unique_az_clean_reverse_cycle,8,0,0,(empty),8,elhigh-radfar-az045,128,1,elhigh-radfar-az045,0.0,0.22694068129871514,0.22694068129871514,3
overall,all,perimeter_unique_az_clean_reverse_cycle,8,0,0,(empty),1,ellow-radnear-az225,1,1,ellow-radnear-az225,0.0,0.22316916715203297,0.22316916715203297,4
overall,all,perimeter_unique_az_clean_reverse_cycle,8,0,0,(empty),3,ellow-radfar-az135,4,1,ellow-radfar-az135,0.0,0.1839351717639122,0.1839351717639122,5
overall,all,perimeter_unique_az_clean_reverse_cycle,8,0,0,(empty),6,elhigh-radnear-az315,32,1,elhigh-radnear-az315,0.0,0.1671497781093131,0.1671497781093131,6
overall,all,perimeter_unique_az_clean_reverse_cycle,8,0,0,(empty),5,elmid-radfar-az090,16,1,elmid-radfar-az090,0.0,0.1645345795989165,0.1645345795989165,7
overall,all,perimeter_unique_az_clean_reverse_cycle,8,0,0,(empty),2,ellow-radmid-az180,2,1,ellow-radmid-az180,0.0,0.11903811755383473,0.11903811755383473,8
overall,all,perimeter_unique_az_clean_reverse_cycle,8,1,1,ellow-radnear-az225,4,elmid-radnear-az270,9,2,ellow-radnear-az225 + elmid-radnear-az270,0.22316916715203297,0.4393533791769516,0.21618421202491864,1
overall,all,perimeter_unique_az_clean_reverse_cycle,8,1,1,ellow-radnear-az225,7,elhigh-radmid-az000,65,2,ellow-radnear-az225 + elhigh-radmid-az000,0.22316916715203297,0.4379393649763048,0.21477019782427184,2
overall,all,perimeter_unique_az_clean_reverse_cycle,8,1,1,ellow-radnear-az225,8,elhigh-radfar-az045,129,2,ellow-radnear-az225 + elhigh-radfar-az045,0.22316916715203297,0.4080314966093813,0.18486232945734835,3
overall,all,perimeter_unique_az_clean_reverse_cycle,8,1,1,ellow-radnear-az225,5,elmid-radfar-az090,17,2,ellow-radnear-az225 + elmid-radfar-az090,0.22316916715203297,0.3877037467509495,0.1645345795989165,4
overall,all,perimeter_unique_az_clean_reverse_cycle,8,1,1,ellow-radnear-az225,6,elhigh-radnear-az315,33,2,ellow-radnear-az225 + elhigh-radnear-az315,0.22316916715203297,0.3720729364855641,0.14890376933353114,5
overall,all,perimeter_unique_az_clean_reverse_cycle,8,1,1,ellow-radnear-az225,3,ellow-radfar-az135,5,2,ellow-radnear-az225 + ellow-radfar-az135,0.22316916715203297,0.3706979162621615,0.1475287491101285,6
overall,all,perimeter_unique_az_clean_reverse_cycle,8,1,1,ellow-radnear-az225,2,ellow-radmid-az180,3,2,ellow-radnear-az225 + ellow-radmid-az180,0.22316916715203297,0.30707329471862055,0.08390412756658758,7
overall,all,perimeter_unique_az_clean_reverse_cycle,8,2,1,ellow-radmid-az180,7,elhigh-radmid-az000,66,2,ellow-radmid-az180 + elhigh-radmid-az000,0.11903811755383473,0.34270293145599795,0.22366481390216322,1
overall,all,perimeter_unique_az_clean_reverse_cycle,8,2,1,ellow-radmid-az180,4,elmid-radnear-az270,10,2,ellow-radmid-az180 + elmid-radnear-az270,0.11903811755383473,0.33672999957539607,0.21769188202156134,2
overall,all,perimeter_unique_az_clean_reverse_cycle,8,2,1,ellow-radmid-az180,1,ellow-radnear-az225,3,2,ellow-radnear-az225 + ellow-radmid-az180,0.11903811755383473,0.30707329471862055,0.18803517716478582,3
