target_class,viewpoint_triple,viewpoint_1,viewpoint_2,viewpoint_3,scene_count,expected_pair_12_target_ap50_95,expected_pair_13_target_ap50_95,expected_pair_23_target_ap50_95,expected_best_pair_target_ap50_95_on_matched_scenes,best_pair_for_target_ap50_95,expected_triple_or_target_ap50_95,third_view_gain_target_ap50_95,expected_pair_12_target_strict_quality_iou50,expected_pair_13_target_strict_quality_iou50,expected_pair_23_target_strict_quality_iou50,expected_best_pair_target_strict_quality_iou50_on_matched_scenes,best_pair_for_target_strict_quality_iou50,expected_triple_or_target_strict_quality_iou50,third_view_gain_target_strict_quality_iou50
barrel,elhigh-radfar-az090 + ellow-radmid-az225 + elmid-radfar-az135,elhigh-radfar-az090,ellow-radmid-az225,elmid-radfar-az135,3,0.7694444445272287,0.8766666666915018,0.852777777860562,0.8766666666915018,elhigh-radfar-az090 + elmid-radfar-az135,0.8861111111938954,0.009444444502393567,0.7841819082313748,0.8281676949331214,0.8105760208657872,0.8281676949331214,elhigh-radfar-az090 + elmid-radfar-az135,0.8479531089834964,0.01978541405037504
barrel,elhigh-radfar-az090 + ellow-radmid-az045 + elmid-radfar-az135,elhigh-radfar-az090,ellow-radmid-az045,elmid-radfar-az135,4,0.8325000000186265,0.9075000000186264,0.81640625,0.9075000000186264,elhigh-radfar-az090 + elmid-radfar-az135,0.9075000000186264,0.0,0.8219109384336507,0.854118954970307,0.841182904063845,0.854118954970307,elhigh-radfar-az090 + elmid-radfar-az135,0.8697393389977419,0.01562038402743493
barrel,ellow-radmid-az045 + elmid-radmid-az135 + elmid-radnear-az090,ellow-radmid-az045,elmid-radmid-az135,elmid-radnear-az090,3,0.8333333333333334,0.8333333333333334,0.9333333333333332,0.9333333333333332,elmid-radmid-az135 + elmid-radnear-az090,0.9333333333333332,0.0,0.8061000738684582,0.8093827580167373,0.8597081976431085,0.8597081976431085,elmid-radmid-az135 + elmid-radnear-az090,0.869344701205133,0.009636503562024501
barrel,elhigh-radmid-az090 + ellow-radfar-az135 + elmid-radnear-az225,elhigh-radmid-az090,ellow-radfar-az135,elmid-radnear-az225,3,0.8194444445272286,0.8194444445272286,0.797685186923654,0.8194444445272286,elhigh-radmid-az090 + ellow-radfar-az135,0.8194444445272286,0.0,0.8388956023935753,0.8364062149370474,0.8304819786810107,0.8388956023935753,elhigh-radmid-az090 + ellow-radfar-az135,0.8482907870961824,0.00939518470260714
barrel,ellow-radfar-az000 + ellow-radmid-az045 + elmid-radnear-az090,ellow-radfar-az000,ellow-radmid-az045,elmid-radnear-az090,4,0.9232886916239347,0.975,0.9,0.975,ellow-radfar-az000 + elmid-radnear-az090,0.975,0.0,0.9054117480916544,0.8880298693917155,0.8828003955947441,0.9054117480916544,ellow-radfar-az000 + ellow-radmid-az045,0.9147855867380255,0.009373838646371091
barrel,ellow-radfar-az135 + ellow-radnear-az000 + ellow-radnear-az315,ellow-radfar-az135,ellow-radnear-az000,ellow-radnear-az315,3,0.9273148152011412,0.9212962969033806,0.7668981485344745,0.9273148152011412,ellow-radfar-az135 + ellow-radnear-az000,0.9481481485344746,0.02083333333333337,0.8581081717802329,0.880278548619175,0.8116950853526141,0.880278548619175,ellow-radfar-az135 + ellow-radnear-az315,0.8894535579075024,0.009175009288327374
barrel,elhigh-radfar-az090 + ellow-radfar-az000 + ellow-radmid-az225,elhigh-radfar-az090,ellow-radfar-az000,ellow-radmid-az225,3,0.9100000000248353,0.802777777860562,0.7575396874476046,0.9100000000248353,elhigh-radfar-az090 + ellow-radfar-az000,0.9194444445272287,0.009444444502393456,0.8483546838683189,0.8028248701062779,0.8460090650820978,0.8483546838683189,elhigh-radfar-az090 + ellow-radfar-az000,0.857017989820991,0.008663305952672062
barrel,elhigh-radnear-az180 + ellow-radnear-az090 + ellow-radnear-az135,elhigh-radnear-az180,ellow-radnear-az090,ellow-radnear-az135,3,0.763541666790843,0.8495833334823449,0.8329166668777664,0.8495833334823449,elhigh-radnear-az180 + ellow-radnear-az135,0.8495833334823449,0.0,0.870185603925607,0.8673638839997698,0.866735100776553,0.870185603925607,elhigh-radnear-az180 + ellow-radnear-az090,0.8772396969278636,0.007054093002256678
barrel,ellow-radnear-az270 + elmid-radfar-az225 + elmid-radmid-az090,ellow-radnear-az270,elmid-radfar-az225,elmid-radmid-az090,3,0.9666666666666667,0.9666666666666667,1.0,1.0,elmid-radfar-az225 + elmid-radmid-az090,1.0,0.0,0.8651175875587723,0.8782974547296595,0.8801861039108528,0.8801861039108528,elmid-radfar-az225 + elmid-radmid-az090,0.8869976402630128,0.006811536352159919
tank,elhigh-radfar-az000 + ellow-radmid-az045 + ellow-radnear-az315,elhigh-radfar-az000,ellow-radmid-az045,ellow-radnear-az315,3,0.9458333333333333,0.9458333333333333,0.8550000000745058,0.9458333333333333,elhigh-radfar-az000 + ellow-radmid-az045,0.9458333333333333,0.0,0.913846929667771,0.9059040685520152,0.8859254025156531,0.913846929667771,elhigh-radfar-az000 + ellow-radmid-az045,0.920467831548816,0.006620901881044916
barrel,elhigh-radmid-az135 + elmid-radmid-az225 + elmid-radnear-az225,elhigh-radmid-az135,elmid-radmid-az225,elmid-radnear-az225,3,0.8541666666666666,0.8666666666666667,0.5875,0.8666666666666667,elhigh-radmid-az135 + elmid-radnear-az225,0.8875000000000001,0.02083333333333337,0.8219697090436355,0.8492861121772511,0.5545557889740221,0.8492861121772511,elhigh-radmid-az135 + elmid-radnear-az225,0.855823525635722,0.006537413458470809
barrel,ellow-radmid-az045 + elmid-radfar-az135 + elmid-radnear-az090,ellow-radmid-az045,elmid-radfar-az135,elmid-radnear-az090,4,0.8711805557832122,0.875,0.95,0.95,elmid-radfar-az135 + elmid-radnear-az090,0.95,0.0,0.8567225098519069,0.8643512138067715,0.8970958220551983,0.8970958220551983,elmid-radfar-az135 + elmid-radnear-az090,0.9035199657281092,0.006424143672910887
barrel,elhigh-radfar-az000 + elhigh-radmid-az225 + ellow-radnear-az045,elhigh-radfar-az000,elhigh-radmid-az225,ellow-radnear-az045,3,0.8947916666666668,0.8680555557211239,0.928125,0.928125,elhigh-radmid-az225 + ellow-radnear-az045,0.928125,0.0,0.8497351658063744,0.8946986269661537,0.8906745199160978,0.8946986269661537,elhigh-radfar-az000 + ellow-radnear-az045,0.9010133940676077,0.006314767101454066
container,elhigh-radmid-az000 + elmid-radmid-az180 + elmid-radnear-az270,elhigh-radmid-az000,elmid-radmid-az180,elmid-radnear-az270,4,0.9047619062874999,0.925,0.8694444465968344,0.925,elhigh-radmid-az000 + elmid-radnear-az270,0.925,0.0,0.8731929675087615,0.866264433915072,0.8694449688547019,0.8731929675087615,elhigh-radmid-az000 + elmid-radmid-az180,0.8793947168290464,0.006201749320284833
barrel,ellow-radmid-az045 + ellow-radmid-az225 + elmid-radfar-az135,ellow-radmid-az045,ellow-radmid-az225,elmid-radfar-az135,5,0.7062222280220853,0.7141351052328492,0.7593434363558436,0.7593434363558436,ellow-radmid-az225 + elmid-radfar-az135,0.7726767719491864,0.013333335593342821,0.7422907182964892,0.82398654939361,0.8033502492073822,0.82398654939361,ellow-radmid-az045 + elmid-radfar-az135,0.8300806801985615,0.00609413080495147
tank,elhigh-radmid-az225 + elmid-radmid-az090 + elmid-radmid-az270,elhigh-radmid-az225,elmid-radmid-az090,elmid-radmid-az270,3,1.0,0.9666666666666667,0.955555555721124,1.0,elhigh-radmid-az225 + elmid-radmid-az090,1.0,0.0,0.9270811413251702,0.926238698669349,0.910308623520501,0.9270811413251702,elhigh-radmid-az225 + elmid-radmid-az090,0.9328405224523072,0.005759381127137031
male,elhigh-radmid-az000 + elmid-radmid-az000 + elmid-radnear-az270,elhigh-radmid-az000,elmid-radmid-az000,elmid-radnear-az270,4,0.875555556308892,0.9,0.8533333340038856,0.9,elhigh-radmid-az000 + elmid-radnear-az270,0.9,0.0,0.8584746063708426,0.8586674564956924,0.8544059558072483,0.8586674564956924,elhigh-radmid-az000 + elmid-radnear-az270,0.8643557037815928,0.005688247285900339
barrel,ellow-radfar-az135 + ellow-radnear-az090 + ellow-radnear-az135,ellow-radfar-az135,ellow-radnear-az090,ellow-radnear-az135,3,0.9686868696652278,0.902020202998561,0.9490740772474696,0.9686868696652278,ellow-radfar-az135 + ellow-radnear-az090,0.9686868696652278,0.0,0.9249365949549405,0.9052182807822694,0.9260082050586433,0.9260082050586433,ellow-radnear-az090 + ellow-radnear-az135,0.9316855559776087,0.005677350918965374
tank,ellow-radfar-az000 + ellow-radmid-az225 + elmid-radnear-az045,ellow-radfar-az000,ellow-radmid-az225,elmid-radnear-az045,3,0.8456135468768758,0.8535780924312603,0.8447411530035865,0.8535780924312603,ellow-radfar-az000 + elmid-radnear-az045,0.8535780924312603,0.0,0.9279391538708973,0.9478876463748046,0.9500847551478225,0.9500847551478225,ellow-radmid-az225 + elmid-radnear-az045,0.955758817615371,0.005674062467548424
suv,elhigh-radnear-az225 + ellow-radmid-az090 + elmid-radfar-az000,elhigh-radnear-az225,ellow-radmid-az090,elmid-radfar-az000,3,0.9575989804633847,0.9611623242446132,0.9000512132059383,0.9611623242446132,elhigh-radnear-az225 + elmid-radfar-az000,0.9611623242446132,0.0,0.9383391447904875,0.9395506512787056,0.932326619631438,0.9395506512787056,elhigh-radnear-az225 + elmid-radfar-az000,0.9452015654235039,0.005650914144798236
male,elhigh-radmid-az315 + ellow-radnear-az090 + ellow-radnear-az315,elhigh-radmid-az315,ellow-radnear-az090,ellow-radnear-az315,3,0.8875000000620882,0.8666666666666667,0.8314814827577384,0.8875000000620882,elhigh-radmid-az315 + ellow-radnear-az090,0.8875000000620882,0.0,0.8849432576146571,0.8542855843882234,0.8861810813325709,0.8861810813325709,ellow-radnear-az090 + ellow-radnear-az315,0.8914462257930301,0.005265144460459226
suv,elhigh-radmid-az090 + elhigh-radmid-az135 + elmid-radmid-az225,elhigh-radmid-az090,elhigh-radmid-az135,elmid-radmid-az225,3,0.9491111118296782,0.9505000006357829,0.945858135074377,0.9505000006357829,elhigh-radmid-az090 + elmid-radmid-az225,0.9505000006357829,0.0,0.944158828428724,0.9436183525802306,0.9381375761750022,0.944158828428724,elhigh-radmid-az090 + elhigh-radmid-az135,0.9494089711317031,0.005250142702979077
male,elhigh-radfar-az045 + elhigh-radnear-az135 + ellow-radmid-az180,elhigh-radfar-az045,elhigh-radnear-az135,ellow-radmid-az180,4,0.8724330366722175,0.9251116072759032,0.9489955366722175,0.9489955366722175,elhigh-radnear-az135 + ellow-radmid-az180,0.9489955366722175,0.0,0.848288794164235,0.889948268838201,0.889595825915749,0.889948268838201,elhigh-radfar-az045 + ellow-radmid-az180,0.8951705264896983,0.0052222576514973085
container,ellow-radfar-az045 + elmid-radfar-az315 + elmid-radmid-az000,ellow-radfar-az045,elmid-radfar-az315,elmid-radmid-az000,3,0.9302469143345032,0.8635802476678366,0.9249999999999999,0.9302469143345032,ellow-radfar-az045 + elmid-radfar-az315,0.9302469143345032,0.0,0.8424098224153352,0.8422249288163771,0.8202467066200256,0.8424098224153352,ellow-radfar-az045 + elmid-radfar-az315,0.847432433201862,0.005022610786526771
barrel,ellow-radfar-az315 + elmid-radfar-az135 + elmid-radfar-az225,ellow-radfar-az315,elmid-radfar-az135,elmid-radfar-az225,4,0.876002212049383,0.8696774251097779,0.8913667954448046,0.8913667954448046,elmid-radfar-az135 + elmid-radfar-az225,0.8913667954448046,0.0,0.8989587991417469,0.8975449628471299,0.8902288083025613,0.8989587991417469,ellow-radfar-az315 + elmid-radfar-az135,0.9037680123089817,0.004809213167234816
barrel,ellow-radmid-az090 + elmid-radfar-az270 + elmid-radmid-az180,ellow-radmid-az090,elmid-radfar-az270,elmid-radmid-az180,3,0.8319444447755814,0.7666666666666666,0.8305555564661821,0.8319444447755814,ellow-radmid-az090 + elmid-radfar-az270,0.8444444447755813,0.012499999999999956,0.8583462687516885,0.8196227517184115,0.8619261811308215,0.8619261811308215,elmid-radfar-az270 + elmid-radmid-az180,0.8667023944512747,0.004776213320453193
barrel,elhigh-radfar-az045 + ellow-radmid-az045 + elmid-radnear-az090,elhigh-radfar-az045,ellow-radmid-az045,elmid-radnear-az090,3,0.9282407410442829,0.9333333333333332,0.8333333333333334,0.9333333333333332,elhigh-radfar-az045 + elmid-radnear-az090,0.9333333333333332,0.0,0.8921136222233272,0.8930558617219239,0.837804293552639,0.8930558617219239,elhigh-radfar-az045 + elmid-radnear-az090,0.8978305168887388,0.004774655166814967
container,elhigh-radmid-az090 + ellow-radfar-az270 + ellow-radmid-az315,elhigh-radmid-az090,ellow-radfar-az270,ellow-radmid-az315,3,1.0,1.0,0.9376984131212036,1.0,elhigh-radmid-az090 + ellow-radfar-az270,1.0,0.0,0.9550596974608432,0.9560833233441765,0.9587235847356416,0.9587235847356416,ellow-radfar-az270 + ellow-radmid-az315,0.9634885998033221,0.004765015067680567
tank,ellow-radmid-az225 + elmid-radfar-az135 + elmid-radnear-az090,ellow-radmid-az225,elmid-radfar-az135,elmid-radnear-az090,3,0.839758067049727,0.788257576432079,0.9064247337163938,0.9064247337163938,elmid-radfar-az135 + elmid-radnear-az090,0.9064247337163938,0.0,0.8724808813267716,0.8819543281391043,0.9294358846575671,0.9294358846575671,elmid-radfar-az135 + elmid-radnear-az090,0.934179330700888,0.004743446043320887
barrel,elhigh-radfar-az045 + ellow-radnear-az000 + elmid-radnear-az090,elhigh-radfar-az045,ellow-radnear-az000,elmid-radnear-az090,4,0.9895833333954215,0.95,0.9895833333954215,0.9895833333954215,elhigh-radfar-az045 + ellow-radnear-az000,0.9895833333954215,0.0,0.9171756946043308,0.9111007972277578,0.9271626179476797,0.9271626179476797,ellow-radnear-az000 + elmid-radnear-az090,0.9317446141680801,0.004581996220400342
