target_class,viewpoint,pair_stage_observation_count,third_stage_observation_count,pair_stage_scene_support,third_stage_scene_support,pair_stage_mean_marginal_target_ap50_95,third_stage_mean_marginal_target_ap50_95,combined_marginal_target_ap50_95,pair_stage_mean_marginal_target_strict_quality_iou50,third_stage_mean_marginal_target_strict_quality_iou50,combined_marginal_target_strict_quality_iou50
barrel,elmid-radnear-az045,18,108,100,197,0.17379462269983093,0.09853346473245389,0.1361640437161424,0.136292218433805,0.07120158754057776,0.10374690298719139
barrel,ellow-radnear-az090,37,217,221,388,0.09141438278123636,0.06641685305257151,0.07891561791690394,0.07282400063676712,0.07875789647268262,0.07579094855472487
barrel,ellow-radnear-az225,36,238,242,472,0.07092282267314129,0.05884280064590495,0.06488281165952312,0.0639311321073488,0.06887749681268719,0.06640431446001799
barrel,elmid-radnear-az315,18,81,112,161,0.13559613531264827,0.10790352165263715,0.12174982848264271,0.06794537346890658,0.06123294187709157,0.06458915767299908
barrel,ellow-radnear-az000,46,311,285,563,0.08515165619692783,0.08566413923259349,0.08540789771476065,0.051815550357088125,0.06596697726559646,0.05889126381134229
barrel,elmid-radnear-az225,29,209,135,339,0.11397243470926927,0.04393639633520974,0.0789544155222395,0.07979036526553088,0.034799019697012476,0.057294692481271677
barrel,elmid-radnear-az180,17,72,111,142,0.15384055511880715,0.11758202363714394,0.13571128937797555,0.056679548356024484,0.05441427203682115,0.05554691019642281
barrel,elmid-radnear-az090,41,304,226,548,0.13002913670001007,0.0584355978119102,0.09423236725596013,0.07992230716794371,0.028249406795362704,0.054085856981653205
barrel,ellow-radnear-az270,24,116,137,208,0.06809561914981532,0.050866791533170794,0.05948120534149306,0.053154977939953586,0.0474361442696261,0.050295561104789846
barrel,ellow-radnear-az180,27,155,174,277,0.06545002814411163,0.06761060730558764,0.06653031772484963,0.04435221702079429,0.05536643684815282,0.04985932693447355
barrel,elmid-radnear-az135,27,166,178,321,0.10714924634416334,0.08778637672367734,0.09746781153392034,0.04893016461910733,0.047486462078204485,0.04820831334865591
barrel,elmid-radfar-az090,32,187,161,307,0.10960495923446385,0.028187846992271153,0.0688964031133675,0.06899423542830911,0.02482735328597654,0.04691079435714283
barrel,ellow-radnear-az045,38,247,220,435,0.05557670407832778,0.03683148821783388,0.046204096148080825,0.04966919670181417,0.043364762116579324,0.046516979409196746
barrel,elhigh-radnear-az180,18,81,108,155,0.12810684717491838,0.03755399181818819,0.08283041949655329,0.06869707099938559,0.02173326241592205,0.04521516670765382
barrel,ellow-radfar-az045,21,84,80,118,0.09666186379630475,0.018616555794432128,0.057639209795368435,0.0762539984635385,0.014049796640747873,0.04515189755214319
barrel,elhigh-radnear-az315,29,159,133,228,0.11223068244567166,0.02917215026139055,0.07070141635353111,0.06810790997199861,0.019906498750765857,0.04400720436138224
barrel,elhigh-radfar-az315,16,72,91,137,0.14366701255780184,0.08601516355205367,0.11484108805492776,0.06483300580066309,0.022897371199337695,0.043865188500000395
barrel,ellow-radnear-az135,16,71,93,117,0.06902561844373617,0.023730843126296145,0.046378230785016156,0.05787481190199865,0.029161833755789256,0.04351832282889395
