viewpoint,pair_stage_observation_count,third_stage_observation_count,pair_stage_scene_support,third_stage_scene_support,pair_stage_mean_marginal_target_ap50_95,third_stage_mean_marginal_target_ap50_95,combined_marginal_target_ap50_95,pair_stage_mean_marginal_target_strict_quality_iou50,third_stage_mean_marginal_target_strict_quality_iou50,combined_marginal_target_strict_quality_iou50
elmid-radnear-az090,71,1361,346,1959,0.11667289863095871,0.04231503377317946,0.07949396620206908,0.07326720015154994,0.024856629707759,0.04906191492965447
ellow-radnear-az090,71,1405,362,1990,0.07906498199841357,0.02621748138530155,0.052641231691857554,0.0587923627821813,0.030226243635567043,0.04450930320887417
elmid-radnear-az045,71,1216,338,1714,0.09627359396085264,0.028409722152390043,0.06234165805662134,0.059335678637539406,0.02094072099852833,0.04013819981803387
elmid-radnear-az180,71,1372,352,1925,0.11399020169539598,0.03322606234600052,0.07360813202069824,0.06067153277847689,0.018058475225500713,0.0393650040019888
ellow-radnear-az225,69,1390,394,2110,0.06832338026982271,0.024280466678055345,0.04630192347393903,0.048307252167057786,0.02432975165703182,0.036318501912044804
ellow-radnear-az135,70,1302,347,1824,0.07040211512260654,0.020730974677288707,0.045566544899947624,0.04711620087516808,0.021347826137192445,0.03423201350618026
ellow-radmid-az045,71,1528,418,2325,0.06517391511331833,0.01630399455170936,0.04073895483251384,0.04845422793035973,0.019623126882872672,0.0340386774066162
ellow-radnear-az270,70,1201,314,1647,0.06915129486952684,0.025310778483433407,0.047231036676480126,0.043938331462262455,0.023063872325848736,0.0335011018940556
ellow-radnear-az000,71,1460,395,2167,0.0760221908463354,0.03073900729476104,0.05338059907054822,0.04536423594211305,0.0209495649850157,0.03315690046356438
elmid-radmid-az045,71,1424,374,1944,0.09100550584528604,0.02872055028608568,0.05986302806568586,0.051827560558136546,0.014380172887054862,0.0331038667225957
ellow-radmid-az270,71,1330,310,1810,0.07826288023867621,0.017815307286932695,0.04803909376280445,0.052707525736632385,0.012241342774184497,0.03247443425540844
elmid-radmid-az000,71,1414,427,2130,0.09994230932752336,0.03387264994575154,0.06690747963663746,0.053389958107683384,0.011408836227720947,0.03239939716770217
elmid-radnear-az225,70,1115,272,1443,0.07756606575032556,0.016548852103761443,0.0470574589270435,0.04912330429814644,0.015451679961626729,0.03228749212988658
ellow-radnear-az045,70,1315,352,1898,0.05794060900145275,0.01603805264513894,0.03698933082329585,0.044849260076869374,0.018811251689676765,0.03183025588327307
elmid-radmid-az225,70,1018,243,1259,0.09055607403899855,0.02877246570796607,0.05966426987348231,0.04446836395018832,0.013919358828273564,0.02919386138923094
elmid-radmid-az180,71,1194,324,1705,0.10161053066081463,0.02672487103135799,0.0641677008460863,0.0486870220674386,0.009514678797030083,0.029100850432234343
elmid-radnear-az315,71,1381,366,1998,0.09482180036355757,0.03220411774700798,0.06351295905528277,0.043171531186360086,0.014783187055362934,0.02897735912086151
ellow-radmid-az000,70,1299,345,1846,0.06171614856703743,0.014169016454641773,0.0379425825108396,0.044566641196760196,0.011531662537829397,0.028049151867294796
elmid-radnear-az135,71,1497,445,2298,0.09666981857612805,0.03055277946224243,0.06361129901918525,0.04108217320460547,0.014401974286902385,0.02774207374575393
elhigh-radnear-az315,70,1215,313,1648,0.08229322301212617,0.018431319026966958,0.050362271019546566,0.0452452654803372,0.010187671246489227,0.027716468363413214
ellow-radnear-az315,71,1153,306,1583,0.07412470902381484,0.018016014542637508,0.04607036178322617,0.041761324954239766,0.012834621987552683,0.027297973470896224
elhigh-radnear-az045,70,916,234,1157,0.10246371294176806,0.029537330399377733,0.0660005216705729,0.046108186296820466,0.007975990665732211,0.027042088481276337
elmid-radfar-az270,70,1189,286,1571,0.08178332837833274,0.0341227576412785,0.057953043009805624,0.038078950271783,0.015443153949920255,0.026761052110851627
elmid-radfar-az090,67,1030,288,1389,0.08957778117085917,0.026742465482002493,0.058160123326430835,0.04479426075829849,0.008689368092454646,0.026741814425376566
elmid-radmid-az135,69,1083,232,1368,0.10148546677651771,0.03232759398472541,0.06690653038062155,0.04065894694284297,0.011293856401866012,0.02597640167235449
elmid-radfar-az225,71,1538,418,2380,0.09174821796642461,0.03158325121603888,0.061665734591231744,0.04112070894258346,0.009350352373021958,0.02523553065780271
elmid-radnear-az270,71,1365,430,2099,0.08848078776067744,0.020990875884057677,0.05473583182236756,0.036626187498526704,0.011562555953081846,0.024094371725804274
elhigh-radmid-az135,71,1276,330,1765,0.07812895137573314,0.017724669497605657,0.047926810436669395,0.039670107631377294,0.006994198234011685,0.02333215293269449
ellow-radmid-az135,71,1259,317,1651,0.07233199549575228,0.022793421002230738,0.04756270824899151,0.034997960711914466,0.00969914377298373,0.022348552242449096
ellow-radnear-az180,71,1345,388,1977,0.05877298230371756,0.019395590872822926,0.03908428658827024,0.030144515070337784,0.013696445328887816,0.0219204801996128
ellow-radfar-az045,71,980,235,1202,0.05514907306121183,0.011551229716129372,0.0333501513886706,0.03456968457320093,0.00894403810585576,0.021756861339528345
ellow-radmid-az090,70,1242,332,1712,0.05653448351378465,0.016029237558282276,0.03628186053603347,0.0331592760346628,0.00993354743362828,0.02154641173414554
elmid-radfar-az045,71,1193,312,1653,0.08311374850297566,0.021068356990898002,0.05209105274693683,0.03486251309660702,0.007698028110946999,0.021280270603777008
elhigh-radfar-az180,71,1165,272,1480,0.07375516794146836,0.015261860186166461,0.04450851406381741,0.036299519031905106,0.00618578335589806,0.021242651193901584
