drone_count,method_id,method_label,method_family,question_type,scene_count,mean_scene_expected_strict_quality,delta_vs_single_reference_strict_quality,mean_scene_expected_target_ap50_95,delta_vs_single_reference_target_ap50_95,mean_scene_expected_target_found_rate,strict_quality_alias,supports_ap50_95,supports_found_rate,notes,rank_within_drone_count,relative_gain_vs_single_reference_percent,regret_vs_best_in_same_drone_count
1,single_view_reference,Single-view reference,Reference,Reference,205,0.8731508908223817,0.0,0.8516352910589029,0.0,0.9810912935303179,,1,1,Scene-balanced baseline over available single viewpoints.,1,0.0,0.0
2,noisy_or_best_iou,Noisy-OR + best IoU,Probabilistic late fusion,Probabilistic accumulation,205,0.9515291663221189,0.0783782754997372,nan,nan,nan,,0,0,Combines confidence with noisy-OR and couples it to the best matched IoU.,1,8.97648691922151,0.0
2,roy_odds_best_iou,Odds-product + best IoU,Odds-product fusion,Probabilistic corroboration,205,0.9487176496829952,0.07556675886061348,nan,nan,nan,,0,0,"Applies odds-product fusion to confidence proxies, then couples the fused probability to the best matched IoU.",2,8.654490266790031,0.0028115166391237123
2,noisy_or_mean_iou,Noisy-OR + mean IoU,Probabilistic late fusion,Probabilistic accumulation,205,0.9356094574318392,0.06245856660945748,nan,nan,nan,,0,0,Combines confidence with noisy-OR and couples it to the mean matched IoU.,3,7.153238605830264,0.015919708890279716
2,roy_odds_mean_iou,Odds-product + mean IoU,Odds-product fusion,Probabilistic corroboration,205,0.9329708041009804,0.0598199132785987,nan,nan,nan,,0,0,"Applies odds-product fusion to confidence proxies, then couples the fused probability to the mean matched IoU.",4,6.8510395977786835,0.01855836222113849
2,support_weighted_or,Support-weighted OR,Probabilistic late fusion,Conservative corroboration,205,0.9212350033183658,0.0480841124959841,nan,nan,nan,,0,0,"Adds a support-ratio penalty so corroboration matters, not only confidence accumulation.",5,5.5069648329277685,0.030294163003753094
2,threshold_1_of_2,1-of-2 OR,Operational threshold,Availability / rescue,205,0.9088125281833844,0.035661637361002696,0.9277315602154893,0.0760962691565864,0.9986406818114136,Same strict-quality score as best_box for 2 views.,1,1,Uses the best strict-quality observation and best target AP50-95 among two views.,6,4.084246804972574,0.0427166381387345
2,best_box,Best box (max),Selection / rescue,Availability / rescue,205,0.9088125281833844,0.035661637361002696,nan,nan,nan,Equals threshold_1_of_n on strict quality.,0,0,Keeps only the strongest strict-quality target observation in the coalition.,6,4.084246804972574,0.0427166381387345
2,unanimous_best_box,Unanimous best box,Strict confirmation,Confirmation / consensus,205,0.8800636199564377,0.006912729134055939,nan,nan,nan,"Requires full support, but keeps the best strict-quality observation once that support exists.",0,0,Returns the best strict-quality observation only if every selected view supports the target.,7,0.7916992591675821,0.07146554636568125
2,mean_quality,Mean quality,Naive aggregation,Naive pooling,205,0.8731508908223817,0.0,nan,nan,nan,,0,0,Averages strict-quality values across selected views.,8,0.0,0.0783782754997372
