instance_id,class_name,total_rows,unique_viewpoint_count,expected_viewpoint_count,missing_viewpoint_count,duplicate_viewpoint_count,unexpected_viewpoint_count,train_rows,val_rows,test_rows,score_available_count,score_missing_count,missing_viewpoints,unexpected_viewpoints
S0-SM_barrel_1,barrel,72,72,72,0,0,0,55,7,10,72,0,,
S0-SM_barrel_10,barrel,72,72,72,0,0,0,52,11,9,72,0,,
S0-SM_barrel_11,barrel,72,72,72,0,0,0,53,12,7,72,0,,
S0-SM_barrel_12,barrel,72,72,72,0,0,0,53,11,8,72,0,,
S0-SM_barrel_13,barrel,72,72,72,0,0,0,57,4,11,72,0,,
S0-SM_barrel_14,barrel,72,72,72,0,0,0,56,7,9,72,0,,
S0-SM_barrel_15,barrel,72,72,72,0,0,0,52,10,10,72,0,,
S0-SM_barrel_16,barrel,72,72,72,0,0,0,51,13,8,72,0,,
S0-SM_barrel_17,barrel,72,72,72,0,0,0,51,11,10,72,0,,
S0-SM_barrel_18,barrel,72,72,72,0,0,0,52,11,9,72,0,,
S0-SM_barrel_19,barrel,72,72,72,0,0,0,51,12,9,72,0,,
S0-SM_barrel_2,barrel,72,72,72,0,0,0,46,12,14,72,0,,
S0-SM_barrel_20,barrel,72,72,72,0,0,0,54,8,10,72,0,,
S0-SM_barrel_21,barrel,72,72,72,0,0,0,47,13,12,72,0,,
S0-SM_barrel_3,barrel,72,72,72,0,0,0,49,13,10,72,0,,
S0-SM_barrel_4,barrel,72,72,72,0,0,0,48,8,16,72,0,,
S0-SM_barrel_5,barrel,72,72,72,0,0,0,52,8,12,72,0,,
S0-SM_barrel_6,barrel,72,72,72,0,0,0,44,12,16,72,0,,
S0-SM_barrel_7,barrel,72,72,72,0,0,0,53,8,11,72,0,,
S0-SM_barrel_8,barrel,72,72,72,0,0,0,45,16,11,72,0,,
S0-SM_container_1,container,72,72,72,0,0,0,54,8,10,72,0,,
S0-SM_container_10,container,72,72,72,0,0,0,50,10,12,72,0,,
S0-SM_container_11,container,72,72,72,0,0,0,47,9,16,72,0,,
S0-SM_container_12,container,72,72,72,0,0,0,54,9,9,72,0,,
S0-SM_container_13,container,72,72,72,0,0,0,47,11,14,72,0,,
S0-SM_container_14,container,72,72,72,0,0,0,52,10,10,72,0,,
