viewpoint,single_id,expected_train_images,observed_train_images,expected_val_images,observed_val_images,expected_test_view_images,observed_test_images,expected_total_images,observed_total_images,train_match,val_match,test_match,total_match
ellow-radnear-az000,sv0001,141,141,29,29,35,35,205,205,1,1,1,1
ellow-radnear-az045,sv0002,146,146,27,27,32,32,205,205,1,1,1,1
ellow-radnear-az090,sv0003,148,148,25,25,32,32,205,205,1,1,1,1
ellow-radnear-az135,sv0004,148,148,25,25,32,32,205,205,1,1,1,1
ellow-radnear-az180,sv0005,135,135,31,31,39,39,205,205,1,1,1,1
ellow-radnear-az225,sv0006,139,139,30,30,36,36,205,205,1,1,1,1
ellow-radnear-az270,sv0007,150,150,25,25,30,30,205,205,1,1,1,1
ellow-radnear-az315,sv0008,140,140,36,36,29,29,205,205,1,1,1,1
ellow-radmid-az000,sv0009,147,147,27,27,31,31,205,205,1,1,1,1
ellow-radmid-az045,sv0010,143,143,25,25,37,37,205,205,1,1,1,1
ellow-radmid-az090,sv0011,147,147,26,26,32,32,205,205,1,1,1,1
ellow-radmid-az135,sv0012,146,146,29,29,30,30,205,205,1,1,1,1
ellow-radmid-az180,sv0013,152,152,32,32,21,21,205,205,1,1,1,1
ellow-radmid-az225,sv0014,155,155,21,21,29,29,205,205,1,1,1,1
ellow-radmid-az270,sv0015,142,142,37,37,26,26,205,205,1,1,1,1
ellow-radmid-az315,sv0016,152,152,20,20,33,33,205,205,1,1,1,1
ellow-radfar-az000,sv0017,136,136,30,30,39,39,205,205,1,1,1,1
ellow-radfar-az045,sv0018,148,148,35,35,22,22,205,205,1,1,1,1
ellow-radfar-az090,sv0019,140,140,37,37,28,28,205,205,1,1,1,1
ellow-radfar-az135,sv0020,145,145,24,24,36,36,205,205,1,1,1,1
ellow-radfar-az180,sv0021,145,145,35,35,25,25,205,205,1,1,1,1
ellow-radfar-az225,sv0022,141,141,34,34,30,30,205,205,1,1,1,1
ellow-radfar-az270,sv0023,137,137,36,36,32,32,205,205,1,1,1,1
ellow-radfar-az315,sv0024,149,149,28,28,28,28,205,205,1,1,1,1
elmid-radnear-az000,sv0025,148,148,36,36,21,21,205,205,1,1,1,1
elmid-radnear-az045,sv0026,138,138,35,35,32,32,205,205,1,1,1,1
elmid-radnear-az090,sv0027,150,150,24,24,31,31,205,205,1,1,1,1
elmid-radnear-az135,sv0028,142,142,20,20,43,43,205,205,1,1,1,1
elmid-radnear-az180,sv0029,144,144,29,29,32,32,205,205,1,1,1,1
elmid-radnear-az225,sv0030,146,146,34,34,25,25,205,205,1,1,1,1
elmid-radnear-az270,sv0031,134,134,28,28,43,43,205,205,1,1,1,1
elmid-radnear-az315,sv0032,142,142,30,30,33,33,205,205,1,1,1,1
elmid-radmid-az000,sv0033,138,138,25,25,42,42,205,205,1,1,1,1
elmid-radmid-az045,sv0034,135,135,35,35,35,35,205,205,1,1,1,1
elmid-radmid-az090,sv0035,140,140,36,36,29,29,205,205,1,1,1,1
elmid-radmid-az135,sv0036,147,147,38,38,20,20,205,205,1,1,1,1
elmid-radmid-az180,sv0037,149,149,25,25,31,31,205,205,1,1,1,1
elmid-radmid-az225,sv0038,151,151,32,32,22,22,205,205,1,1,1,1
elmid-radmid-az270,sv0039,138,138,27,27,40,40,205,205,1,1,1,1
elmid-radmid-az315,sv0040,146,146,30,30,29,29,205,205,1,1,1,1
elmid-radfar-az000,sv0041,149,149,29,29,27,27,205,205,1,1,1,1
elmid-radfar-az045,sv0042,139,139,36,36,30,30,205,205,1,1,1,1
elmid-radfar-az090,sv0043,139,139,37,37,29,29,205,205,1,1,1,1
elmid-radfar-az135,sv0044,146,146,28,28,31,31,205,205,1,1,1,1
elmid-radfar-az180,sv0045,151,151,28,28,26,26,205,205,1,1,1,1
elmid-radfar-az225,sv0046,133,133,36,36,36,36,205,205,1,1,1,1
elmid-radfar-az270,sv0047,145,145,34,34,26,26,205,205,1,1,1,1
elmid-radfar-az315,sv0048,148,148,31,31,26,26,205,205,1,1,1,1
elhigh-radnear-az000,sv0049,141,141,30,30,34,34,205,205,1,1,1,1
elhigh-radnear-az045,sv0050,152,152,30,30,23,23,205,205,1,1,1,1
elhigh-radnear-az090,sv0051,141,141,36,36,28,28,205,205,1,1,1,1
elhigh-radnear-az135,sv0052,137,137,36,36,32,32,205,205,1,1,1,1
elhigh-radnear-az180,sv0053,146,146,28,28,31,31,205,205,1,1,1,1
elhigh-radnear-az225,sv0054,131,131,38,38,36,36,205,205,1,1,1,1
elhigh-radnear-az270,sv0055,143,143,32,32,30,30,205,205,1,1,1,1
elhigh-radnear-az315,sv0056,140,140,36,36,29,29,205,205,1,1,1,1
elhigh-radmid-az000,sv0057,137,137,25,25,43,43,205,205,1,1,1,1
elhigh-radmid-az045,sv0058,147,147,28,28,30,30,205,205,1,1,1,1
elhigh-radmid-az090,sv0059,141,141,30,30,34,34,205,205,1,1,1,1
elhigh-radmid-az135,sv0060,141,141,34,34,30,30,205,205,1,1,1,1
elhigh-radmid-az180,sv0061,136,136,39,39,30,30,205,205,1,1,1,1
elhigh-radmid-az225,sv0062,130,130,39,39,36,36,205,205,1,1,1,1
elhigh-radmid-az270,sv0063,147,147,31,31,27,27,205,205,1,1,1,1
elhigh-radmid-az315,sv0064,150,150,31,31,24,24,205,205,1,1,1,1
elhigh-radfar-az000,sv0065,154,154,22,22,29,29,205,205,1,1,1,1
elhigh-radfar-az045,sv0066,123,123,43,43,39,39,205,205,1,1,1,1
