fusion_method,fusion_label,coalition_size,num_coalitions,mean_score,found_rate,average_precision,auc,precision,recall,f1,best_threshold,calibration_error_ece10,brier_score,mean_delta_vs_best_single,improved_over_best_single_rate,delta_mean_score_vs_previous_k,delta_found_rate_vs_previous_k,delta_ap_vs_previous_k,delta_mean_score_vs_k1,delta_found_rate_vs_k1,delta_ap_vs_k1
log_product_score,Log-product,1,14760,-14.641110056219816,0.4725609756097561,1.0,1.0,1.0,1.0,1.0,-6.363599699279306,,,-15.06356311425955,0.0,,,,0.0,0.0,0.0
log_product_score,Log-product,2,523980,-29.282220112439624,0.6774285278064048,1.0000000000000004,1.0,1.0,1.0,1.0,-33.99462081520785,,,-29.897686958258568,0.0,-14.641110056219809,0.20486755219664876,4.440892098500626e-16,-14.641110056219809,0.20486755219664876,4.440892098500626e-16
log_product_score,Log-product,3,102500,-43.867433857848916,0.7971024390243903,1.0,1.0,1.0,1.0,1.0,-61.6256419311364,,,-44.600566947187396,0.0,-14.585213745409291,0.11967391121798543,-4.440892098500626e-16,-29.2263238016291,0.3245414634146342,0.0
max_score,Max,1,14760,0.4224530580397339,0.4725609756097561,1.0,1.0,1.0,1.0,1.0,0.0017231527017429,0.05010791757002223,0.015694246111300054,0.0,0.0,,,,0.0,0.0,0.0
max_score,Max,2,523980,0.6154668458189403,0.6774285278064048,0.9999999999999999,1.0,1.0,1.0,1.0,0.0017231527017429,0.0619616819874646,0.01789616388513886,0.0,0.0,0.1930137877792064,0.20486755219664876,-1.1102230246251565e-16,0.1930137877792064,0.20486755219664876,-1.1102230246251565e-16
max_score,Max,3,102500,0.733133089338485,0.7971024390243903,1.0,1.0,1.0,1.0,1.0,0.0017231527017429,0.06396934968590534,0.016744063469677283,0.0,0.0,0.11766624351954469,0.11967391121798543,1.1102230246251565e-16,0.3106800312987511,0.3245414634146342,0.0
mean_score,Mean,1,14760,0.4224530580397339,0.4725609756097561,1.0,1.0,1.0,1.0,1.0,0.0017231527017429,0.05010791757002223,0.015694246111300054,0.0,0.0,,,,0.0,0.0,0.0
mean_score,Mean,2,523980,0.4224530580397339,0.6774285278064048,0.9999999999999999,1.0,1.0,1.0,1.0,0.00086157635087145,0.25497546976667096,0.13562544469209198,-0.19301378777920636,0.0,0.0,0.20486755219664876,-1.1102230246251565e-16,0.0,0.20486755219664876,-1.1102230246251565e-16
mean_score,Mean,3,102500,0.42316683678308836,0.7971024390243903,1.0,1.0,1.0,1.0,1.0,0.0005743842339143,0.3739356022413017,0.22593009831552985,-0.30996625255539645,0.0,0.0007137787433544873,0.11967391121798543,1.1102230246251565e-16,0.0007137787433544873,0.3245414634146342,0.0
noisy_or_score,Noisy-OR,1,14760,0.4224530580397339,0.4725609756097561,1.0,1.0,1.0,1.0,1.0,0.001723152701742947,0.05010791757002223,0.015694246111300054,3.585065801512705e-19,0.0,,,,0.0,0.0,0.0
noisy_or_score,Noisy-OR,2,523980,0.6267394367301694,0.6774285278064048,1.0000000000000002,1.0,1.0,1.0,1.0,0.001723152701742947,0.0506890910762353,0.016541803843069885,0.01127259091122938,0.26769342341310737,0.20428637869043553,0.20486755219664876,2.220446049250313e-16,0.20428637869043553,0.20486755219664876,2.220446049250313e-16
noisy_or_score,Noisy-OR,3,102500,0.7520934787319478,0.7971024390243903,1.0,1.0,1.0,1.0,1.0,0.001723152701742947,0.0450089602924425,0.014512361790229534,0.018960389393462763,0.4413268292682927,0.12535404200177835,0.11967391121798543,-2.220446049250313e-16,0.3296404206922139,0.3245414634146342,0.0
product_score,Product,1,14760,0.4224530580397339,0.4725609756097561,1.0,1.0,1.0,1.0,1.0,0.0017231527017429,0.05010791757002223,0.015694246111300054,0.0,0.0,,,,0.0,0.0,0.0
product_score,Product,2,523980,0.21816667934929812,0.6774285278064048,0.8048962356788827,0.6975805656427926,0.6774285278064048,1.0,0.8076988277912347,0.0,0.4592618484571066,0.42772790149606404,-0.3973001664696422,0.0,-0.20428637869043575,0.20486755219664876,-0.1951037643211173,-0.20428637869043575,0.20486755219664876,-0.1951037643211173
product_score,Product,3,102500,0.13777463922895639,0.7971024390243903,0.843233243189267,0.6136800362287799,0.7971024390243903,1.0,0.8870973871218166,0.0,0.6593277997954337,0.6328572764022351,-0.5953584501095285,0.0,-0.08039204012034173,0.11967391121798543,0.03833700751038427,-0.2846784188107775,0.3245414634146342,-0.15676675681073304
