split,instance_id,class_name,base_class,file_name,image_path,viewpoint,elevation,radius,azimuth
test,S0-SM_barrel_1,barrel,barrel,S0-SM_barrel_1-elhigh-radfar-az270.png,C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_barrel_1-elhigh-radfar-az270.png,elhigh-radfar-az270,high,far,270
test,S0-SM_barrel_1,barrel,barrel,S0-SM_barrel_1-elhigh-radmid-az045.png,C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_barrel_1-elhigh-radmid-az045.png,elhigh-radmid-az045,high,mid,45
test,S0-SM_barrel_1,barrel,barrel,S0-SM_barrel_1-elhigh-radnear-az090.png,C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_barrel_1-elhigh-radnear-az090.png,elhigh-radnear-az090,high,near,90
test,S0-SM_barrel_1,barrel,barrel,S0-SM_barrel_1-ellow-radfar-az135.png,C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_barrel_1-ellow-radfar-az135.png,ellow-radfar-az135,low,far,135
test,S0-SM_barrel_1,barrel,barrel,S0-SM_barrel_1-ellow-radmid-az135.png,C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_barrel_1-ellow-radmid-az135.png,ellow-radmid-az135,low,mid,135
test,S0-SM_barrel_1,barrel,barrel,S0-SM_barrel_1-ellow-radnear-az090.png,C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_barrel_1-ellow-radnear-az090.png,ellow-radnear-az090,low,near,90
test,S0-SM_barrel_1,barrel,barrel,S0-SM_barrel_1-ellow-radnear-az135.png,C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_barrel_1-ellow-radnear-az135.png,ellow-radnear-az135,low,near,135
test,S0-SM_barrel_1,barrel,barrel,S0-SM_barrel_1-ellow-radnear-az270.png,C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_barrel_1-ellow-radnear-az270.png,ellow-radnear-az270,low,near,270
test,S0-SM_barrel_1,barrel,barrel,S0-SM_barrel_1-elmid-radfar-az225.png,C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_barrel_1-elmid-radfar-az225.png,elmid-radfar-az225,mid,far,225
test,S0-SM_barrel_1,barrel,barrel,S0-SM_barrel_1-elmid-radmid-az090.png,C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_barrel_1-elmid-radmid-az090.png,elmid-radmid-az090,mid,mid,90
test,S0-SM_barrel_10,barrel,barrel,S0-SM_barrel_10-elhigh-radnear-az090.png,C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_barrel_10-elhigh-radnear-az090.png,elhigh-radnear-az090,high,near,90
test,S0-SM_barrel_10,barrel,barrel,S0-SM_barrel_10-ellow-radfar-az000.png,C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_barrel_10-ellow-radfar-az000.png,ellow-radfar-az000,low,far,0
test,S0-SM_barrel_10,barrel,barrel,S0-SM_barrel_10-ellow-radfar-az180.png,C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_barrel_10-ellow-radfar-az180.png,ellow-radfar-az180,low,far,180
