geometry_focus_group,fusion_method,fusion_label,num_coalitions,mean_score,found_rate,average_precision,auc,precision,recall,f1,best_threshold,mean_delta_vs_best_single
same_elevation_different_azimuth,max_score,Max,154980,0.6128516496832209,0.6727319654148922,1.0,1.0,1.0,1.0,1.0,0.0017231527017429,0.0
same_elevation_different_azimuth,mean_score,Mean,154980,0.4224530580397339,0.6727319654148922,0.9999999999999999,1.0,1.0,1.0,1.0,0.00086157635087145,-0.190398591643487
same_elevation_different_azimuth,noisy_or_score,Noisy-OR,154980,0.6247602476817549,0.6727319654148922,1.0,1.0,1.0,1.0,1.0,0.001723152701742947,0.011908597998533785
same_elevation_different_azimuth,product_score,Product,154980,0.22014586839771313,0.6727319654148922,0.805243188127441,0.7024506042585843,0.6727319654148922,1.0,0.8043511803733991,0.0,-0.3927057812855078
same_elevation_different_azimuth,log_product_score,Log-product,154980,-29.282220112439628,0.6727319654148922,1.0,1.0,1.0,1.0,1.0,-33.99462081520785,-29.895071762122853
same_azimuth_different_elevation,max_score,Max,44280,0.6092950330002936,0.6706187895212286,1.0,1.0,1.0,1.0,1.0,0.0017231527017429,0.0
same_azimuth_different_elevation,mean_score,Mean,44280,0.4224530580397339,0.6706187895212286,1.0,1.0,1.0,1.0,1.0,0.00086157635087145,-0.18684197496055974
same_azimuth_different_elevation,noisy_or_score,Noisy-OR,44280,0.6212179953562785,0.6706187895212286,1.0,1.0,1.0,1.0,1.0,0.001723152701742947,0.011922962355985042
same_azimuth_different_elevation,product_score,Product,44280,0.22368812072318908,0.6706187895212286,0.8054437975484879,0.7046640848627715,0.6706187895212286,1.0,0.8028387968908415,0.0,-0.3856069122771044
same_azimuth_different_elevation,log_product_score,Log-product,44280,-29.282220112439635,0.6706187895212286,1.0,1.0,1.0,1.0,1.0,-33.99462081520785,-29.89151514543993
different_azimuth_and_different_elevation,max_score,Max,309960,0.6185289677375938,0.6819557362240289,1.0,1.0,1.0,1.0,1.0,0.0017231527017429,0.0
different_azimuth_and_different_elevation,mean_score,Mean,309960,0.4224530580397339,0.6819557362240289,1.0000000000000002,1.0,1.0,1.0,1.0,0.00086157635087145,-0.19607590969785998
different_azimuth_and_different_elevation,noisy_or_score,Noisy-OR,309960,0.6292242238363518,0.6819557362240289,1.0,1.0,1.0,1.0,1.0,0.001723152701742947,0.010695256098757922
different_azimuth_and_different_elevation,product_score,Product,309960,0.21568189224311599,0.6819557362240289,0.8046887827445902,0.6929496307580223,0.6819557362240289,1.0,0.8109080655772923,0.0,-0.40284707549447785
different_azimuth_and_different_elevation,log_product_score,Log-product,309960,-29.28222011243965,0.6819557362240289,1.0,1.0,1.0,1.0,1.0,-33.99462081520785,-29.900749080177242
nearby_45_pair,max_score,Max,132840,0.6113561282785762,0.6722523336344475,1.0,1.0,1.0,1.0,1.0,0.0017231527017429,0.0
nearby_45_pair,mean_score,Mean,132840,0.4224530580397339,0.6722523336344475,1.0,1.0,1.0,1.0,1.0,0.00086157635087145,-0.18890307023884229
nearby_45_pair,noisy_or_score,Noisy-OR,132840,0.6231645338461734,0.6722523336344475,1.0,1.0,1.0,1.0,1.0,0.001723152701742947,0.011808405567597121
nearby_45_pair,product_score,Product,132840,0.2217415822332945,0.6722523336344475,0.8052862792394568,0.702951781595037,0.6722523336344475,1.0,0.8040082469771588,0.0,-0.3896145460452817
nearby_45_pair,log_product_score,Log-product,132840,-29.282220112439635,0.6722523336344475,1.0,1.0,1.0,1.0,1.0,-33.99462081520785,-29.893576240718208
opposing_180_pair,max_score,Max,66420,0.6216011973227183,0.6850045167118338,1.0,1.0,1.0,1.0,1.0,0.0017231527017429,0.0
opposing_180_pair,mean_score,Mean,66420,0.4224530580397339,0.6850045167118338,1.0,1.0,1.0,1.0,1.0,0.00086157635087145,-0.19914813928298444
opposing_180_pair,noisy_or_score,Noisy-OR,66420,0.6321693817360952,0.6850045167118338,1.0,1.0,1.0,1.0,1.0,0.001723152701742947,0.010568184413376862
opposing_180_pair,product_score,Product,66420,0.21273673434337262,0.6850045167118338,0.8046180593899659,0.6898654885929052,0.6850045167118338,1.0,0.8130595614646438,0.0,-0.4088644629793457
opposing_180_pair,log_product_score,Log-product,66420,-29.282220112439635,0.6850045167118338,1.0,1.0,1.0,1.0,1.0,-33.99462081520785,-29.903821309762346
same_radius,max_score,Max,169740,0.6146039827360156,0.676740897843761,1.0,1.0,1.0,1.0,1.0,0.0017231527017429,0.0
same_radius,mean_score,Mean,169740,0.4224530580397339,0.676740897843761,0.9999999999999999,1.0,1.0,1.0,1.0,0.00086157635087145,-0.19215092469628173
same_radius,noisy_or_score,Noisy-OR,169740,0.6260763741623011,0.676740897843761,0.9999999999999999,1.0,1.0,1.0,1.0,0.001723152701742947,0.011472391426285625
same_radius,product_score,Product,169740,0.21882974191716653,0.676740897843761,0.804938585653698,0.6982893705928441,0.676740897843761,1.0,0.8072098661326025,0.0,-0.39577424081884915
same_radius,log_product_score,Log-product,169740,-29.28222011243964,0.676740897843761,0.9999999999999999,1.0,1.0,1.0,1.0,-33.99462081520785,-29.896824095175656
different_radius,max_score,Max,354240,0.615880301046175,0.6777580171635049,1.0,1.0,1.0,1.0,1.0,0.0017231527017429,0.0
different_radius,mean_score,Mean,354240,0.4224530580397339,0.6777580171635049,1.0,1.0,1.0,1.0,1.0,0.00086157635087145,-0.1934272430064411
