scene_key,target_class,viewpoint_1,viewpoint_2,viewpoint_pair,elevation_1,radius_1,azimuth_1,elevation_2,radius_2,azimuth_2,same_elevation,same_radius,azimuth_gap,precision,recall,f1,mean_ap50_95,best_ap50_95,mean_target_ap50_95,best_target_ap50_95,mean_target_match_confidence_iou50,best_target_match_confidence_iou50,mean_target_strict_quality_iou50,best_target_strict_quality_iou50,target_visible,target_detected,target_detected_given_visible,tp_sum,fp_sum,fn_sum
S0-SM_barrel_1,barrel,ellow-radnear-az090,ellow-radnear-az135,ellow-radnear-az090 + ellow-radnear-az135,low,near,90,low,near,135,1,1,45,0.2556390977443609,0.7555555555555555,0.38202247191011235,0.3951066885129193,0.4098571415969513,0.9,1.0,0.8963261246681213,0.8987376689910889,0.8299042140871506,0.8696051268801597,1,1,1.0,34,99,11
S0-SM_barrel_1,barrel,ellow-radnear-az090,ellow-radnear-az270,ellow-radnear-az090 + ellow-radnear-az270,low,near,90,low,near,270,1,1,180,0.22289156626506024,0.6607142857142857,0.3333333333333333,0.3323772096966797,0.4098571415969513,0.95,1.0,0.8429075181484222,0.8939145803451538,0.8070809036983384,0.8696051268801597,1,1,1.0,37,129,19
S0-SM_barrel_1,barrel,ellow-radnear-az090,ellow-radmid-az135,ellow-radnear-az090 + ellow-radmid-az135,low,near,90,low,mid,135,1,0,45,0.22,0.7096774193548387,0.33587786259541985,0.47086264695457436,0.5318681523121974,0.9,1.0,0.8637619018554688,0.8939145803451538,0.8060422751666181,0.8696051268801597,1,1,1.0,22,78,9
S0-SM_barrel_1,barrel,ellow-radnear-az090,ellow-radfar-az135,ellow-radnear-az090 + ellow-radfar-az135,low,near,90,low,far,135,1,0,45,0.2558139534883721,0.7857142857142857,0.38596491228070173,0.6481577375893186,0.886458333581686,0.9,1.0,0.8390108048915863,0.8939145803451538,0.7824210286760316,0.8696051268801597,1,1,1.0,22,64,6
S0-SM_barrel_1,barrel,ellow-radnear-az090,elmid-radmid-az090,ellow-radnear-az090 + elmid-radmid-az090,low,near,90,mid,mid,90,0,0,0,0.28205128205128205,0.7857142857142857,0.41509433962264153,0.6268035707984756,0.84375,0.85,1.0,0.8700145483016968,0.8939145803451538,0.7908158302932513,0.8696051268801597,1,1,1.0,22,56,6
S0-SM_barrel_1,barrel,ellow-radnear-az090,elmid-radfar-az225,ellow-radnear-az090 + elmid-radfar-az225,low,near,90,mid,far,225,0,0,135,0.28205128205128205,0.7857142857142857,0.41509433962264153,0.6585744043801617,0.9072916671633721,1.0,1.0,0.8501218855381012,0.8939145803451538,0.8201311819983683,0.8696051268801597,1,1,1.0,22,56,6
S0-SM_barrel_1,barrel,ellow-radnear-az090,elhigh-radnear-az090,ellow-radnear-az090 + elhigh-radnear-az090,low,near,90,high,near,90,0,1,0,0.27848101265822783,0.7857142857142857,0.411214953271028,0.6474285712455106,0.8850000008940697,0.9,1.0,0.867438942193985,0.8939145803451538,0.79467641405496,0.8696051268801597,1,1,1.0,22,57,6
S0-SM_barrel_1,barrel,ellow-radnear-az090,elhigh-radmid-az045,ellow-radnear-az090 + elhigh-radmid-az045,low,near,90,high,mid,45,0,0,45,0.27848101265822783,0.7857142857142857,0.411214953271028,0.6411785712455105,0.8725000008940696,0.8,1.0,0.8389228582382202,0.8939145803451538,0.731234033147782,0.8696051268801597,1,1,1.0,22,57,6
S0-SM_barrel_1,barrel,ellow-radnear-az090,elhigh-radfar-az270,ellow-radnear-az090 + elhigh-radfar-az270,low,near,90,high,far,270,0,0,180,0.28205128205128205,0.7857142857142857,0.41509433962264153,0.6783660707984757,0.946875,0.95,1.0,0.8388788998126984,0.8939145803451538,0.7953123536636113,0.8696051268801597,1,1,1.0,22,56,6
S0-SM_barrel_1,barrel,ellow-radnear-az135,ellow-radnear-az270,ellow-radnear-az135 + ellow-radnear-az270,low,near,135,low,near,270,1,1,135,0.23178807947019867,0.660377358490566,0.3431372549019608,0.3176267566126477,0.38035623542888736,0.8500000000000001,0.9,0.8453190624713898,0.8987376689910889,0.7673799909053294,0.7902033012941416,1,1,1.0,35,116,18
S0-SM_barrel_1,barrel,ellow-radnear-az135,ellow-radmid-az135,ellow-radnear-az135 + ellow-radmid-az135,low,near,135,low,mid,135,1,0,0,0.23529411764705882,0.7142857142857143,0.35398230088495575,0.45611219387054236,0.5318681523121974,0.8,0.8,0.8661734461784363,0.8987376689910889,0.7663413623736091,0.7902033012941416,1,1,1.0,20,65,8
S0-SM_barrel_1,barrel,ellow-radnear-az135,ellow-radfar-az135,ellow-radnear-az135 + ellow-radfar-az135,low,near,135,low,far,135,1,0,0,0.28169014084507044,0.8,0.4166666666666667,0.6334072845052867,0.886458333581686,0.8,0.8,0.8414223492145538,0.8987376689910889,0.7427201158830226,0.7902033012941416,1,1,1.0,20,51,5
S0-SM_barrel_1,barrel,ellow-radnear-az135,elmid-radmid-az090,ellow-radnear-az135 + elmid-radmid-az090,low,near,135,mid,mid,90,0,0,45,0.31746031746031744,0.8,0.45454545454545453,0.6120531177144437,0.84375,0.75,0.8,0.8724260926246643,0.8987376689910889,0.7511149175002423,0.7902033012941416,1,1,1.0,20,43,5
S0-SM_barrel_1,barrel,ellow-radnear-az135,elmid-radfar-az225,ellow-radnear-az135 + elmid-radfar-az225,low,near,135,mid,far,225,0,0,90,0.31746031746031744,0.8,0.45454545454545453,0.6438239512961297,0.9072916671633721,0.9,1.0,0.8525334298610687,0.8987376689910889,0.7804302692053593,0.7902033012941416,1,1,1.0,20,43,5
S0-SM_barrel_1,barrel,ellow-radnear-az135,elhigh-radnear-az090,ellow-radnear-az135 + elhigh-radnear-az090,low,near,135,high,near,90,0,1,45,0.3125,0.8,0.449438202247191,0.6326781181614786,0.8850000008940697,0.8,0.8,0.8698504865169525,0.8987376689910889,0.754975501261951,0.7902033012941416,1,1,1.0,20,44,5
S0-SM_barrel_1,barrel,ellow-radnear-az135,elhigh-radmid-az045,ellow-radnear-az135 + elhigh-radmid-az045,low,near,135,high,mid,45,0,0,90,0.3125,0.8,0.449438202247191,0.6264281181614785,0.8725000008940696,0.7,0.8,0.8413344025611877,0.8987376689910889,0.691533120354773,0.7902033012941416,1,1,1.0,20,44,5
S0-SM_barrel_1,barrel,ellow-radnear-az135,elhigh-radfar-az270,ellow-radnear-az135 + elhigh-radfar-az270,low,near,135,high,far,270,0,0,135,0.31746031746031744,0.8,0.45454545454545453,0.6636156177144437,0.946875,0.8500000000000001,0.9,0.8412904441356659,0.8987376689910889,0.7556114408706023,0.7902033012941416,1,1,1.0,20,43,5
S0-SM_barrel_1,barrel,ellow-radnear-az270,ellow-radmid-az135,ellow-radnear-az270 + ellow-radmid-az135,low,near,270,low,mid,135,1,0,135,0.19491525423728814,0.5897435897435898,0.2929936305732484,0.3933827150543028,0.5318681523121974,0.8500000000000001,0.9,0.8127548396587372,0.8336092233657837,0.7435180519847968,0.7445566805165171,1,1,1.0,23,95,16
S0-SM_barrel_1,barrel,ellow-radnear-az270,ellow-radfar-az135,ellow-radnear-az270 + ellow-radfar-az135,low,near,270,low,far,135,1,0,135,0.22115384615384615,0.6388888888888888,0.32857142857142857,0.5706778056890471,0.886458333581686,0.8500000000000001,0.9,0.7880037426948547,0.7919004559516907,0.7198968054942103,0.7445566805165171,1,1,1.0,23,81,13
S0-SM_barrel_1,barrel,ellow-radnear-az270,elmid-radmid-az090,ellow-radnear-az270 + elmid-radmid-az090,low,near,270,mid,mid,90,0,0,180,0.23958333333333334,0.6388888888888888,0.3484848484848485,0.5493236388982041,0.84375,0.8,0.9,0.8190074861049652,0.8461145162582397,0.72829160711143,0.7445566805165171,1,1,1.0,23,73,13
S0-SM_barrel_1,barrel,ellow-radnear-az270,elmid-radfar-az225,ellow-radnear-az270 + elmid-radfar-az225,low,near,270,mid,far,225,0,0,45,0.23958333333333334,0.6388888888888888,0.3484848484848485,0.5810944724798901,0.9072916671633721,0.95,1.0,0.7991148233413696,0.8063291907310486,0.757606958816547,0.770657237116577,1,1,1.0,23,73,13
S0-SM_barrel_1,barrel,ellow-radnear-az270,elhigh-radnear-az090,ellow-radnear-az270 + elhigh-radnear-az090,low,near,270,high,near,90,0,1,180,0.23711340206185566,0.6388888888888888,0.3458646616541353,0.5699486393452389,0.8850000008940697,0.8500000000000001,0.9,0.8164318799972534,0.8409633040428162,0.7321521908731388,0.7445566805165171,1,1,1.0,23,74,13
S0-SM_barrel_1,barrel,ellow-radnear-az270,elhigh-radmid-az045,ellow-radnear-az270 + elhigh-radmid-az045,low,near,270,high,mid,45,0,0,135,0.23711340206185566,0.6388888888888888,0.3458646616541353,0.5636986393452389,0.8725000008940696,0.75,0.9,0.7879157960414886,0.7919004559516907,0.6687098099659607,0.7445566805165171,1,1,1.0,23,74,13
S0-SM_barrel_1,barrel,ellow-radnear-az270,elhigh-radfar-az270,ellow-radnear-az270 + elhigh-radfar-az270,low,near,270,high,far,270,0,0,0,0.23958333333333334,0.6388888888888888,0.3484848484848485,0.6008861388982041,0.946875,0.9,0.9,0.7878718376159668,0.7919004559516907,0.73278813048179,0.7445566805165171,1,1,1.0,23,73,13
S0-SM_barrel_1,barrel,ellow-radmid-az135,ellow-radfar-az135,ellow-radmid-az135 + ellow-radfar-az135,low,mid,135,low,far,135,1,0,0,0.21052631578947367,0.7272727272727273,0.32653061224489793,0.7091632429469417,0.886458333581686,0.8,0.8,0.8088581264019012,0.8336092233657837,0.71885817696249,0.7424794234530765,1,1,1.0,8,30,3
S0-SM_barrel_1,barrel,ellow-radmid-az135,elmid-radmid-az090,ellow-radmid-az135 + elmid-radmid-az090,low,mid,135,mid,mid,90,0,1,45,0.26666666666666666,0.7272727272727273,0.3902439024390244,0.6878090761560987,0.84375,0.75,0.8,0.8398618698120117,0.8461145162582397,0.7272529785797097,0.7424794234530765,1,1,1.0,8,22,3
S0-SM_barrel_1,barrel,ellow-radmid-az135,elmid-radfar-az225,ellow-radmid-az135 + elmid-radfar-az225,low,mid,135,mid,far,225,0,0,90,0.26666666666666666,0.7272727272727273,0.3902439024390244,0.7195799097377847,0.9072916671633721,0.9,1.0,0.8199692070484161,0.8336092233657837,0.7565683302848267,0.770657237116577,1,1,1.0,8,22,3
S0-SM_barrel_1,barrel,ellow-radmid-az135,elhigh-radnear-az090,ellow-radmid-az135 + elhigh-radnear-az090,low,mid,135,high,near,90,0,0,45,0.25806451612903225,0.7272727272727273,0.38095238095238093,0.7084340766031336,0.8850000008940697,0.8,0.8,0.8372862637042999,0.8409633040428162,0.7311135623414184,0.7424794234530765,1,1,1.0,8,23,3
S0-SM_barrel_1,barrel,ellow-radmid-az135,elhigh-radmid-az045,ellow-radmid-az135 + elhigh-radmid-az045,low,mid,135,high,mid,45,0,1,90,0.25806451612903225,0.7272727272727273,0.38095238095238093,0.7021840766031335,0.8725000008940696,0.7,0.8,0.8087701797485352,0.8336092233657837,0.6676711814342404,0.7424794234530765,1,1,1.0,8,23,3
