viewpoint_pair,viewpoint_1,viewpoint_2,sample_count,scene_count,mean_precision,mean_recall,mean_f1,mean_ap50_95,mean_best_ap50_95,mean_target_ap50_95,mean_best_target_ap50_95,mean_target_match_confidence_iou50,mean_best_target_match_confidence_iou50,mean_target_strict_quality_iou50,mean_best_target_strict_quality_iou50,mean_azimuth_gap,target_visible_rate,target_detected_rate,target_detected_given_visible
elhigh-radfar-az000 + elhigh-radfar-az045,elhigh-radfar-az000,elhigh-radfar-az045,5,5,0.6249925790795355,0.9456277056277056,0.7398042537172972,0.864446954223103,0.8949164348596135,0.8156998571957237,0.9128769844297379,0.855799026787281,0.9111931800842286,0.8102954090694912,0.8562109788994284,45.0,1.0,1.0,1.0
elhigh-radfar-az000 + elhigh-radfar-az090,elhigh-radfar-az000,elhigh-radfar-az090,5,5,0.6125064004096262,0.993103448275862,0.7536201878270844,0.8818893779157226,0.905305848282109,0.9422331205406753,0.9599433300153143,0.9533583223819733,0.9565940976142884,0.9172613176755628,0.9236445792280804,90.0,1.0,1.0,1.0
elhigh-radfar-az000 + elhigh-radfar-az135,elhigh-radfar-az000,elhigh-radfar-az135,4,4,0.5677874669452567,0.9696691176470589,0.6954002653693057,0.8485235051828357,0.9040703788408305,0.9168605206335405,0.9645878932649314,0.9657721370458603,0.9682628959417343,0.9439122469817449,0.9501637236365665,135.0,1.0,1.0,1.0
elhigh-radfar-az000 + elhigh-radfar-az180,elhigh-radfar-az000,elhigh-radfar-az180,5,5,0.6736360131096972,0.9818181818181818,0.7901719533298481,0.8726908341037264,0.9233719564204614,0.813645833854874,0.9133333341280618,0.8596329763531685,0.9296687960624694,0.8109941780861775,0.8809974287452711,180.0,1.0,1.0,1.0
elhigh-radfar-az000 + elhigh-radfar-az225,elhigh-radfar-az000,elhigh-radfar-az225,6,6,0.6410247432306256,0.9592074592074592,0.7560854853958302,0.8831595083434309,0.9322241698999632,0.9088636672158491,0.9666194416794286,0.9568996528784434,0.9608303705851237,0.9237588039306681,0.9394524450405607,135.0,1.0,1.0,1.0
elhigh-radfar-az000 + elhigh-radfar-az270,elhigh-radfar-az000,elhigh-radfar-az270,6,6,0.8029287124114711,1.0,0.8771786449437218,0.9297964610395538,0.9395519390598772,0.9576550935468188,0.9954074076568639,0.952676976720492,0.9580602745215098,0.9087345563874187,0.9200690985504067,90.0,1.0,1.0,1.0
elhigh-radfar-az000 + elhigh-radfar-az315,elhigh-radfar-az000,elhigh-radfar-az315,5,5,0.7213862224731791,1.0,0.8363502865182596,0.9025078404132444,0.9477043272554875,0.8968402783407106,0.9133333340287209,0.92884920835495,0.9354746818542481,0.870723838643876,0.8949357209593188,45.0,1.0,1.0,1.0
elhigh-radfar-az045 + elhigh-radfar-az090,elhigh-radfar-az045,elhigh-radfar-az090,3,3,0.5921171171171171,0.9696969696969697,0.7165432098765431,0.8649518197349187,0.931537038559163,0.7590277803440889,0.8791666666666668,0.88882048924764,0.8933596809705099,0.771170110243674,0.8182637596805454,45.0,1.0,1.0,1.0
elhigh-radfar-az045 + elhigh-radfar-az135,elhigh-radfar-az045,elhigh-radfar-az135,5,5,0.5461330701898653,0.9610576923076923,0.657296722045804,0.7948951745124964,0.8156965218896357,0.9235190658504153,0.9502359005767567,0.9650226712226868,0.9679301142692566,0.9413324866936182,0.9470339811208419,90.0,1.0,1.0,1.0
elhigh-radfar-az045 + elhigh-radfar-az180,elhigh-radfar-az045,elhigh-radfar-az180,5,5,0.5460661037868776,0.9561129691564474,0.6869219452599047,0.8224705267951,0.8737702744067622,0.8828750021159649,0.933333334128062,0.9203681945800781,0.9384753704071045,0.8722240888104238,0.9027395692865305,135.0,1.0,1.0,1.0
elhigh-radfar-az045 + elhigh-radfar-az225,elhigh-radfar-az045,elhigh-radfar-az225,4,4,0.5641480730223124,0.9427083333333334,0.680828031106398,0.8027259265589684,0.8491993414968881,0.8578432652690618,0.9082992452502703,0.9351420626044273,0.9384864717721939,0.8793929370827178,0.9055661272524089,180.0,1.0,1.0,1.0
elhigh-radfar-az045 + elhigh-radfar-az270,elhigh-radfar-az045,elhigh-radfar-az270,4,4,0.6995790088269864,0.975,0.8072856065503125,0.892395267346083,0.9695691283543905,0.987890625,1.0,0.9585840180516243,0.9634609818458557,0.9302868658538523,0.942592442658909,135.0,1.0,1.0,1.0
elhigh-radfar-az045 + elhigh-radfar-az315,elhigh-radfar-az045,elhigh-radfar-az315,4,4,0.5023671096345516,0.9821428571428572,0.6452556121486512,0.8893858185325392,0.9197023673299596,0.954836701103386,0.9628785271116751,0.9518095403909683,0.9535298645496368,0.9291684738034398,0.9320181656161353,90.0,1.0,1.0,1.0
