scene_key,file_name,image_id,target_class,viewpoint,elevation,radius,azimuth,precision,recall,f1,ap50,ap50_95,tp,fp,fn,num_gt,num_pred,target_visible,target_detected,target_precision,target_recall,target_f1,target_ap50,target_ap50_95,target_best_iou,target_match_confidence_iou50,target_match_iou_at_confidence_iou50,target_strict_quality_iou50,target_tp,target_fp,target_fn
S0-SM_barrel_1,S0-SM_barrel_1-elhigh-radfar-az270.png,1,barrel,elhigh-radfar-az270,high,far,270,1.0,1.0,1.0,1.0,0.946875,4,0,0,4,4,1,1,1.0,1.0,1.0,1.0,0.9,0.9198517799377441,0.7838432192802429,0.9198517799377441,0.7210195804470629,1,0,0
S0-SM_barrel_1,S0-SM_barrel_1-elhigh-radmid-az045.png,2,barrel,elhigh-radmid-az045,high,mid,45,0.8,1.0,0.888888888888889,1.0,0.8725000008940696,4,1,0,4,5,1,1,1.0,1.0,1.0,1.0,0.6,0.7562691569328308,0.7839311361312866,0.7562691569328308,0.5928629394154044,1,0,0
S0-SM_barrel_1,S0-SM_barrel_1-elhigh-radnear-az090.png,3,barrel,elhigh-radnear-az090,high,near,90,0.8,1.0,0.888888888888889,1.0,0.8850000008940697,4,1,0,4,5,1,1,1.0,1.0,1.0,1.0,0.8,0.8558610081672668,0.8409633040428162,0.8558610081672668,0.7197477012297604,1,0,0
S0-SM_barrel_1,S0-SM_barrel_1-ellow-radfar-az135.png,4,barrel,ellow-radfar-az135,low,far,135,0.3333333333333333,1.0,0.5,1.0,0.886458333581686,4,8,0,4,12,1,1,1.0,1.0,1.0,1.0,0.8,0.8866607546806335,0.7841070294380188,0.8866607546806335,0.6952369304719035,1,0,0
S0-SM_barrel_1,S0-SM_barrel_1-ellow-radmid-az135.png,5,barrel,ellow-radmid-az135,low,mid,135,0.15384615384615385,0.5714285714285714,0.24242424242424246,0.6043956292035815,0.5318681523121974,4,22,3,7,26,1,1,1.0,1.0,1.0,1.0,0.8,0.8906804323196411,0.8336092233657837,0.8906804323196411,0.7424794234530765,1,0,0
S0-SM_barrel_1,S0-SM_barrel_1-ellow-radnear-az090.png,6,barrel,ellow-radnear-az090,low,near,90,0.24324324324324326,0.75,0.3673469387755103,0.7577444964668878,0.4098571415969513,18,56,6,24,74,1,1,1.0,1.0,1.0,1.0,1.0,0.9728056192398071,0.8939145803451538,0.9728056192398071,0.8696051268801597,1,0,0
S0-SM_barrel_1,S0-SM_barrel_1-ellow-radnear-az135.png,7,barrel,ellow-radnear-az135,low,near,135,0.2711864406779661,0.7619047619047619,0.4,0.7529056978764439,0.38035623542888736,16,43,5,21,59,1,1,1.0,1.0,1.0,1.0,0.8,0.8792368769645691,0.8987376689910889,0.8792368769645691,0.7902033012941416,1,0,0
S0-SM_barrel_1,S0-SM_barrel_1-ellow-radnear-az270.png,8,barrel,ellow-radnear-az270,low,near,270,0.20652173913043478,0.59375,0.3064516129032258,0.5010146989952773,0.25489727779640814,19,73,13,32,92,1,1,1.0,1.0,1.0,1.0,0.9,0.940214991569519,0.7919004559516907,0.940214991569519,0.7445566805165171,1,0,0
S0-SM_barrel_1,S0-SM_barrel_1-elmid-radfar-az225.png,9,barrel,elmid-radfar-az225,mid,far,225,1.0,1.0,1.0,1.0,0.9072916671633721,4,0,0,4,4,1,1,1.0,1.0,1.0,1.0,1.0,0.9557600617408752,0.8063291907310486,0.9557600617408752,0.770657237116577,1,0,0
S0-SM_barrel_1,S0-SM_barrel_1-elmid-radmid-az090.png,10,barrel,elmid-radmid-az090,mid,mid,90,1.0,1.0,1.0,1.0,0.84375,4,0,0,4,4,1,1,1.0,1.0,1.0,1.0,0.7,0.8415250182151794,0.8461145162582397,0.8415250182151794,0.712026533706343,1,0,0
S0-SM_barrel_10,S0-SM_barrel_10-elhigh-radnear-az090.png,11,barrel,elhigh-radnear-az090,high,near,90,0.75,1.0,0.8571428571428571,1.0,0.9287566155274078,9,3,0,9,12,1,1,1.0,1.0,1.0,1.0,0.8,0.8566872477531433,0.8629654049873352,0.8525422215461731,0.7357144434853957,2,0,0
