target_class,scene_count,k1_target_ap50_95,k2_target_ap50_95,k3_target_ap50_95,delta_target_ap50_95_1_to_2,delta_target_ap50_95_2_to_3,delta_target_ap50_95_1_to_3,k1_target_strict_quality_iou50,k2_target_strict_quality_iou50,k3_target_strict_quality_iou50,delta_target_strict_quality_iou50_1_to_2,delta_target_strict_quality_iou50_2_to_3,delta_target_strict_quality_iou50_1_to_3,k1_target_found_rate,k2_target_found_rate,k3_target_found_rate
tent,18,0.9536303795275424,0.9909821635040426,0.9974425596686072,0.0373517839765,0.0064603961645645,0.0438121801410645,0.957697160777931,0.9667444730154068,0.969430567505964,0.0090473122374756,0.0026860944905574,0.0117334067280331,1.0,1.0,1.0
container,22,0.9490008108457662,0.9917156032681668,0.9969258038961276,0.0427147924224005,0.0052102006279609,0.0479249930503614,0.9386229131544762,0.9520764225980866,0.9559488822757616,0.0134535094436103,0.003872459677675,0.0173259691212853,0.9954545454545454,1.0,1.0
tree,30,0.852398333424311,0.9164230740117428,0.9365417338755664,0.0640247405874319,0.0201186598638234,0.0841434004512553,0.9371855854640224,0.9521442464068416,0.9567790302837834,0.0149586609428191,0.0046347838769418,0.0195934448197609,0.9966666666666666,1.0,1.0
rock,21,0.9051676711518138,0.970236664218888,0.987143380272038,0.0650689930670742,0.0169067160531499,0.0819757091202242,0.9404980839965053,0.9584601492199696,0.9622370036356184,0.0179620652234643,0.0037768544156486,0.021738919639113,0.9929356357927784,1.0,1.0
tower,13,0.8965187454142972,0.975745504044701,0.9924621723879888,0.0792267586304037,0.0167166683432877,0.0959434269736915,0.9486731800473456,0.962554218733088,0.965540849545852,0.0138810386857425,0.0029866308127639,0.0168676694985064,1.0,1.0,1.0
whitevan,19,0.8932431042239525,0.9791096368487974,0.9934521916765194,0.0858665326248449,0.014342554827722,0.1002090874525669,0.912145612038438,0.9484143390044504,0.954978672947436,0.0362687269660124,0.0065643339429853,0.0428330609089978,0.9732873851294904,0.9988304093567252,1.0
suv,22,0.8717102175214433,0.9611917671472452,0.9819856297589464,0.0894815496258017,0.0207938626117012,0.110275412237503,0.8647125867300894,0.9175173536495076,0.9287224404713172,0.0528047669194182,0.0112050868218094,0.0640098537412277,0.9539059425423062,0.9955060091423727,0.999724517906336
male,20,0.6712867166072278,0.7654763511750655,0.8019223517682574,0.0941896345678376,0.0364460005931919,0.1306356351610296,0.6814881663434977,0.7485098216220201,0.7713565595001847,0.0670216552785223,0.0228467378781646,0.0898683931566869,0.9734157509157508,1.0,1.0
tank,20,0.836009813047222,0.9359089349509976,0.9675956410916076,0.0998991219037757,0.0316867061406098,0.1315858280443855,0.861668264539254,0.9138052739263278,0.9284059324535364,0.0521370093870737,0.0146006585272084,0.0667376679142822,0.99375,1.0,1.0
barrel,20,0.7005740425426672,0.8100093103892496,0.8500356492272765,0.1094352678465824,0.0400263388380268,0.1494616066846092,0.6845664406138463,0.7651367482231577,0.7926116449546521,0.0805703076093113,0.0274748967314943,0.1080452043408057,0.9325180375180376,0.9921214896214896,0.9994459706959709
