metric,value
one_to_two_target_ap50_95_gain,0.0760962691565863
one_to_two_target_strict_quality_gain,0.035661637361002696
one_to_two_target_found_rate_gain,0.017549388281095646
two_views_fraction_total_ap_gain_captured,0.7839173725349438
two_views_fraction_total_strict_gain_captured,0.78013039358689
two_to_three_target_ap50_95_gain,0.020975529253129843
mean_pair_training_lift_over_best_single,0.05980205158407237
median_pair_training_lift_over_best_single,0.0360147068611916
fraction_pairs_beating_best_single,0.9388560157790927
two_view_support_weighted_fusion_gain_over_oracle,0.0124224751349814
two_view_noisy_or_gain_over_oracle,0.0427166381387345
