rank_within_drone_count,drone_count,combination_label,viewpoint_1,viewpoint_2,viewpoint_3,sample_count,scene_count,dominant_target_class,dominant_target_class_count,elevation_pattern,radius_pattern,unique_elevation_count,unique_radius_count,max_pairwise_azimuth_gap,mean_pairwise_azimuth_gap,target_visible_any_rate,target_visible_all_rate,target_found_or_rate,target_found_majority_rate,target_found_all_rate,mean_best_target_ap50_95,mean_mean_target_ap50_95,mean_best_strict_quality,mean_mean_strict_quality,mean_best_match_confidence_iou50,mean_mean_match_confidence_iou50,best_constituent_mean_strict_quality_on_matched_scenes,complementarity_vs_best_single_strict_quality,best_constituent_mean_ap50_95_on_matched_scenes,complementarity_vs_best_single_ap50_95,mean_absent_view_count,selected_has_absent_view_rate,all_selected_views_absent_rate,false_alarm_rate_when_any_selected_view_absent,false_alarm_rate_when_all_selected_views_absent,fusion_sample_count,fusion_mean_best_box_quality,fusion_mean_fused_quality_noisy_or_max_iou,fusion_mean_fused_quality_support_weighted_or,fusion_mean_gain_noisy_vs_best,fusion_mean_gain_support_vs_best,fusion_mean_support_ratio
1,1,ellow-radnear-az225,ellow-radnear-az225,,,36,36,tent,6,low,near,1,1,0,0.0,1.0,1.0,1.0,1.0,1.0,0.8585031392068458,0.8585031392068458,0.9422698168641391,0.9422698168641391,0.9678751445478864,0.9678751445478864,0.9422698168641391,0.0,0.8585031392068458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2,1,elmid-radnear-az315,elmid-radnear-az315,,,33,33,rock,5,mid,near,1,1,0,0.0,1.0,1.0,1.0,1.0,1.0,0.9613336250985963,0.9613336250985963,0.9382882464153973,0.9382882464153973,0.9618144324331572,0.9618144324331572,0.9382882464153973,0.0,0.9613336250985963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
3,1,elmid-radnear-az000,elmid-radnear-az000,,,21,21,tree,4,mid,near,1,1,0,0.0,1.0,1.0,1.0,1.0,1.0,0.9263145329839103,0.9263145329839103,0.9310569471536381,0.9310569471536381,0.9638969273794264,0.9638969273794264,0.9310569471536381,0.0,0.9263145329839103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
4,1,elmid-radnear-az045,elmid-radnear-az045,,,32,32,tree,8,mid,near,1,1,0,0.0,1.0,1.0,1.0,1.0,1.0,0.9156071375252579,0.9156071375252579,0.9301019000916874,0.9301019000916874,0.962074114009738,0.962074114009738,0.9301019000916874,0.0,0.9156071375252579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
5,1,elhigh-radnear-az000,elhigh-radnear-az000,,,34,34,tree,7,high,near,1,1,0,0.0,1.0,1.0,1.0,1.0,1.0,0.937761748385335,0.937761748385335,0.9290929259368824,0.9290929259368824,0.9580160677433014,0.9580160677433014,0.9290929259368824,0.0,0.937761748385335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
6,1,ellow-radmid-az315,ellow-radmid-az315,,,33,33,tree,8,low,mid,1,1,0,0.0,1.0,1.0,1.0,1.0,1.0,0.8816379968561886,0.8816379968561886,0.926455908994406,0.926455908994406,0.9577774279045336,0.9577774279045336,0.926455908994406,0.0,0.8816379968561886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
7,1,ellow-radnear-az135,ellow-radnear-az135,,,32,32,container,6,low,near,1,1,0,0.0,1.0,1.0,1.0,1.0,1.0,0.8764634217007157,0.8764634217007157,0.9251432507259009,0.9251432507259009,0.9596788734197617,0.9596788734197617,0.9251432507259009,0.0,0.8764634217007157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
8,1,elmid-radnear-az135,elmid-radnear-az135,,,43,43,tree,11,mid,near,1,1,0,0.0,1.0,1.0,1.0,1.0,1.0,0.9075941350469102,0.9075941350469102,0.9233566889723125,0.9233566889723125,0.9531030044999234,0.9531030044999234,0.9233566889723125,0.0,0.9075941350469102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
9,1,elmid-radnear-az270,elmid-radnear-az270,,,43,43,tree,10,mid,near,1,1,0,0.0,1.0,1.0,1.0,1.0,1.0,0.9136514213008092,0.9136514213008092,0.9142447979608064,0.9142447979608064,0.9512969338616659,0.9512969338616659,0.9142447979608064,0.0,0.9136514213008092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
10,1,ellow-radnear-az090,ellow-radnear-az090,,,32,32,rock,7,low,near,1,1,0,0.0,1.0,1.0,1.0,1.0,1.0,0.8485322125212845,0.8485322125212845,0.9094453527842968,0.9094453527842968,0.9551473651081324,0.9551473651081324,0.9094453527842968,0.0,0.8485322125212845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
11,1,elmid-radfar-az000,elmid-radfar-az000,,,27,27,tree,5,mid,far,1,1,0,0.0,1.0,1.0,1.0,1.0,1.0,0.8896951593271681,0.8896951593271681,0.9085655512375765,0.9085655512375765,0.9465464817153083,0.9465464817153083,0.9085655512375765,0.0,0.8896951593271681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
12,1,elhigh-radfar-az315,elhigh-radfar-az315,,,30,30,tank,6,high,far,1,1,0,0.0,1.0,1.0,1.0,1.0,1.0,0.9138748865253261,0.9138748865253261,0.9064996203345702,0.9064996203345702,0.94234472711881,0.94234472711881,0.9064996203345702,0.0,0.9138748865253261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
