drone_count,elevation_pattern,radius_pattern,combination_count,mean_scene_count,mean_best_strict_quality,mean_complementarity_strict_quality,mean_target_found_or_rate,mean_false_alarm_rate_when_any_selected_view_absent
2,low + mid,near + near,57,6.017543859649122,0.9416900621296462,0.009896775757930772,1.0,0.008771929824561403
2,low + low,near + near,27,5.37037037037037,0.9385208336075272,0.01098536725364009,1.0,0.07407407407407407
2,mid + high,near + near,54,5.555555555555555,0.9301296037984377,0.004664674756983199,1.0,0.0
2,low + mid,near + mid,115,5.478260869565218,0.9299288800215832,0.011380454800129027,1.0,0.04782608695652174
2,low + high,near + near,53,5.60377358490566,0.9299275310271339,0.008746503601033472,1.0,0.04716981132075472
2,mid + mid,near + near,25,5.48,0.9298105345225754,0.0070882950226675455,1.0,0.0
2,low + low,near + mid,60,5.433333333333334,0.9272324799402126,0.013733541250160986,0.9955357142857142,0.03333333333333333
2,low + low,mid + mid,22,4.863636363636363,0.9212604670375035,0.016815016525111245,1.0,0.022727272727272728
2,low + mid,near + far,99,5.5353535353535355,0.9195123047185051,0.006484052508248871,1.0,0.020202020202020204
2,low + high,near + mid,112,5.267857142857143,0.9182089711052667,0.012157630452604578,1.0,0.03571428571428571
2,high + high,far + far,25,4.44,0.9181197805533742,0.006655100452575513,1.0,0.0
2,mid + mid,near + mid,53,5.283018867924528,0.916277569559412,0.006293094958618862,0.9937106918238994,0.0
2,low + high,near + far,113,5.230088495575221,0.9161724206777183,0.012242756904852424,1.0,0.035398230088495575
2,mid + high,near + mid,110,5.2727272727272725,0.9148802351538321,0.004464432586759528,1.0,0.0
2,mid + mid,near + far,49,5.1020408163265305,0.9143287529820145,0.006658185478476209,1.0,0.0
2,high + high,near + far,52,4.980769230769231,0.9142175105823092,0.004651388907282856,1.0,0.0
2,low + mid,mid + mid,50,5.26,0.9130188826812413,0.015066641390181136,1.0,0.03
2,low + low,near + far,55,5.163636363636364,0.9126027436051872,0.008806454556993384,0.9903030303030304,0.01818181818181818
2,mid + mid,mid + mid,24,5.125,0.9116230094971741,0.0051141566719750215,1.0,0.0
2,low + high,mid + mid,54,5.12962962962963,0.9104736414419787,0.012555537860631736,1.0,0.027777777777777776
2,mid + high,near + far,110,4.9363636363636365,0.9097701965379665,0.006860632124216812,1.0,0.0
2,mid + high,far + far,51,4.882352941176471,0.9078603386513557,0.006686206677425834,1.0,0.0
2,mid + high,mid + far,107,5.102803738317757,0.9062736031847066,0.006465180747996343,1.0,0.0
2,mid + mid,mid + far,57,5.333333333333333,0.9039583653567766,0.006266818384177687,1.0,0.0
2,mid + mid,far + far,22,4.545454545454546,0.9017471097129568,0.006976700763083104,1.0,0.0
2,high + high,near + near,23,5.086956521739131,0.9010100258565268,0.0065953241959048345,1.0,0.0
2,low + high,far + far,50,5.08,0.9001228805831761,0.010491138021755666,1.0,0.0
2,low + mid,mid + far,105,5.123809523809523,0.8983084456410059,0.011631863741991561,1.0,0.01904761904761905
2,mid + high,mid + mid,56,5.446428571428571,0.8982800435173973,0.0064909764656599644,1.0,0.0
2,high + high,mid + far,54,4.87037037037037,0.896220458100487,0.006092787393334308,1.0,0.0
2,high + high,near + mid,52,5.3076923076923075,0.894284150327247,0.0060113853483095645,1.0,0.0
2,low + high,mid + far,104,5.144230769230769,0.8867664957695436,0.011211845402417679,1.0,0.009615384615384616
