repeat,fold,drone_count,selected_rank,combination_label,viewpoint_1,viewpoint_2,viewpoint_3,selection_scene_count,heldout_scene_count,selection_metric_name,selection_metric_value,selection_mean_best_strict_quality,heldout_mean_best_strict_quality,generalization_gap_strict_quality,selection_mean_best_target_ap50_95,heldout_mean_best_target_ap50_95,selection_target_found_or_rate,heldout_target_found_or_rate,heldout_selected_has_absent_view_rate,heldout_false_alarm_rate_when_any_selected_view_absent,heldout_all_selected_views_absent_rate
1,1,1,1,ellow-radnear-az225,ellow-radnear-az225,,,26,10,mean_best_strict_quality,0.9438012422017406,0.9438012422017406,0.9382881109863753,0.00551313121536523,0.8573424867581425,0.8615208355734746,1.0,1.0,0.0,0.0,0.0
1,1,1,2,elmid-radnear-az315,elmid-radnear-az315,,,24,9,mean_best_strict_quality,0.9427072739002172,0.9427072739002172,0.926504173122544,0.016203100777673285,0.9649292203054453,0.9517453712136658,1.0,1.0,0.0,0.0,0.0
1,1,1,3,ellow-radmid-az315,ellow-radmid-az315,,,25,8,mean_best_strict_quality,0.9379846909441977,0.9379846909441977,0.8904284654013068,0.04755622554289085,0.8694551458820523,0.9197094061503649,1.0,1.0,0.0,0.0,0.0
1,1,1,4,elhigh-radnear-az000,elhigh-radnear-az000,,,24,10,mean_best_strict_quality,0.9306394340443052,0.9306394340443052,0.9253813064790677,0.005258127565237469,0.9565637109301154,0.8926370382778618,1.0,1.0,0.0,0.0,0.0
1,1,1,5,elhigh-radfar-az315,elhigh-radfar-az315,,,22,8,mean_best_strict_quality,0.9277637543412358,0.9277637543412358,0.8480232518162398,0.07974050252499598,0.9300976654510723,0.8692622444795238,1.0,1.0,0.0,0.0,0.0
1,1,2,1,ellow-radnear-az270 + ellow-radnear-az315,ellow-radnear-az270,ellow-radnear-az315,,4,1,mean_best_strict_quality,0.9750484321418584,0.9750484321418584,0.9452908815253735,0.029757550616484885,0.9887500000186265,1.0,1.0,1.0,0.0,0.0,0.0
1,1,2,2,ellow-radnear-az270 + elmid-radmid-az225,ellow-radnear-az270,elmid-radmid-az225,,3,0,mean_best_strict_quality,0.9741215624092637,0.9741215624092637,0.0,0.9741215624092637,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1,1,2,3,ellow-radnear-az135 + elmid-radnear-az315,ellow-radnear-az135,elmid-radnear-az315,,4,2,mean_best_strict_quality,0.9729925311827765,0.9729925311827765,0.9642830376506719,0.008709493532104595,0.9682211541105061,0.9770833333954215,1.0,1.0,0.0,0.0,0.0
1,1,2,4,ellow-radnear-az270 + ellow-radmid-az315,ellow-radnear-az270,ellow-radmid-az315,,4,0,mean_best_strict_quality,0.9721191285204203,0.9721191285204203,0.0,0.9721191285204203,0.9762561589635431,0.0,1.0,0.0,0.0,0.0,0.0
1,1,2,5,ellow-radnear-az225 + elmid-radmid-az090,ellow-radnear-az225,elmid-radmid-az090,,3,3,mean_best_strict_quality,0.9719493101982929,0.9719493101982929,0.9623364583709169,0.009612851827376034,1.0,0.9861111111938953,1.0,1.0,0.0,0.0,0.0
1,1,3,1,ellow-radnear-az225 + elmid-radnear-az315 + elhigh-radfar-az270,ellow-radnear-az225,elmid-radnear-az315,elhigh-radfar-az270,3,0,mean_best_strict_quality,0.9759036128966135,0.9759036128966135,0.0,0.9759036128966135,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1,1,3,2,ellow-radnear-az270 + elmid-radmid-az180 + elhigh-radnear-az135,ellow-radnear-az270,elmid-radmid-az180,elhigh-radnear-az135,3,0,mean_best_strict_quality,0.9754246747119429,0.9754246747119429,0.0,0.9754246747119429,0.9809523822296233,0.0,1.0,0.0,0.0,0.0,0.0
1,1,3,3,ellow-radnear-az225 + ellow-radfar-az180 + elhigh-radnear-az225,ellow-radnear-az225,ellow-radfar-az180,elhigh-radnear-az225,3,0,mean_best_strict_quality,0.9754061942646111,0.9754061942646111,0.0,0.9754061942646111,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1,1,3,4,ellow-radnear-az225 + ellow-radfar-az180 + elhigh-radfar-az315,ellow-radnear-az225,ellow-radfar-az180,elhigh-radfar-az315,3,0,mean_best_strict_quality,0.9753926195006848,0.9753926195006848,0.0,0.9753926195006848,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1,1,3,5,ellow-radnear-az225 + ellow-radmid-az225 + ellow-radfar-az180,ellow-radnear-az225,ellow-radmid-az225,ellow-radfar-az180,3,0,mean_best_strict_quality,0.9753926195006848,0.9753926195006848,0.0,0.9753926195006848,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1,2,1,1,ellow-radnear-az225,ellow-radnear-az225,,,29,7,mean_best_strict_quality,0.941755773475421,0.941755773475421,0.944399425188828,-0.0026436517134069693,0.859116522823421,0.8559619785096062,1.0,1.0,0.0,0.0,0.0
1,2,1,2,elmid-radnear-az000,elmid-radnear-az000,,,14,7,mean_best_strict_quality,0.9383702396539471,0.9383702396539471,0.9164303621530203,0.02193987750092674,0.9368764887452127,0.9051906214613054,1.0,1.0,0.0,0.0,0.0
1,2,1,3,elhigh-radnear-az000,elhigh-radnear-az000,,,24,10,mean_best_strict_quality,0.9336201409948104,0.9336201409948104,0.9182276097978551,0.015392531196955272,0.9399172590141848,0.9325885228760955,1.0,1.0,0.0,0.0,0.0
1,2,1,4,elmid-radnear-az135,elmid-radnear-az135,,,36,7,mean_best_strict_quality,0.9334318450905291,0.9334318450905291,0.8715416003643409,0.061890244726188204,0.9309198163632999,0.7876334882769065,1.0,1.0,0.0,0.0,0.0
1,2,1,5,elmid-radnear-az315,elmid-radnear-az315,,,24,9,mean_best_strict_quality,0.9307363832729424,0.9307363832729424,0.9584265481286103,-0.027690164855667887,0.9544726232235424,0.9796296300987402,1.0,1.0,0.0,0.0,0.0
1,2,2,1,ellow-radmid-az000 + elmid-radnear-az045,ellow-radmid-az000,elmid-radnear-az045,,3,1,mean_best_strict_quality,0.9732414050096736,0.9732414050096736,0.9602997545823939,0.012941650427279683,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,2,2,2,elmid-radnear-az045 + elhigh-radfar-az180,elmid-radnear-az045,elhigh-radfar-az180,,3,1,mean_best_strict_quality,0.9730061973658574,0.9730061973658574,0.9677061221513696,0.0053000752144877206,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,2,2,3,elmid-radnear-az225 + elmid-radmid-az000,elmid-radnear-az225,elmid-radmid-az000,,3,1,mean_best_strict_quality,0.971487628659915,0.971487628659915,0.9582488763576258,0.013238752302289214,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,2,2,4,ellow-radnear-az045 + elmid-radnear-az225,ellow-radnear-az045,elmid-radnear-az225,,5,0,mean_best_strict_quality,0.971016504926807,0.971016504926807,0.0,0.971016504926807,0.9252395847957168,0.0,1.0,0.0,0.0,0.0,0.0
1,2,2,5,ellow-radmid-az315 + elmid-radnear-az045,ellow-radmid-az315,elmid-radnear-az045,,3,0,mean_best_strict_quality,0.9705433975375151,0.9705433975375151,0.0,0.9705433975375151,0.9331481491547194,0.0,1.0,0.0,0.0,0.0,0.0
1,2,3,1,ellow-radnear-az225 + ellow-radmid-az270 + elmid-radmid-az090,ellow-radnear-az225,ellow-radmid-az270,elmid-radmid-az090,3,0,mean_best_strict_quality,0.9748669935825577,0.9748669935825577,0.0,0.9748669935825577,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1,2,3,2,ellow-radnear-az180 + ellow-radnear-az225 + ellow-radmid-az000,ellow-radnear-az180,ellow-radnear-az225,ellow-radmid-az000,3,0,mean_best_strict_quality,0.9743855166425774,0.9743855166425774,0.0,0.9743855166425774,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1,2,3,3,ellow-radnear-az180 + ellow-radnear-az225 + elhigh-radnear-az180,ellow-radnear-az180,ellow-radnear-az225,elhigh-radnear-az180,3,0,mean_best_strict_quality,0.9741920423463301,0.9741920423463301,0.0,0.9741920423463301,1.0,0.0,1.0,0.0,0.0,0.0,0.0
