group_type,group_value,target_absent_view_count,false_alarm_view_count,false_alarm_rate,mean_target_fp_when_absent
azimuth,000,8,1,0.125,0.125
azimuth,270,7,1,0.14285714285714285,0.42857142857142855
azimuth,225,5,1,0.2,0.2
azimuth,045,4,0,0.0,0.0
azimuth,090,4,0,0.0,0.0
azimuth,135,4,0,0.0,0.0
azimuth,180,4,0,0.0,0.0
azimuth,315,4,0,0.0,0.0
elevation,low,39,3,0.07692307692307693,0.1282051282051282
elevation,mid,1,0,0.0,0.0
overall,all,40,3,0.075,0.125
radius,far,19,0,0.0,0.0
radius,mid,13,1,0.07692307692307693,0.07692307692307693
radius,near,8,2,0.25,0.5
target_class,barrel,14,0,0.0,0.0
target_class,suv,10,1,0.1,0.1
target_class,male,6,1,0.16666666666666666,0.16666666666666666
target_class,whitevan,4,0,0.0,0.0
target_class,tank,2,1,0.5,1.5
target_class,rock,2,0,0.0,0.0
target_class,container,1,0,0.0,0.0
target_class,tree,1,0,0.0,0.0
viewpoint,ellow-radfar-az270,5,0,0.0,0.0
viewpoint,ellow-radnear-az000,3,1,0.3333333333333333,0.3333333333333333
viewpoint,ellow-radfar-az000,3,0,0.0,0.0
viewpoint,ellow-radfar-az315,3,0,0.0,0.0
viewpoint,ellow-radmid-az225,2,1,0.5,0.5
viewpoint,ellow-radfar-az090,2,0,0.0,0.0
viewpoint,ellow-radfar-az135,2,0,0.0,0.0
viewpoint,ellow-radfar-az225,2,0,0.0,0.0
viewpoint,ellow-radmid-az000,2,0,0.0,0.0
viewpoint,ellow-radmid-az045,2,0,0.0,0.0
viewpoint,ellow-radmid-az090,2,0,0.0,0.0
viewpoint,ellow-radmid-az135,2,0,0.0,0.0
viewpoint,ellow-radnear-az180,2,0,0.0,0.0
viewpoint,ellow-radnear-az270,1,1,1.0,3.0
viewpoint,ellow-radfar-az045,1,0,0.0,0.0
viewpoint,ellow-radfar-az180,1,0,0.0,0.0
viewpoint,ellow-radmid-az180,1,0,0.0,0.0
viewpoint,ellow-radmid-az270,1,0,0.0,0.0
viewpoint,ellow-radnear-az045,1,0,0.0,0.0
viewpoint,ellow-radnear-az315,1,0,0.0,0.0
viewpoint,elmid-radmid-az225,1,0,0.0,0.0
