viewpoint,ellow-radnear-az000,ellow-radnear-az045,ellow-radnear-az090,ellow-radnear-az135,ellow-radnear-az180,ellow-radnear-az225,ellow-radnear-az270,ellow-radnear-az315,ellow-radmid-az000,ellow-radmid-az045,ellow-radmid-az090,ellow-radmid-az135,ellow-radmid-az180,ellow-radmid-az225,ellow-radmid-az270,ellow-radmid-az315,ellow-radfar-az000,ellow-radfar-az045,ellow-radfar-az090,ellow-radfar-az135,ellow-radfar-az180,ellow-radfar-az225,ellow-radfar-az270,ellow-radfar-az315,elmid-radnear-az000,elmid-radnear-az045,elmid-radnear-az090,elmid-radnear-az135,elmid-radnear-az180,elmid-radnear-az225,elmid-radnear-az270,elmid-radnear-az315,elmid-radmid-az000,elmid-radmid-az045,elmid-radmid-az090,elmid-radmid-az135,elmid-radmid-az180,elmid-radmid-az225,elmid-radmid-az270,elmid-radmid-az315,elmid-radfar-az000,elmid-radfar-az045,elmid-radfar-az090,elmid-radfar-az135,elmid-radfar-az180,elmid-radfar-az225,elmid-radfar-az270,elmid-radfar-az315,elhigh-radnear-az000,elhigh-radnear-az045,elhigh-radnear-az090,elhigh-radnear-az135,elhigh-radnear-az180,elhigh-radnear-az225,elhigh-radnear-az270,elhigh-radnear-az315,elhigh-radmid-az000,elhigh-radmid-az045,elhigh-radmid-az090,elhigh-radmid-az135,elhigh-radmid-az180,elhigh-radmid-az225,elhigh-radmid-az270,elhigh-radmid-az315,elhigh-radfar-az000,elhigh-radfar-az045,elhigh-radfar-az090,elhigh-radfar-az135,elhigh-radfar-az180,elhigh-radfar-az225,elhigh-radfar-az270,elhigh-radfar-az315
ellow-radnear-az000,0.829669,0.969675,0.924276,0.949590,0.962130,0.928000,0.947351,0.869471,0.934471,0.890739,0.888714,0.905853,0.939713,0.865581,0.802805,0.929689,0.927215,0.778794,0.906129,0.879123,0.889609,0.905834,0.684403,0.951804,0.943957,0.925736,0.928406,0.942764,0.952066,0.889466,0.930108,0.968575,0.920931,0.952785,0.884102,0.943664,0.940748,0.931979,0.917953,0.946629,0.945150,0.908299,0.853665,0.864331,0.723331,0.927860,0.944323,0.938164,0.950075,0.918853,0.891651,0.937380,0.928100,0.869235,0.971071,0.935681,0.931264,0.902502,0.922704,0.881711,0.889135,0.939847,0.880767,0.957839,0.944669,0.940812,0.921090,0.953177,0.943677,0.946438,0.953498,0.929808
ellow-radnear-az045,0.969675,0.897122,0.947486,0.964634,0.916427,,0.918366,0.875225,0.857232,0.813768,0.933907,0.925929,0.917363,0.957370,0.940784,0.959191,0.912372,0.858863,0.961412,0.603113,0.920780,0.930606,0.963475,0.931858,0.943915,0.945782,0.900729,0.944483,0.941621,0.971017,0.927976,0.938128,0.921431,0.882668,0.888575,0.933350,0.910997,0.923919,0.898227,0.914304,0.834639,0.930631,0.903743,0.897938,0.933873,0.923952,0.952971,0.964015,0.960514,0.896550,0.922517,0.897756,0.919964,0.949083,0.812096,0.960262,0.936427,0.951604,0.917849,0.912119,0.865010,0.928365,0.922973,0.953211,0.931388,0.927286,0.968709,0.960767,0.891338,0.885759,0.956952,0.950329
ellow-radnear-az090,0.924276,0.947486,0.909445,0.916065,0.953083,0.966926,0.948053,0.924542,0.935777,0.937507,0.926503,0.917273,0.948741,0.925816,0.944713,0.964110,0.949591,0.936331,0.897993,0.877882,0.940580,0.952679,0.908995,0.968051,0.969250,0.960985,0.944515,0.962104,0.933090,0.969568,0.939521,0.961040,0.943283,0.935752,0.869605,0.887293,0.954697,0.955115,0.936834,0.933855,0.956845,0.899806,0.879175,0.927096,0.918149,0.948112,0.903292,0.961374,0.943933,0.968707,0.865358,0.920442,0.917733,0.915416,0.970365,0.919704,0.928552,0.928906,0.937219,0.942806,0.928381,0.931868,0.945642,0.917609,0.950815,0.949773,0.935238,0.891737,0.936560,0.967836,0.921277,0.966444
ellow-radnear-az135,0.949590,0.964634,0.916065,0.925143,0.967099,0.960971,0.926408,0.893075,0.960285,0.966813,0.929180,0.922682,0.963245,,0.932106,0.962368,0.943275,0.954508,0.936664,0.937435,0.954040,0.945773,0.970136,0.920565,0.967543,0.953672,0.961176,0.928869,0.941298,0.970200,0.919246,0.970089,0.923148,0.946254,0.936217,0.919720,0.932624,0.970019,0.957183,0.956824,0.956240,0.928922,0.960251,0.962463,0.956639,0.907981,0.917054,0.954855,0.965416,0.934405,0.870642,0.924830,0.923774,0.953254,0.965962,0.912294,0.962097,0.910889,0.926156,0.973750,0.937574,0.929975,0.938886,0.901517,0.956597,0.960544,0.923852,0.942815,0.948396,0.955753,0.918234,0.961720
ellow-radnear-az180,0.962130,0.916427,0.953083,0.967099,0.873443,0.962097,0.970961,0.914590,0.937648,0.900703,0.940568,0.950934,0.921423,0.941538,0.937011,0.936645,0.947432,0.951688,0.927579,0.861457,0.957710,0.941786,0.929953,0.967764,0.935278,0.960448,0.926107,0.940613,0.942205,0.956540,0.940413,0.922252,0.941857,0.926213,0.959291,0.923769,0.915348,0.954016,0.934839,0.933429,0.941992,0.926700,0.925296,0.943834,0.943968,0.933167,0.963156,0.930440,0.946241,0.948033,0.944592,0.923939,0.958725,0.954212,0.937028,0.954791,0.928659,0.944999,0.938762,0.924063,0.924058,0.941100,0.929482,0.951988,0.942966,0.954354,0.932466,0.959023,0.927115,0.931074,0.934874,0.951123
ellow-radnear-az225,0.928000,,0.966926,0.960971,0.962097,0.942270,0.945953,0.948513,0.950454,0.935500,0.931417,0.943945,0.939248,0.947835,0.956160,0.948356,0.926208,0.955274,0.961007,0.915837,0.954248,0.901398,0.953832,0.943689,0.948344,0.958735,0.924843,0.940614,0.934013,0.945162,0.960839,0.948320,0.942855,0.964954,0.967143,0.956064,0.934730,0.939214,0.945579,0.920120,0.965625,0.880450,,0.939627,0.978665,0.928058,0.904484,0.973557,0.940601,0.945015,0.935168,0.928666,0.961744,0.946505,0.956568,0.956814,0.947145,0.938354,0.945067,0.919466,0.941826,0.963932,0.898958,0.955792,0.934734,0.919456,0.962532,0.927881,0.936813,0.936442,0.961511,0.960620
ellow-radnear-az270,0.947351,0.918366,0.948053,0.926408,0.970961,0.945953,0.890660,0.969097,0.962703,0.914731,0.941665,0.928780,0.936119,0.923031,0.959817,0.972119,0.907574,0.969928,0.967784,0.875720,0.927920,0.925153,0.798990,0.967263,0.968345,0.959339,0.885231,0.958380,0.886477,0.976072,0.938133,0.942496,0.926564,0.945811,0.859509,0.898473,0.931938,0.974122,0.927637,0.943697,0.957992,0.892111,0.920696,0.944152,0.929488,0.907799,0.921668,0.949965,0.959081,,0.902541,0.945714,0.961155,0.953174,0.916984,0.920684,0.968969,0.910738,0.962877,0.902214,0.974098,0.930100,0.900299,0.968010,0.918579,0.946287,0.909924,0.964460,0.900272,0.902133,0.925320,0.952812
ellow-radnear-az315,0.869471,0.875225,0.924542,0.893075,0.914590,0.948513,0.969097,0.859648,0.936408,0.918516,0.787287,0.959181,0.946015,0.917467,0.911946,0.933275,0.893197,0.938280,0.876567,0.883349,0.875964,0.962947,0.960582,0.892104,0.896716,0.965187,0.918822,0.939201,0.933427,0.923093,0.968687,0.960700,0.908256,0.929231,0.880771,0.823892,0.894144,0.954897,0.961849,0.888389,0.967519,0.814581,0.912467,0.894507,0.936535,0.923248,0.877791,0.949965,0.941103,0.948302,0.895709,0.880966,0.920365,0.927115,0.929887,0.902689,0.928803,0.946697,0.957132,0.940244,0.962524,0.903481,0.821912,0.897118,0.905904,0.946437,0.941209,0.941962,0.909764,0.961064,0.945888,0.955471
ellow-radmid-az000,0.934471,0.857232,0.935777,0.960285,0.937648,0.950454,0.962703,0.936408,0.836900,0.901772,0.946933,0.907191,,0.886634,0.946922,0.963611,0.818385,0.812489,0.964178,0.870482,0.937411,0.838165,0.764091,0.867130,0.966473,0.970006,0.908927,0.953522,0.920754,0.910879,0.915702,0.926971,0.907514,0.847714,0.919565,0.950117,0.939031,0.886518,0.920061,0.947914,0.935608,0.830056,0.944287,0.848363,0.870724,0.904362,0.889524,0.875206,0.891127,0.936450,0.944239,0.822707,0.935295,0.889626,0.810604,0.955171,0.909554,0.933476,0.823260,0.863214,0.829095,0.878354,0.883767,0.847525,0.936880,0.905904,0.905106,0.927694,0.871115,0.892003,0.884174,0.943173
ellow-radmid-az045,0.890739,0.813768,0.937507,0.966813,0.900703,0.935500,0.914731,0.918516,0.901772,0.836402,0.918571,0.918237,0.959602,0.807029,0.916237,0.870059,0.876286,0.710629,0.776260,0.771060,0.910900,0.857783,0.798573,0.963228,0.930003,0.861161,0.904077,0.914971,0.875587,0.886199,0.904514,0.924270,0.885710,0.920888,0.891197,0.867826,0.913916,0.914355,0.885442,0.938621,0.914215,0.927929,0.825621,0.873787,0.883614,0.945308,0.951269,0.868458,0.958739,0.947482,0.904183,0.933970,0.953258,0.905113,0.898917,0.857472,0.872707,0.889249,0.878672,0.896900,0.893018,0.947828,0.878221,0.955298,0.940911,0.904420,0.859140,0.952232,0.917137,0.804231,0.921510,0.932008
