viewpoint_1,viewpoint_2,combination_label,scene_count,mean_best_pair_strict_quality,best_individual_mean_strict_quality_on_matched_scenes,pair_synergy_strict,mean_best_pair_AP50_95,elevation_pattern,radius_pattern,azimuth_pattern,unique_elevation_count,unique_radius_count,unique_azimuth_count,max_pairwise_azimuth_gap,mean_pairwise_azimuth_gap,radius_relationship,elevation_relationship,azimuth_relationship,diversity_type,diversity_factor_count
ellow-radmid-az270,elmid-radmid-az225,ellow-radmid-az270 + elmid-radmid-az225,3,0.9385026618487657,0.6371466903761901,0.30135597147257565,0.9874999999999999,low + mid,mid,225 + 270,2,1,2,45,45.0,same_radius,adjacent_elevation,adjacent_45,elevation+azimuth,2
ellow-radmid-az270,elmid-radnear-az225,ellow-radmid-az270 + elmid-radnear-az225,4,0.9408835705999161,0.7122528268320991,0.228630743767817,0.9074337160705843,low + mid,near + mid,225 + 270,2,2,2,45,45.0,adjacent_radius,adjacent_elevation,adjacent_45,distance+elevation+azimuth,3
ellow-radmid-az000,ellow-radmid-az225,ellow-radmid-az000 + ellow-radmid-az225,5,0.8866343164026184,0.7127944951941799,0.17383982120843844,0.7950137289336082,low,mid,000 + 225,1,1,2,135,135.0,same_radius,same_elevation,diagonal_135,azimuth_only,1
ellow-radnear-az000,ellow-radmid-az180,ellow-radnear-az000 + ellow-radmid-az180,6,0.939712902456467,0.7849256839774194,0.15478721847904764,0.9466145840783914,low,near + mid,000 + 180,1,2,2,180,180.0,adjacent_radius,same_elevation,opposite_180,distance+azimuth,2
ellow-radfar-az225,ellow-radfar-az315,ellow-radfar-az225 + ellow-radfar-az315,6,0.7700490703887084,0.6253725380942837,0.14467653229442468,0.762452654574405,low,far,225 + 315,1,1,2,90,90.0,same_radius,same_elevation,quarter_turn_90,azimuth_only,1
ellow-radmid-az045,ellow-radfar-az180,ellow-radmid-az045 + ellow-radfar-az180,6,0.9109004019505568,0.7704515608885126,0.14044884106204414,0.8541666667287547,low,mid + far,045 + 180,1,2,2,135,135.0,adjacent_radius,same_elevation,diagonal_135,distance+azimuth,2
ellow-radnear-az270,elhigh-radfar-az000,ellow-radnear-az270 + elhigh-radfar-az000,7,0.9185792938596161,0.7860332046217552,0.13254608923786093,0.9113095247035935,low + high,near + far,000 + 270,2,2,2,90,90.0,near_far,low_high,quarter_turn_90,distance+elevation+azimuth,3
ellow-radmid-az225,ellow-radfar-az000,ellow-radmid-az225 + ellow-radfar-az000,8,0.8860104326506266,0.7651307678100587,0.12087966484056789,0.8050887130113785,low,mid + far,000 + 225,1,2,2,135,135.0,adjacent_radius,same_elevation,diagonal_135,distance+azimuth,2
ellow-radnear-az000,elhigh-radmid-az135,ellow-radnear-az000 + elhigh-radmid-az135,5,0.8817108915930966,0.7625239012685867,0.11918699032450986,0.9405555558370219,low + high,near + mid,000 + 135,2,2,2,135,135.0,adjacent_radius,low_high,diagonal_135,distance+elevation+azimuth,3
ellow-radmid-az090,ellow-radfar-az135,ellow-radmid-az090 + ellow-radfar-az135,5,0.8301622314487197,0.7127798908262193,0.11738234062250041,0.7543555567827489,low,mid + far,090 + 135,1,2,2,45,45.0,adjacent_radius,same_elevation,adjacent_45,distance+azimuth,2
ellow-radmid-az090,ellow-radfar-az000,ellow-radmid-az090 + ellow-radfar-az000,7,0.8856953427842156,0.7811262905729721,0.10456905221124346,0.9016269854994283,low,mid + far,000 + 090,1,2,2,90,90.0,adjacent_radius,same_elevation,quarter_turn_90,distance+azimuth,2
ellow-radfar-az315,elmid-radnear-az180,ellow-radfar-az315 + elmid-radnear-az180,5,0.9511924206964146,0.8472913936136542,0.10390102708276039,0.975238095692226,low + mid,near + far,180 + 315,2,2,2,135,135.0,near_far,adjacent_elevation,diagonal_135,distance+elevation+azimuth,3
ellow-radnear-az000,elhigh-radmid-az090,ellow-radnear-az000 + elhigh-radmid-az090,3,0.9227042720121984,0.8197011069107241,0.10300316510147434,0.9722222223877907,low + high,near + mid,000 + 090,2,2,2,90,90.0,adjacent_radius,low_high,quarter_turn_90,distance+elevation+azimuth,3
ellow-radfar-az315,elhigh-radmid-az090,ellow-radfar-az315 + elhigh-radmid-az090,5,0.7590677389889088,0.6718035919154574,0.08726414707345143,0.7664583335071802,low + high,mid + far,090 + 315,2,2,2,135,135.0,adjacent_radius,low_high,diagonal_135,distance+elevation+azimuth,3
ellow-radnear-az000,ellow-radfar-az135,ellow-radnear-az000 + ellow-radfar-az135,6,0.8791229603961993,0.7951691174862532,0.08395384290994612,0.9079950145273297,low,near + far,000 + 135,1,2,2,135,135.0,near_far,same_elevation,diagonal_135,distance+azimuth,2
ellow-radmid-az180,elmid-radfar-az090,ellow-radmid-az180 + elmid-radfar-az090,3,0.844869665247888,0.7625781742823428,0.08229149096554522,0.9,low + mid,mid + far,090 + 180,2,2,2,90,90.0,adjacent_radius,adjacent_elevation,quarter_turn_90,distance+elevation+azimuth,3
ellow-radfar-az225,elhigh-radfar-az045,ellow-radfar-az225 + elhigh-radfar-az045,4,0.7649622029535994,0.6890077892115425,0.07595441374205691,0.683645837455988,low + high,far,045 + 225,2,1,2,180,180.0,same_radius,low_high,opposite_180,elevation+azimuth,2
ellow-radmid-az000,elhigh-radmid-az090,ellow-radmid-az000 + elhigh-radmid-az090,8,0.8232599156911209,0.7523416562551604,0.07091825943596053,0.8525462973276499,low + high,mid,000 + 090,2,1,2,90,90.0,same_radius,low_high,quarter_turn_90,elevation+azimuth,2
ellow-radfar-az135,elhigh-radfar-az000,ellow-radfar-az135 + elhigh-radfar-az000,8,0.8814904019390672,0.8109826827467878,0.0705077191922795,0.9114304315997288,low + high,far,000 + 135,2,1,2,135,135.0,same_radius,low_high,diagonal_135,elevation+azimuth,2
ellow-radmid-az180,elhigh-radfar-az000,ellow-radmid-az180 + elhigh-radfar-az000,4,0.9064689663693635,0.8367459351536795,0.06972303121568402,0.9153409118002112,low + high,mid + far,000 + 180,2,2,2,180,180.0,adjacent_radius,low_high,opposite_180,distance+elevation+azimuth,3
