viewpoint,ellow-radnear-az000,ellow-radnear-az045,ellow-radnear-az090,ellow-radnear-az135,ellow-radnear-az180,ellow-radnear-az225,ellow-radnear-az270,ellow-radnear-az315,ellow-radmid-az000,ellow-radmid-az045,ellow-radmid-az090,ellow-radmid-az135,ellow-radmid-az180,ellow-radmid-az225,ellow-radmid-az270,ellow-radmid-az315,ellow-radfar-az000,ellow-radfar-az045,ellow-radfar-az090,ellow-radfar-az135,ellow-radfar-az180,ellow-radfar-az225,ellow-radfar-az270,ellow-radfar-az315,elmid-radnear-az000,elmid-radnear-az045,elmid-radnear-az090,elmid-radnear-az135,elmid-radnear-az180,elmid-radnear-az225,elmid-radnear-az270,elmid-radnear-az315,elmid-radmid-az000,elmid-radmid-az045,elmid-radmid-az090,elmid-radmid-az135,elmid-radmid-az180,elmid-radmid-az225,elmid-radmid-az270,elmid-radmid-az315,elmid-radfar-az000,elmid-radfar-az045,elmid-radfar-az090,elmid-radfar-az135,elmid-radfar-az180,elmid-radfar-az225,elmid-radfar-az270,elmid-radfar-az315,elhigh-radnear-az000,elhigh-radnear-az045,elhigh-radnear-az090,elhigh-radnear-az135,elhigh-radnear-az180,elhigh-radnear-az225,elhigh-radnear-az270,elhigh-radnear-az315,elhigh-radmid-az000,elhigh-radmid-az045,elhigh-radmid-az090,elhigh-radmid-az135,elhigh-radmid-az180,elhigh-radmid-az225,elhigh-radmid-az270,elhigh-radmid-az315,elhigh-radfar-az000,elhigh-radfar-az045,elhigh-radfar-az090,elhigh-radfar-az135,elhigh-radfar-az180,elhigh-radfar-az225,elhigh-radfar-az270,elhigh-radfar-az315
ellow-radnear-az000,0.000000,0.006395,0.014798,0.013887,0.001043,0.004562,0.010621,0.013553,0.032112,0.056426,0.018588,0.008003,0.154787,0.029362,0.005603,0.030045,0.000000,0.008776,0.036393,0.083954,0.000000,0.000000,0.043567,0.001469,0.019482,0.008772,0.043339,0.000000,0.001581,0.063659,0.008144,0.000417,0.022504,0.003368,0.002190,0.008037,0.019606,0.036905,0.000679,0.006757,0.007968,0.034633,0.067683,0.006057,0.000000,0.000000,0.016453,0.000000,0.001025,0.001634,0.000000,0.010800,0.010988,0.002021,0.000000,0.005311,0.046642,0.041741,0.103003,0.119187,0.023418,0.010869,0.024431,0.000000,0.032648,0.006421,0.068255,0.026192,0.000000,0.000822,0.000000,0.012988
ellow-radnear-az045,0.006395,0.000000,0.007595,0.003887,0.032358,,0.009818,0.002710,0.015942,0.001506,0.001141,0.003803,0.025266,0.004483,0.005324,0.002694,0.000000,0.000000,0.005399,0.000000,0.000000,0.000000,0.000000,0.000966,0.000000,0.006829,0.003495,0.010972,0.004349,0.001802,0.001265,0.000000,0.009077,0.002635,0.007233,0.006835,0.019904,0.013792,0.017625,0.001241,0.000000,0.000000,0.002320,0.000000,0.006461,0.000642,0.002084,0.006288,0.000000,0.000471,0.000000,0.034665,0.002605,0.001348,0.000000,0.002887,0.001452,0.007316,0.000409,0.000654,0.014282,0.006692,0.000000,0.001869,0.005300,0.028995,0.000000,0.000000,0.006185,0.009306,0.000000,0.000653
ellow-radnear-az090,0.014798,0.007595,0.000000,0.014258,0.006965,0.005511,0.008539,0.033014,0.057336,0.012965,0.000000,0.045520,0.000000,0.010859,0.004587,0.003916,0.057621,0.000000,0.000000,0.006047,0.000000,0.000707,0.005209,0.000000,0.003047,0.007721,0.002269,0.007904,0.009073,0.008395,0.017899,0.003256,0.013903,0.000674,0.000000,0.000000,0.001414,0.001806,0.029489,0.001613,0.000000,0.000000,0.000000,0.013058,0.004430,0.003651,0.000000,0.000000,0.001111,0.000000,0.000000,0.008068,0.007874,0.006581,0.025836,0.055622,0.000000,0.000771,0.013168,0.003876,0.006280,0.009078,0.000000,0.045390,0.000000,0.001277,0.061494,0.020007,0.041900,0.026880,0.046836,0.000256
ellow-radnear-az135,0.013887,0.003887,0.014258,0.000000,0.001899,0.001823,0.010927,0.009326,0.009017,0.003427,0.000000,0.000818,0.000466,,0.013062,0.006746,0.039842,0.000596,0.000000,0.002839,0.005292,0.001385,0.000000,0.000000,0.000000,0.017425,0.002053,0.039421,0.004676,0.001923,0.005749,0.002318,0.029782,0.000000,0.013029,0.000000,0.002616,0.000000,0.000287,0.004637,0.000000,0.000000,0.002838,0.007754,0.000000,0.000000,0.004099,0.000000,0.000000,0.006359,0.000000,0.006268,0.009096,0.005341,0.008105,0.000000,0.017981,0.000000,0.006076,0.000000,0.000000,0.007212,0.002721,0.003026,0.000000,0.003646,0.000000,0.000000,0.010922,0.000000,0.000769,0.006034
ellow-radnear-az180,0.001043,0.032358,0.006965,0.001899,0.000000,0.007269,0.012756,0.049150,0.000813,0.052765,0.007738,0.003562,0.000000,0.003508,0.005120,0.009207,0.010312,0.000000,0.000000,0.000000,0.000000,0.005552,0.020977,0.004034,0.000550,0.000000,0.032795,0.006807,0.008602,0.024779,0.011893,0.000565,0.025720,0.000188,0.005146,0.005957,0.012584,0.000000,0.003408,0.043355,0.000652,0.015178,0.005592,0.000000,0.028127,0.000492,0.000000,0.003643,0.001261,0.009066,0.019989,0.012463,0.000512,0.012328,0.000000,0.000000,0.024705,0.000651,0.001851,0.032137,0.035286,0.021015,0.001262,0.009138,0.050910,0.002602,0.011989,0.023065,0.026091,0.000000,0.000000,0.008819
ellow-radnear-az225,0.004562,,0.005511,0.001823,0.007269,0.000000,0.000000,0.004673,0.000000,0.007104,0.004836,0.002988,0.000000,0.000000,0.000397,0.001579,0.002945,0.000000,0.000000,0.000000,0.001863,0.000000,0.000000,0.000000,0.004557,0.000000,0.007098,0.007334,0.009994,0.000721,0.000000,0.004286,0.001803,0.005037,0.003919,0.011365,0.000000,0.002911,0.002916,0.000000,0.000503,0.000000,,0.001884,0.000000,0.000000,0.000000,0.000000,0.001265,0.010172,0.001188,0.002876,0.003345,0.000000,0.002871,0.000000,0.001138,0.000076,0.000614,0.001424,0.000000,0.003682,0.000000,0.000979,0.000000,0.001428,0.000000,0.000000,0.000000,0.001325,0.001561,0.000000
ellow-radnear-az270,0.010621,0.009818,0.008539,0.010927,0.012756,0.000000,0.000000,0.009269,0.001632,0.001617,0.010707,0.006485,0.000000,0.000000,0.006375,0.005433,0.009548,0.009534,0.000000,0.000000,0.000000,0.012704,0.000000,0.000000,0.000000,0.009603,0.007383,0.001430,0.000949,0.000000,0.008550,0.028209,0.032280,0.005628,0.013241,0.049214,0.000000,0.000000,0.037118,0.024843,0.000000,0.000000,0.000000,0.007254,0.011461,0.015486,0.003900,0.000000,0.012466,,0.004721,0.043211,0.009172,0.014894,0.000000,0.028278,0.000000,0.034238,0.000000,0.000000,0.000000,0.035064,0.000000,0.006448,0.132546,0.011832,0.003211,0.007161,0.034757,0.048827,0.031275,0.015562
ellow-radnear-az315,0.013553,0.002710,0.033014,0.009326,0.049150,0.004673,0.009269,0.000000,0.017820,0.008338,0.018213,0.006003,0.027304,0.003192,0.057779,0.000000,0.001001,0.028752,0.009058,0.048897,0.023148,0.000000,0.000000,0.000000,0.004688,0.018448,0.014084,0.020323,0.006775,0.018369,0.004702,0.000000,0.028469,0.020557,0.000000,0.012298,0.016154,0.001066,0.006179,0.000000,0.000000,0.000000,0.001544,0.014091,0.009224,0.002233,0.009079,0.000000,0.015162,0.000000,0.017352,0.019886,0.006627,0.008543,0.026254,0.004110,0.004254,0.006548,0.000675,0.000137,0.000000,0.049558,0.000000,0.003159,0.016932,0.015337,0.027446,0.000000,0.007066,0.009478,0.022799,0.017354
ellow-radmid-az000,0.032112,0.015942,0.057336,0.009017,0.000813,0.000000,0.001632,0.017820,0.000000,0.007303,0.004581,0.000241,,0.173840,0.003280,0.000900,0.002786,0.000000,0.020400,0.000172,0.013266,0.000000,0.000000,0.009253,0.004405,0.000000,0.022216,0.000000,0.022363,0.005883,0.002760,0.000954,0.001023,0.015320,0.008627,0.000000,0.000000,0.024421,0.006078,0.005325,0.010681,0.044159,0.012555,0.005995,0.001475,0.003436,0.008751,0.000149,0.002405,0.008518,0.002792,0.043455,0.024918,0.004430,0.005532,0.000000,0.010854,0.003394,0.070918,0.000000,0.000794,0.006462,0.002257,0.011919,0.000000,0.021897,0.001073,0.000000,0.000000,0.004256,0.014953,0.009064
ellow-radmid-az045,0.056426,0.001506,0.012965,0.003427,0.052765,0.007104,0.001617,0.008338,0.007303,0.000000,0.059282,0.003318,0.003597,0.004353,0.034681,0.000000,0.041460,0.007624,0.000000,0.014213,0.140449,0.000000,0.000000,0.003544,0.004854,0.004614,0.012065,0.010068,0.004687,0.019940,0.026811,0.005386,0.007435,0.029401,0.000000,0.008497,0.002572,0.005843,0.008818,0.053685,0.021837,0.003070,0.039011,0.046603,0.000198,0.021305,0.000000,0.003806,0.001532,0.003423,0.000443,0.006053,0.000000,0.003259,0.000000,0.011898,0.022662,0.031638,0.000000,0.001114,0.022901,0.019487,0.000000,0.002976,0.014804,0.058992,0.042399,0.024975,0.003303,0.017145,0.000000,0.009395
