target_class,viewpoint,elevation,radius,azimuth,sample_count,scene_count,class_count,micro_precision,micro_recall,micro_f1,target_micro_precision,target_micro_recall,target_micro_f1,mean_precision,mean_recall,mean_f1,mean_ap50,mean_ap50_95,mean_target_precision,mean_target_recall,mean_target_f1,mean_target_ap50,mean_target_ap50_95,mean_strict_quality,mean_match_confidence_iou50,target_visible_rate,target_found_rate,target_absent_view_count,false_alarm_count_when_target_absent,false_alarm_rate_when_target_absent,class_rank_by_target_ap50_95
barrel,ellow-radnear-az000,low,near,0,6,6,1,0.4383561643835616,0.9696969696969697,0.6037735849056604,0.6875,1.0,0.8148148148148148,0.5006419234360411,0.9722222222222222,0.6290341237709659,0.9809027755012115,0.8347054347998437,0.6666666666666666,0.8333333333333334,0.7166666666666667,0.8333333333333334,0.767129629864185,0.7134187237721612,0.753481904665629,0.8333333333333334,0.8333333333333334,1,0,0.0,28
barrel,ellow-radnear-az045,low,near,45,4,4,1,0.18556701030927836,0.72,0.29508196721311475,0.8333333333333334,1.0,0.9090909090909091,0.4630844645550528,0.8653846153846154,0.554700080515298,0.8685762776873414,0.7749136118340764,0.6875,0.75,0.7142857142857143,0.75,0.6250000014901161,0.620689558272228,0.6744024604558945,0.75,0.75,1,0,0.0,56
barrel,ellow-radnear-az090,low,near,90,5,5,1,0.19135802469135801,0.62,0.29245283018867924,0.6470588235294118,0.9166666666666666,0.7586206896551724,0.30279660569693634,0.7135,0.40724049495927117,0.7304589343431801,0.5489858589348446,0.8057142857142857,0.95,0.859090909090909,0.9607142858207226,0.877309524739782,0.869993494162135,0.9123515367507935,1.0,1.0,0,0,0.0,7
barrel,ellow-radnear-az135,low,near,135,2,2,1,0.25210084033613445,0.7317073170731707,0.375,0.8333333333333334,1.0,0.9090909090909091,0.2522598870056497,0.7309523809523809,0.375,0.7408278430025927,0.4488178179829996,0.9,1.0,0.9444444444444444,1.0,0.8181250002235174,0.8051187567197893,0.896449625492096,1.0,1.0,0,0,0.0,16
barrel,ellow-radnear-az180,low,near,180,3,3,1,0.27071823204419887,0.7538461538461538,0.3983739837398374,0.5,0.8333333333333334,0.625,0.26819084441288255,0.7423648247177659,0.3894392844857241,0.7375184643737845,0.470730141891005,0.7619047619047619,0.8888888888888888,0.7999999999999999,0.9047619111481167,0.8158730217388698,0.8426036941235123,0.8892016013463339,1.0,1.0,0,0,0.0,17
barrel,ellow-radnear-az225,low,near,225,5,5,1,0.1813186813186813,0.6875,0.28695652173913044,0.5714285714285714,1.0,0.7272727272727273,0.19046602380789715,0.6829088851160158,0.29503636926975063,0.6655728614766321,0.47295201315104674,0.6333333333333333,1.0,0.76,1.0,0.8735416667163373,0.8664314056311433,0.9253262996673584,1.0,1.0,0,0,0.0,8
barrel,ellow-radnear-az270,low,near,270,3,3,1,0.24347826086956523,0.6829268292682927,0.358974358974359,0.7142857142857143,1.0,0.8333333333333334,0.3264163372859025,0.8645833333333334,0.4672299027137736,0.8336715663317591,0.6608496006897467,0.8666666666666667,1.0,0.9166666666666666,1.0,0.904444445338514,0.8259906860092604,0.8696696559588114,1.0,1.0,0,0,0.0,4
barrel,ellow-radnear-az315,low,near,315,2,2,1,0.37037037037037035,1.0,0.5405405405405406,0.75,1.0,0.8571428571428571,0.3708791208791209,1.0,0.5409356725146199,1.0,0.7678296786837362,0.75,1.0,0.8571428571428571,1.0,0.8416666678463419,0.8203984512296785,0.9024834036827087,1.0,1.0,0,0,0.0,14
barrel,ellow-radmid-az000,low,mid,0,3,3,1,0.3717948717948718,0.9666666666666667,0.5370370370370371,0.6,1.0,0.75,0.5046296296296297,0.9841269841269842,0.6575646575646575,0.9769291288355655,0.7688693424374206,0.4444444444444444,0.6666666666666666,0.5,0.6666666666666666,0.5,0.4914830395556784,0.5787349144617716,0.6666666666666666,0.6666666666666666,1,0,0.0,66
barrel,ellow-radmid-az045,low,mid,45,6,6,1,0.24054982817869416,0.813953488372093,0.3713527851458886,0.4642857142857143,1.0,0.6341463414634146,0.32456385941797844,0.8538943355119826,0.45854912935875064,0.8384405570903773,0.6067808136651777,0.47685185185185186,0.8333333333333334,0.5803418803418804,0.8333333333333334,0.6118634261190892,0.656205737863481,0.7283123731613159,0.8333333333333334,0.8333333333333334,1,0,0.0,59
barrel,ellow-radmid-az090,low,mid,90,3,3,1,0.1386861313868613,0.6333333333333333,0.2275449101796407,0.5714285714285714,1.0,0.7272727272727273,0.1771151461306384,0.7962962962962963,0.26520467836257305,0.7743672593834633,0.6792419203651754,0.5,0.6666666666666666,0.5555555555555555,0.6666666666666666,0.5370370380028531,0.5299663080234952,0.5835317770640055,0.6666666666666666,0.6666666666666666,1,0,0.0,65
barrel,ellow-radmid-az135,low,mid,135,3,3,1,0.175,0.6176470588235294,0.2727272727272727,1.0,1.0,1.0,0.16874236874236873,0.7122153209109731,0.26923614020388215,0.7270000593797975,0.57849875852868,1.0,1.0,1.0,1.0,0.7791666666666667,0.736747191399696,0.8622940381368002,1.0,1.0,0,0,0.0,25
barrel,ellow-radmid-az180,low,mid,180,2,2,1,0.12871287128712872,0.48148148148148145,0.203125,1.0,1.0,1.0,0.11933876811594203,0.5272727272727272,0.19097119097119097,0.5348196791656739,0.3877893695649427,0.5,0.5,0.5,0.5,0.3,0.33405611527240353,0.4305947422981262,0.5,0.5,1,0,0.0,70
barrel,ellow-radmid-az225,low,mid,225,2,2,1,0.2777777777777778,0.8333333333333334,0.4166666666666667,0.6666666666666666,1.0,0.8,0.2812061711079944,0.8375,0.42092840283241545,0.8471015988795028,0.637533378197152,0.6666666666666666,1.0,0.8,1.0,0.7375000003725289,0.7593930966230111,0.8610800504684448,1.0,1.0,0,0,0.0,36
barrel,ellow-radmid-az270,low,mid,270,2,2,1,0.1414141414141414,0.6666666666666666,0.23333333333333334,0.42857142857142855,1.0,0.6,0.3449438202247191,0.7666666666666666,0.45192307692307687,0.7240583246336815,0.572170713929019,0.4666666666666667,1.0,0.625,1.0,0.7515740787706993,0.787558946197084,0.8949131965637207,1.0,1.0,0,0,0.0,33
barrel,ellow-radmid-az315,low,mid,315,1,1,1,0.26666666666666666,0.8,0.4,1.0,1.0,1.0,0.26666666666666666,0.8,0.4,0.8266666783889134,0.7380000114887952,1.0,1.0,1.0,1.0,0.855555557873514,0.7567085428545504,0.867435872554779,1.0,1.0,0,0,0.0,11
barrel,ellow-radfar-az000,low,far,0,7,7,1,0.2835249042145594,0.7115384615384616,0.4054794520547945,0.52,0.9285714285714286,0.6666666666666666,0.3779545537914724,0.8344049878015722,0.4993606882843548,0.8335509051179724,0.6299396085726828,0.5654761904761905,0.7857142857142857,0.6051329622758194,0.8214285714285714,0.6169642864327346,0.6387903790365428,0.7308875322341919,0.8571428571428571,0.8571428571428571,1,0,0.0,57
barrel,ellow-radfar-az045,low,far,45,3,3,1,0.2,0.8181818181818182,0.32142857142857145,0.8,1.0,0.8888888888888888,0.1749194847020934,0.791919191919192,0.28164426472066,0.7395370885087544,0.4918715028614343,0.8333333333333334,1.0,0.8888888888888888,1.0,0.6958333333333333,0.7021424162629787,0.8293928305308024,1.0,1.0,0,0,0.0,44
barrel,ellow-radfar-az135,low,far,135,7,7,1,0.2492753623188406,0.7678571428571429,0.37636761487964987,0.6086956521739131,1.0,0.7567567567567568,0.25842328897254685,0.8222979573911251,0.39116734726490826,0.8282780302100147,0.575346594735006,0.6761904761904762,0.8571428571428571,0.7244897959183673,0.8571428571428571,0.5893353184892073,0.6024876655331138,0.7119137559618268,0.8571428571428571,0.8571428571428571,1,0,0.0,63
