viewpoint,elevation,radius,azimuth,sample_count,scene_count,class_count,micro_precision,micro_recall,micro_f1,target_micro_precision,target_micro_recall,target_micro_f1,mean_precision,mean_recall,mean_f1,mean_ap50,mean_ap50_95,mean_target_precision,mean_target_recall,mean_target_f1,mean_target_ap50,mean_target_ap50_95,mean_strict_quality,mean_match_confidence_iou50,target_visible_rate,target_found_rate,target_absent_view_count,false_alarm_count_when_target_absent,false_alarm_rate_when_target_absent,manifest_train_images,manifest_val_images,manifest_test_images,global_rank_by_target_ap50_95,global_rank_by_strict_quality
ellow-radnear-az000,low,near,0,35,35,10,0.25889328063241107,0.7683284457478006,0.38728750923872873,0.3719806763285024,0.927710843373494,0.5310344827586206,0.4822271339504005,0.8941293072002932,0.5902712142033766,0.8811506779848333,0.7304192785070767,0.6150543024227234,0.8784126984126984,0.6842667491238921,0.8807712801877411,0.7719857478323442,0.8296687708935887,0.8720060127122061,0.9142857142857143,0.9142857142857143,3,1,0.3333333333333333,141,29,35,59,63
ellow-radnear-az045,low,near,45,32,32,10,0.16027088036117382,0.6677115987460815,0.25849514563106796,0.2737226277372263,0.9036144578313253,0.42016806722689076,0.3145499334226728,0.7947837387393308,0.41925821892234705,0.7903041416398704,0.6425400838957992,0.5316570682554338,0.9,0.6223092721640432,0.892459395150011,0.7916880877488965,0.8971224627147438,0.9269900098443031,0.96875,0.96875,1,0,0.0,146,27,32,56,22
ellow-radnear-az090,low,near,90,32,32,10,0.15613382899628253,0.6441717791411042,0.2513464991023339,0.24187725631768953,0.9436619718309859,0.3850574712643678,0.27995150917253725,0.7615152133727985,0.38190793478870666,0.7624148056161444,0.6014971565136136,0.5104788420744641,0.9609375,0.612903552945113,0.963682209053163,0.8485322125212844,0.9094453527842968,0.9551473651081324,1.0,1.0,0,0,0.0,148,25,32,49,10
ellow-radnear-az135,low,near,135,32,32,10,0.23238095238095238,0.7672955974842768,0.3567251461988304,0.33482142857142855,0.9493670886075949,0.49504950495049505,0.36449843327390935,0.84086945722565,0.48105227135933565,0.8266656210604741,0.6659304104364047,0.5987322831072831,0.9635416666666666,0.6788389698751541,0.9601704395910462,0.8764634217007157,0.9251432507259009,0.9596788734197617,1.0,1.0,0,0,0.0,148,25,32,37,7
ellow-radnear-az180,low,near,180,39,39,10,0.25037369207772797,0.7790697674418605,0.37895927601809953,0.32616487455197135,0.900990099009901,0.4789473684210526,0.33286185696842974,0.8385348801525273,0.4535303813621543,0.8240174862657116,0.6542260116700286,0.5594593852691018,0.8790376290376292,0.6290285213362136,0.8815236043694105,0.8000259317383128,0.8734431234640052,0.9035053956202972,0.9487179487179487,0.9487179487179487,2,0,0.0,135,31,39,55,46
ellow-radnear-az225,low,near,225,36,36,10,0.20426829268292682,0.7342465753424657,0.31961836612999406,0.28888888888888886,0.9069767441860465,0.43820224719101125,0.3950548903905584,0.8290054820569952,0.48111306842020085,0.8261929106954926,0.6861450097571984,0.6215994259478033,0.9370370370370371,0.6898239210658577,0.932504920608825,0.8585031392068458,0.9422698168641391,0.9678751445478864,1.0,1.0,0,0,0.0,139,30,36,46,1
ellow-radnear-az270,low,near,270,30,30,10,0.18993135011441648,0.7094017094017094,0.2996389891696751,0.26359832635983266,0.875,0.40514469453376206,0.37140991389467515,0.8083824161062013,0.47609601739584323,0.786336649892202,0.6250000309079156,0.49867379887871693,0.8694444444444444,0.5869915636479104,0.875950347392103,0.7783753879723747,0.8906602007951817,0.9181212941805522,0.9666666666666667,0.9666666666666667,1,1,1.0,150,25,30,57,28
ellow-radnear-az315,low,near,315,29,29,10,0.26211180124223604,0.8178294573643411,0.3969896519285042,0.38953488372093026,0.9710144927536232,0.5560165975103735,0.34520593964768936,0.8827182396147913,0.480869384058852,0.8749935964971048,0.7035918907735416,0.5688381204101286,0.9444444444444444,0.6643617453327073,0.9384381344927282,0.8081763111201424,0.8596479500500089,0.9213548343757103,0.9655172413793104,0.9655172413793104,1,0,0.0,140,36,29,54,52
ellow-radmid-az000,low,mid,0,31,31,10,0.24130105900151286,0.8055555555555556,0.3713620488940629,0.29931972789115646,0.9361702127659575,0.4536082474226804,0.319020846822111,0.8508370705884852,0.44628165194347186,0.8423272441496382,0.6463377110137901,0.47296136085630475,0.8819892473118279,0.5712583347497958,0.8817241470081778,0.7389956506975638,0.8368998104301066,0.8780882954597473,0.9354838709677419,0.9354838709677419,2,0,0.0,147,27,31,64,61
ellow-radmid-az045,low,mid,45,37,37,10,0.18530701754385964,0.7770114942528735,0.29924745462594066,0.34285714285714286,0.9411764705882353,0.5026178010471204,0.2936820080427311,0.8402319291193971,0.40696141251684226,0.8147956010631546,0.6099444483920938,0.49298080699009494,0.8828828828828829,0.5940236683657736,0.883470972343996,0.7552149865218167,0.8364017477807015,0.8832993990666157,0.9459459459459459,0.9459459459459459,2,0,0.0,143,25,37,61,62
