viewpoint_1,viewpoint_2,combination_label,scene_count,mean_best_pair_strict_quality,best_individual_mean_strict_quality_on_matched_scenes,pair_synergy_strict,mean_best_pair_AP50_95,elevation_pattern,radius_pattern,azimuth_pattern,unique_elevation_count,unique_radius_count,unique_azimuth_count,max_pairwise_azimuth_gap,mean_pairwise_azimuth_gap,radius_relationship,elevation_relationship,azimuth_relationship,diversity_type,diversity_factor_count
ellow-radnear-az270,elmid-radmid-az225,ellow-radnear-az270 + elmid-radmid-az225,3,0.9741215624092637,0.9741215624092637,0.0,1.0,low + mid,near + mid,225 + 270,2,2,2,45,45.0,adjacent_radius,adjacent_elevation,adjacent_45,distance+elevation+azimuth,3
ellow-radnear-az225,elmid-radfar-az315,ellow-radnear-az225 + elmid-radfar-az315,3,0.9735573281241857,0.9735573281241857,0.0,0.9589285710501292,low + mid,near + far,225 + 315,2,2,2,90,90.0,near_far,adjacent_elevation,quarter_turn_90,distance+elevation+azimuth,3
elmid-radnear-az045,elhigh-radfar-az180,elmid-radnear-az045 + elhigh-radfar-az180,4,0.9716811785622355,0.9716811785622355,0.0,1.0,mid + high,near + far,045 + 180,2,2,2,135,135.0,near_far,adjacent_elevation,diagonal_135,distance+elevation+azimuth,3
ellow-radnear-az135,ellow-radfar-az270,ellow-radnear-az135 + ellow-radfar-az270,3,0.9701355882948649,0.9701355882948649,0.0,0.9247747781924209,low,near + far,135 + 270,1,2,2,135,135.0,near_far,same_elevation,diagonal_135,distance+azimuth,2
ellow-radmid-az000,elmid-radnear-az045,ellow-radmid-az000 + elmid-radnear-az045,4,0.9700059924028537,0.9700059924028537,0.0,1.0,low + mid,near + mid,000 + 045,2,2,2,45,45.0,adjacent_radius,adjacent_elevation,adjacent_45,distance+elevation+azimuth,3
ellow-radnear-az270,elhigh-radmid-az000,ellow-radnear-az270 + elhigh-radmid-az000,4,0.9689691091182615,0.9689691091182615,0.0,0.984375,low + high,near + mid,000 + 270,2,2,2,90,90.0,adjacent_radius,low_high,quarter_turn_90,distance+elevation+azimuth,3
ellow-radnear-az045,elhigh-radfar-az090,ellow-radnear-az045 + elhigh-radfar-az090,3,0.9687087031824421,0.9687087031824421,0.0,1.0,low + high,near + far,045 + 090,2,2,2,45,45.0,near_far,low_high,adjacent_45,distance+elevation+azimuth,3
ellow-radnear-az270,elmid-radnear-az000,ellow-radnear-az270 + elmid-radnear-az000,7,0.9683453519664985,0.9683453519664985,0.0,0.949751082648124,low + mid,near,000 + 270,2,1,2,90,90.0,same_radius,adjacent_elevation,quarter_turn_90,elevation+azimuth,2
ellow-radnear-az090,ellow-radfar-az315,ellow-radnear-az090 + ellow-radfar-az315,5,0.9680513970288139,0.9680513970288139,0.0,0.9625000011920928,low,near + far,090 + 315,1,2,2,135,135.0,near_far,same_elevation,diagonal_135,distance+azimuth,2
elmid-radnear-az225,elhigh-radnear-az135,elmid-radnear-az225 + elhigh-radnear-az135,3,0.9676678857907793,0.9676678857907793,0.0,0.9847222223877906,mid + high,near,135 + 225,2,1,2,90,90.0,same_radius,adjacent_elevation,quarter_turn_90,elevation+azimuth,2
elmid-radnear-az000,elhigh-radnear-az135,elmid-radnear-az000 + elhigh-radnear-az135,3,0.9675363925617996,0.9675363925617996,0.0,0.97574404889629,mid + high,near,000 + 135,2,1,2,135,135.0,same_radius,adjacent_elevation,diagonal_135,elevation+azimuth,2
ellow-radfar-az180,elmid-radnear-az315,ellow-radfar-az180 + elmid-radnear-az315,5,0.9674725011808996,0.9674725011808996,0.0,1.0,low + mid,near + far,180 + 315,2,2,2,135,135.0,near_far,adjacent_elevation,diagonal_135,distance+elevation+azimuth,3
ellow-radmid-az180,elmid-radnear-az000,ellow-radmid-az180 + elmid-radnear-az000,4,0.9673449674177084,0.9673449674177084,0.0,0.9611111140085591,low + mid,near + mid,000 + 180,2,2,2,180,180.0,adjacent_radius,adjacent_elevation,opposite_180,distance+elevation+azimuth,3
elmid-radnear-az045,elhigh-radmid-az045,elmid-radnear-az045 + elhigh-radmid-az045,3,0.9673222913575472,0.9673222913575472,0.0,0.9907916669448217,mid + high,near + mid,045,2,2,1,0,0.0,adjacent_radius,adjacent_elevation,same_azimuth,distance+elevation,2
elmid-radnear-az315,elmid-radfar-az000,elmid-radnear-az315 + elmid-radfar-az000,5,0.967316760305566,0.967316760305566,0.0,1.0,mid,near + far,000 + 315,1,2,2,45,45.0,near_far,same_elevation,adjacent_45,distance+azimuth,2
ellow-radnear-az270,ellow-radfar-az315,ellow-radnear-az270 + ellow-radfar-az315,4,0.9672633815083156,0.9672633815083156,0.0,0.9405520855585734,low,near + far,270 + 315,1,2,2,45,45.0,near_far,same_elevation,adjacent_45,distance+azimuth,2
ellow-radmid-az180,elmid-radnear-az270,ellow-radmid-az180 + elmid-radnear-az270,7,0.9662706937510376,0.9662706937510376,0.0,0.9750992080048909,low + mid,near + mid,180 + 270,2,2,2,90,90.0,adjacent_radius,adjacent_elevation,quarter_turn_90,distance+elevation+azimuth,3
elmid-radnear-az000,elhigh-radfar-az180,elmid-radnear-az000 + elhigh-radfar-az180,3,0.9660574392488653,0.9660574392488653,0.0,1.0,mid + high,near + far,000 + 180,2,2,2,180,180.0,near_far,adjacent_elevation,opposite_180,distance+elevation+azimuth,3
elmid-radnear-az315,elmid-radfar-az090,elmid-radnear-az315 + elmid-radfar-az090,3,0.9660384530734921,0.9660384530734921,0.0,1.0,mid,near + far,090 + 315,1,2,2,135,135.0,near_far,same_elevation,diagonal_135,distance+azimuth,2
elmid-radnear-az180,elhigh-radmid-az090,elmid-radnear-az180 + elhigh-radmid-az090,3,0.9659443569751159,0.9659443569751159,0.0,1.0,mid + high,near + mid,090 + 180,2,2,2,90,90.0,adjacent_radius,adjacent_elevation,quarter_turn_90,distance+elevation+azimuth,3
elmid-radnear-az000,elhigh-radmid-az315,elmid-radnear-az000 + elhigh-radmid-az315,4,0.9657668517307432,0.9657668517307432,0.0,0.9327777805262142,mid + high,near + mid,000 + 315,2,2,2,45,45.0,adjacent_radius,adjacent_elevation,adjacent_45,distance+elevation+azimuth,3
ellow-radfar-az180,elmid-radnear-az045,ellow-radfar-az180 + elmid-radnear-az045,3,0.9655061274044078,0.9655061274044078,0.0,1.0,low + mid,near + far,045 + 180,2,2,2,135,135.0,near_far,adjacent_elevation,diagonal_135,distance+elevation+azimuth,3
ellow-radnear-az135,elhigh-radnear-az000,ellow-radnear-az135 + elhigh-radnear-az000,4,0.9654155112894784,0.9654155112894784,0.0,1.0,low + high,near,000 + 135,2,1,2,135,135.0,same_radius,low_high,diagonal_135,elevation+azimuth,2
elmid-radnear-az045,elmid-radnear-az180,elmid-radnear-az045 + elmid-radnear-az180,3,0.9654153367904783,0.9654153367904783,0.0,0.984375,mid,near,045 + 180,1,1,2,135,135.0,same_radius,same_elevation,diagonal_135,azimuth_only,1
elmid-radnear-az270,elhigh-radfar-az180,elmid-radnear-az270 + elhigh-radfar-az180,5,0.965188194424492,0.965188194424492,0.0,1.0,mid + high,near + far,180 + 270,2,2,2,90,90.0,near_far,adjacent_elevation,quarter_turn_90,distance+elevation+azimuth,3
