viewpoint,single_mean_strict_quality,average_pair_synergy_strict,median_pair_synergy_strict,positive_synergy_pair_fraction,best_partner,best_pair_synergy_strict,complementarity_group
ellow-radnear-az225,0.9422698168641391,0.002084350293418031,0.0011382521720690875,0.5942028985507246,elmid-radmid-az135,0.011364705722444413,strong_standalone_anchor
elmid-radnear-az315,0.9382882464153973,0.0025031330877673466,0.00012113464109975158,0.5352112676056338,ellow-radnear-az270,0.02820904378769895,strong_standalone_anchor
elmid-radnear-az000,0.9310569471536381,0.0027814298817348273,0.0005502641874368663,0.5362318840579711,elmid-radfar-az045,0.022806707288420824,strong_standalone_anchor
elmid-radnear-az045,0.9301019000916874,0.005116198125705543,0.001119895985147279,0.5774647887323944,ellow-radmid-az225,0.030720031787719648,strong_standalone_anchor
elhigh-radnear-az000,0.9290929259368824,0.00470654984172864,0.0032429632016406362,0.8309859154929577,elmid-radmid-az180,0.018886803905058258,strong_standalone_anchor
ellow-radmid-az315,0.926455908994406,0.004870439814585212,0.0037168994936820354,0.8028169014084507,ellow-radnear-az000,0.030044604669545505,strong_standalone_anchor
ellow-radnear-az135,0.9251432507259009,0.005309428610143065,0.0026688263475147522,0.6714285714285714,ellow-radfar-az000,0.03984161068011716,strong_standalone_anchor
elmid-radnear-az135,0.9233566889723123,0.0068106499198298765,0.0029516823507114154,0.7887323943661971,elmid-radnear-az225,0.04685169104234532,strong_standalone_anchor
elmid-radnear-az270,0.9142447979608065,0.004696254699421406,0.002373151034638532,0.8028169014084507,ellow-radmid-az045,0.02681090868695235,strong_standalone_anchor
ellow-radnear-az090,0.9094453527842968,0.01137119399679831,0.005209374980913339,0.7464788732394366,elhigh-radfar-az090,0.06149449522087813,anchor_and_complementary
elmid-radfar-az000,0.9085655512375765,0.004345474500776564,0.00227951344383559,0.6056338028169014,ellow-radmid-az045,0.02183727478127151,strong_standalone_anchor
elhigh-radfar-az315,0.9064996203345702,0.006221353546116859,0.0043840214178496595,0.8142857142857143,ellow-radmid-az090,0.03898823633325499,strong_standalone_anchor
elmid-radmid-az270,0.9054478044083016,0.00637661409191867,0.004893130649972766,0.8169014084507042,ellow-radnear-az270,0.03711762723873879,strong_standalone_anchor
elmid-radmid-az090,0.904437681285708,0.004600385303317603,0.002581368838283027,0.7285714285714285,ellow-radfar-az045,0.030561547876816086,strong_standalone_anchor
elhigh-radnear-az225,0.9026729541798686,0.006093259646794371,0.00504643661633164,0.8309859154929577,ellow-radmid-az135,0.04819627428180251,strong_standalone_anchor
elmid-radnear-az180,0.9011725752692823,0.006529135054559588,0.0017140110978033363,0.6619718309859155,ellow-radfar-az315,0.10390102708276039,strong_standalone_anchor
elhigh-radfar-az135,0.9000449884349474,0.004676209522204823,0.0012353960840113531,0.5571428571428572,ellow-radmid-az270,0.03858400669178985,strong_standalone_anchor
elmid-radmid-az045,0.8989723176203146,0.004744503426272877,0.002840366246916304,0.8450704225352113,ellow-radmid-az045,0.02940117604810233,strong_standalone_anchor
elmid-radfar-az225,0.8979020610527405,0.0061222256986136325,0.00365143153769687,0.7887323943661971,ellow-radmid-az045,0.021304989215066183,strong_standalone_anchor
elmid-radmid-az315,0.8978907647064809,0.009852103623314852,0.005210008337084571,0.8,elmid-radnear-az090,0.06871973301869261,anchor_and_complementary
elhigh-radnear-az180,0.8977822678377404,0.005313910381389726,0.002605075410211599,0.7183098591549296,ellow-radmid-az135,0.03741918714515313,strong_standalone_anchor
ellow-radnear-az045,0.8971224627147438,0.005417495840976153,0.002620184960656524,0.7428571428571429,elhigh-radnear-az135,0.03466494492697103,strong_standalone_anchor
elmid-radmid-az135,0.894408380209289,0.004894781369117865,0.0011693381949258175,0.5652173913043478,ellow-radnear-az270,0.049214370134814445,strong_standalone_anchor
elhigh-radmid-az225,0.8941819787064256,0.008008511731719502,0.005411791713417102,0.8732394366197183,ellow-radnear-az315,0.04955809793355337,strong_standalone_anchor
elhigh-radfar-az270,0.8940785628099618,0.00487534667191368,0.001538521892700262,0.6,ellow-radnear-az090,0.04683589278307798,redundant_or_low_gain
elhigh-radmid-az315,0.8927043491267641,0.0053311117376307554,0.003915947639436923,0.7246376811594203,ellow-radnear-az090,0.04539042401458104,redundant_or_low_gain
elhigh-radfar-az180,0.892690462670615,0.006413331025285339,0.0035905846591457458,0.6901408450704225,ellow-radnear-az090,0.041899895052705305,coverage_specific
ellow-radnear-az270,0.8906602007951817,0.012231122711934099,0.007207378266114894,0.6857142857142857,elhigh-radfar-az000,0.13254608923786093,complementary_support_view
elmid-radmid-az000,0.887476872372253,0.0067975539065017404,0.004851508440444352,0.8873239436619719,ellow-radnear-az270,0.03228042932661168,coverage_specific
elmid-radnear-az090,0.8862058950874298,0.009074414267716787,0.0035981177728423575,0.7183098591549296,elmid-radmid-az315,0.06871973301869261,coverage_specific
elmid-radfar-az270,0.884992142983688,0.006681678146953759,0.004897946628580285,0.7571428571428571,elmid-radnear-az135,0.025268536387653695,coverage_specific
elhigh-radnear-az045,0.8846867204114461,0.003384636317964188,0.0009127776835210488,0.5857142857142857,elmid-radfar-az270,0.02131737154572022,redundant_or_low_gain
elhigh-radfar-az045,0.8844867578821718,0.009376773815933801,0.006337391406674442,0.8873239436619719,ellow-radfar-az225,0.07595441374205691,coverage_specific
elhigh-radmid-az000,0.8829026711182688,0.007295970648315642,0.0054324348520988774,0.9014084507042254,ellow-radnear-az000,0.04664238838457868,coverage_specific
elhigh-radfar-az225,0.8825921694004585,0.005681844374434708,0.002731628586732704,0.7,ellow-radnear-az270,0.04882737645895574,redundant_or_low_gain
ellow-radmid-az270,0.8804566067770992,0.01556242577539735,0.005323992731977811,0.8169014084507042,elmid-radmid-az225,0.30135597147257565,complementary_support_view
elhigh-radfar-az090,0.8803254268781121,0.008248905126173912,0.0038874277675561286,0.704225352112676,ellow-radnear-az000,0.06825511141649665,coverage_specific
elmid-radfar-az180,0.8790350391536739,0.005337345007624295,0.002830238574397903,0.6811594202898551,elmid-radnear-az180,0.036576574626032254,redundant_or_low_gain
elhigh-radmid-az180,0.8782861484483468,0.0053644892757776655,0.0028828426664816442,0.676056338028169,ellow-radnear-az180,0.03528589545975147,redundant_or_low_gain
elmid-radmid-az180,0.8778828076863948,0.006649284525942372,0.0035981177728423575,0.704225352112676,elhigh-radnear-az090,0.05309400002649234,coverage_specific
