factor,metric,level_count,sample_count,eta_squared,between_group_ss,total_ss
full_viewpoint,target_ap50_95,72,2214,0.1348142837825228,11.9898932198759,88.93637145465634
elevation_radius,target_ap50_95,9,2214,0.11106445403019027,9.877669539037605,88.93637145465634
elevation_azimuth,target_ap50_95,24,2214,0.09658776422784933,8.590165277342775,88.93637145465634
elevation,target_ap50_95,3,2214,0.08901273337930413,7.916469520016079,88.93637145465634
radius_azimuth,target_ap50_95,24,2214,0.018006273442293944,1.6014126233779675,88.93637145465634
radius,target_ap50_95,3,2214,0.012588697338106976,1.1195930625921255,88.93637145465634
azimuth,target_ap50_95,8,2214,0.001911982384717659,0.17004477558200937,88.93637145465634
full_viewpoint,target_strict_quality_iou50,72,2214,0.06877198173633974,3.9708304949597073,57.739073307254785
elevation_radius,target_strict_quality_iou50,9,2214,0.043956686594141085,2.538018349603136,57.739073307254785
elevation_azimuth,target_strict_quality_iou50,24,2214,0.02216339422436691,1.2796938438583083,57.739073307254785
radius_azimuth,target_strict_quality_iou50,24,2214,0.02040992497603864,1.1784501543870656,57.739073307254785
elevation,target_strict_quality_iou50,3,2214,0.016590820844954533,0.9579386209943606,57.739073307254785
radius,target_strict_quality_iou50,3,2214,0.01426269946335984,0.8235150498742773,57.739073307254785
azimuth,target_strict_quality_iou50,8,2214,0.0009890966900340664,0.05710952629384003,57.739073307254785
full_viewpoint,target_ap50,72,2214,0.11347960107336133,6.686931781429787,58.926289114348194
elevation_radius,target_ap50,9,2214,0.09127472004553205,5.378480542234215,58.926289114348194
elevation_azimuth,target_ap50,24,2214,0.08995119986821336,5.3004904096168595,58.926289114348194
elevation,target_ap50,3,2214,0.08254371544958923,4.863994841154985,58.926289114348194
radius_azimuth,target_ap50,24,2214,0.013286625172097874,0.7829315162450157,58.926289114348194
radius,target_ap50,3,2214,0.0037925927929296026,0.22348341940916305,58.926289114348194
azimuth,target_ap50,8,2214,0.0027667840937712373,0.16303631942654379,58.926289114348194
full_viewpoint,target_f1,72,2214,0.21201024531440124,36.90521996926291,174.07281386111413
elevation_azimuth,target_f1,24,2214,0.19465689349150103,33.884473187528776,174.07281386111413
elevation_radius,target_f1,9,2214,0.18943100019912096,32.974787237186256,174.07281386111413
elevation,target_f1,3,2214,0.18483401334187424,32.17457679966276,174.07281386111413
radius_azimuth,target_f1,24,2214,0.009578741641624824,1.6673985108062608,174.07281386111413
azimuth,target_f1,8,2214,0.0024372211859102796,0.42425394983332393,174.07281386111413
radius,target_f1,3,2214,0.0015163889972692804,0.26396209966269696,174.07281386111413
