viewpoint_index,viewpoint,elevation,radius,azimuth,angle_degrees,height_level,distance_level,observed_in_scene_records,observed_test_records,observed_test_scenes,manifest_train_images,manifest_val_images,manifest_test_images
1,ellow-radnear-az000,low,near,0,0,low,near,1,35,35,141,29,35
2,ellow-radnear-az045,low,near,45,45,low,near,1,32,32,146,27,32
3,ellow-radnear-az090,low,near,90,90,low,near,1,32,32,148,25,32
4,ellow-radnear-az135,low,near,135,135,low,near,1,32,32,148,25,32
5,ellow-radnear-az180,low,near,180,180,low,near,1,39,39,135,31,39
6,ellow-radnear-az225,low,near,225,225,low,near,1,36,36,139,30,36
7,ellow-radnear-az270,low,near,270,270,low,near,1,30,30,150,25,30
8,ellow-radnear-az315,low,near,315,315,low,near,1,29,29,140,36,29
9,ellow-radmid-az000,low,mid,0,0,low,mid,1,31,31,147,27,31
10,ellow-radmid-az045,low,mid,45,45,low,mid,1,37,37,143,25,37
11,ellow-radmid-az090,low,mid,90,90,low,mid,1,32,32,147,26,32
12,ellow-radmid-az135,low,mid,135,135,low,mid,1,30,30,146,29,30
13,ellow-radmid-az180,low,mid,180,180,low,mid,1,21,21,152,32,21
14,ellow-radmid-az225,low,mid,225,225,low,mid,1,29,29,155,21,29
15,ellow-radmid-az270,low,mid,270,270,low,mid,1,26,26,142,37,26
16,ellow-radmid-az315,low,mid,315,315,low,mid,1,33,33,152,20,33
17,ellow-radfar-az000,low,far,0,0,low,far,1,39,39,136,30,39
18,ellow-radfar-az045,low,far,45,45,low,far,1,22,22,148,35,22
19,ellow-radfar-az090,low,far,90,90,low,far,1,28,28,140,37,28
20,ellow-radfar-az135,low,far,135,135,low,far,1,36,36,145,24,36
21,ellow-radfar-az180,low,far,180,180,low,far,1,25,25,145,35,25
22,ellow-radfar-az225,low,far,225,225,low,far,1,30,30,141,34,30
23,ellow-radfar-az270,low,far,270,270,low,far,1,32,32,137,36,32
24,ellow-radfar-az315,low,far,315,315,low,far,1,28,28,149,28,28
25,elmid-radnear-az000,mid,near,0,0,mid,near,1,21,21,148,36,21
26,elmid-radnear-az045,mid,near,45,45,mid,near,1,32,32,138,35,32
27,elmid-radnear-az090,mid,near,90,90,mid,near,1,31,31,150,24,31
28,elmid-radnear-az135,mid,near,135,135,mid,near,1,43,43,142,20,43
29,elmid-radnear-az180,mid,near,180,180,mid,near,1,32,32,144,29,32
30,elmid-radnear-az225,mid,near,225,225,mid,near,1,25,25,146,34,25
31,elmid-radnear-az270,mid,near,270,270,mid,near,1,43,43,134,28,43
32,elmid-radnear-az315,mid,near,315,315,mid,near,1,33,33,142,30,33
33,elmid-radmid-az000,mid,mid,0,0,mid,mid,1,42,42,138,25,42
34,elmid-radmid-az045,mid,mid,45,45,mid,mid,1,35,35,135,35,35
35,elmid-radmid-az090,mid,mid,90,90,mid,mid,1,29,29,140,36,29
36,elmid-radmid-az135,mid,mid,135,135,mid,mid,1,20,20,147,38,20
37,elmid-radmid-az180,mid,mid,180,180,mid,mid,1,31,31,149,25,31
38,elmid-radmid-az225,mid,mid,225,225,mid,mid,1,22,22,151,32,22
39,elmid-radmid-az270,mid,mid,270,270,mid,mid,1,40,40,138,27,40
40,elmid-radmid-az315,mid,mid,315,315,mid,mid,1,29,29,146,30,29
41,elmid-radfar-az000,mid,far,0,0,mid,far,1,27,27,149,29,27
42,elmid-radfar-az045,mid,far,45,45,mid,far,1,30,30,139,36,30
43,elmid-radfar-az090,mid,far,90,90,mid,far,1,29,29,139,37,29
44,elmid-radfar-az135,mid,far,135,135,mid,far,1,31,31,146,28,31
45,elmid-radfar-az180,mid,far,180,180,mid,far,1,26,26,151,28,26
46,elmid-radfar-az225,mid,far,225,225,mid,far,1,36,36,133,36,36
47,elmid-radfar-az270,mid,far,270,270,mid,far,1,26,26,145,34,26
48,elmid-radfar-az315,mid,far,315,315,mid,far,1,26,26,148,31,26
49,elhigh-radnear-az000,high,near,0,0,high,near,1,34,34,141,30,34
50,elhigh-radnear-az045,high,near,45,45,high,near,1,23,23,152,30,23
