drone_count,relationship_axis,metric,relationship_type,common_scene_count,mean_value_on_common_scenes,median_value_on_common_scenes
2,azimuth,AP50-95,diagonal_135,189,0.9300470611165202,0.9711700342752365
2,azimuth,AP50-95,adjacent_45,189,0.926568448552216,0.9656250000931322
2,azimuth,AP50-95,opposite_180,189,0.9252340644165361,0.9678888889153799
2,azimuth,AP50-95,quarter_turn_90,189,0.9245171768626179,0.9714285714285714
2,azimuth,AP50-95,same_azimuth,189,0.9232081720949356,0.959393776685392
2,distance,AP50-95,near_far,189,0.9279265788372647,0.9694444453274763
2,distance,AP50-95,same_radius,189,0.9274191843762181,0.9704384019157889
2,distance,AP50-95,adjacent_radius,189,0.9241842991181553,0.9663969711711009
2,elevation,AP50-95,adjacent_elevation,194,0.93500803822784,0.9769100945273897
2,elevation,AP50-95,low_high,194,0.9280074102753787,0.9689125740632005
2,elevation,AP50-95,same_elevation,194,0.9231447878837395,0.9664855072463767
2,mixed_diversity,AP50-95,elevation_only,129,0.9380586565121901,0.9800000000000001
2,mixed_diversity,AP50-95,distance+elevation,129,0.9353291622954168,0.9708333344260852
2,mixed_diversity,AP50-95,distance+elevation+azimuth,129,0.9347488684081361,0.975
2,mixed_diversity,AP50-95,elevation+azimuth,129,0.9347116772791387,0.9772270118624999
2,mixed_diversity,AP50-95,azimuth_only,129,0.9267940356204072,0.968529411821681
2,mixed_diversity,AP50-95,distance+azimuth,129,0.9252556179658022,0.9661111119223966
2,mixed_diversity,AP50-95,distance_only,129,0.8988816611922888,0.9611111115250323
2,azimuth,strict_quality,diagonal_135,189,0.9096914886122025,0.9483037833359748
2,azimuth,strict_quality,opposite_180,189,0.9093716224517845,0.9488984237726239
2,azimuth,strict_quality,adjacent_45,189,0.9084830628400148,0.9483319186646687
2,azimuth,strict_quality,quarter_turn_90,189,0.9078342612729522,0.9472842318030321
2,azimuth,strict_quality,same_azimuth,189,0.9070564968961297,0.9469824331666903
2,distance,strict_quality,near_far,189,0.9105728831466351,0.9486894126317775
2,distance,strict_quality,same_radius,189,0.907365206869467,0.9475769460649008
2,distance,strict_quality,adjacent_radius,189,0.9059944718630667,0.9463835762687827
2,elevation,strict_quality,adjacent_elevation,194,0.9144902047237017,0.9476456041131258
2,elevation,strict_quality,low_high,194,0.9121436795012284,0.9478109492386437
2,elevation,strict_quality,same_elevation,194,0.9083783120720499,0.9473039736133269
2,mixed_diversity,strict_quality,elevation_only,129,0.917397999082522,0.9471904443186716
2,mixed_diversity,strict_quality,distance+elevation,129,0.9151920317390384,0.949961710522885
2,mixed_diversity,strict_quality,distance+elevation+azimuth,129,0.9141076100952328,0.9519567982396558
2,mixed_diversity,strict_quality,elevation+azimuth,129,0.9135176003850153,0.9490097094482609
2,mixed_diversity,strict_quality,distance+azimuth,129,0.9106516584434503,0.9495352596559599
2,mixed_diversity,strict_quality,azimuth_only,129,0.9096721646889822,0.9487251671441856
2,mixed_diversity,strict_quality,distance_only,129,0.8947488447392562,0.947241918192665
3,azimuth,AP50-95,medium_spread_azimuths,193,0.949177422858832,0.9880476908958462
3,azimuth,AP50-95,broad_or_opposite_azimuths,193,0.9480822780467505,0.9872093023602353
3,azimuth,AP50-95,compact_azimuths,193,0.9471374149755013,0.9853009266420958
3,distance,AP50-95,near_far,183,0.9497140570220243,0.9879043212551393
3,distance,AP50-95,same_radius,183,0.9478655840719717,0.9884259262708601
3,distance,AP50-95,adjacent_radius,183,0.9469830176239249,0.9862903227568954
3,elevation,AP50-95,adjacent_elevation,187,0.9524996683889138,0.9903846154037195
3,elevation,AP50-95,low_high,187,0.9492437339928074,0.9886752140700309
3,elevation,AP50-95,same_elevation,187,0.9465848265164734,0.9845238095415489
3,azimuth,strict_quality,compact_azimuths,193,0.9188273070956872,0.9531435188281663
3,azimuth,strict_quality,broad_or_opposite_azimuths,193,0.9186664748579103,0.9533934010072146
3,azimuth,strict_quality,medium_spread_azimuths,193,0.9185475258389644,0.9532473634997404
3,distance,strict_quality,near_far,183,0.920474745545633,0.9533994439369775
3,distance,strict_quality,same_radius,183,0.9166304324394822,0.9518647132379768
3,distance,strict_quality,adjacent_radius,183,0.9165064902713832,0.9520669135400955
3,elevation,strict_quality,adjacent_elevation,187,0.9216860844911622,0.9528896131835616
3,elevation,strict_quality,low_high,187,0.9214776354883601,0.9527482514590887
3,elevation,strict_quality,same_elevation,187,0.9186628153388035,0.9509534807064495
