drone_count,relationship_axis,metric,left_relationship_type,right_relationship_type,comparison,common_scene_count,mean_difference,ci95_low,ci95_high,approx_two_sided_p,left_mean_on_common_scenes,right_mean_on_common_scenes
2,azimuth,AP50,adjacent_45,same_azimuth,adjacent_45 minus same_azimuth,198,0.004222555747211761,4.531532521935335e-05,0.009682374212100027,0.046,0.9962598301425438,0.992037274395332
2,azimuth,AP50,diagonal_135,same_azimuth,diagonal_135 minus same_azimuth,199,0.00415175365874093,0.0006238949175677149,0.008670685088608316,0.018,0.9962290417505788,0.9920772880918378
2,azimuth,AP50,opposite_180,same_azimuth,opposite_180 minus same_azimuth,190,0.003200354972409415,-0.0035459224871980327,0.009827706161736696,0.362,0.9949023567107028,0.9917020017382934
2,azimuth,AP50,adjacent_45,quarter_turn_90,adjacent_45 minus quarter_turn_90,202,0.002576253506918194,-5.4765506982974606e-05,0.00583473842203251,0.055,0.9963338929119984,0.9937576394050802
2,azimuth,AP50,diagonal_135,quarter_turn_90,diagonal_135 minus quarter_turn_90,203,0.002514956396743802,-3.088129069390904e-05,0.0056117850968132686,0.052,0.9963033463466265,0.9937883899498827
2,azimuth,AP50,quarter_turn_90,same_azimuth,quarter_turn_90 minus same_azimuth,199,0.0015862453746253937,-0.002305236815372665,0.006298311655507472,0.508,0.9936635334664633,0.9920772880918378
2,azimuth,AP50,opposite_180,quarter_turn_90,opposite_180 minus quarter_turn_90,193,0.001515049819727127,-0.00421996823562733,0.006395775366556551,0.543,0.9949815946892929,0.9934665448695658
2,azimuth,AP50,adjacent_45,opposite_180,adjacent_45 minus opposite_180,194,0.0011752504803615449,-0.0027606328441408894,0.006502587931447641,0.756,0.9961827132382663,0.9950074627579049
2,azimuth,AP50,diagonal_135,opposite_180,diagonal_135 minus opposite_180,194,0.001124389347070393,-0.0030718238631740006,0.006612907738158835,0.726,0.9961318521049751,0.9950074627579049
2,azimuth,AP50,adjacent_45,diagonal_135,adjacent_45 minus diagonal_135,202,4.88468309825914e-05,-0.0020203541338913254,0.002163917986096925,0.951,0.9963338929119984,0.9962850460810158
2,distance,AP50,near_far,same_radius,near_far minus same_radius,194,-0.0017627433459234767,-0.0043897860638573896,0.0006410049053239188,0.175,0.9944478387575443,0.9962105821034679
2,distance,AP50,adjacent_radius,same_radius,adjacent_radius minus same_radius,200,-0.0017487057531160083,-0.0038563988548426845,0.0003798753194429705,0.115,0.9942283366670952,0.9959770424202112
2,distance,AP50,adjacent_radius,near_far,adjacent_radius minus near_far,189,-0.0003861406432795209,-0.002929751276833747,0.0021654672491130014,0.767,0.993914815541713,0.9943009561849926
2,elevation,AP50,low_high,same_elevation,low_high minus same_elevation,198,0.008028882243248919,0.004173611116153307,0.012515715573475052,0.0,0.997899657676599,0.9898707754333501
2,elevation,AP50,adjacent_elevation,same_elevation,adjacent_elevation minus same_elevation,201,0.007339237138160112,0.003958242800002147,0.011070656744962677,0.0,0.9976029892303849,0.9902637520922248
2,elevation,AP50,adjacent_elevation,low_high,adjacent_elevation minus low_high,194,-0.00033985249824351765,-0.001750545983047616,0.0008995920440392542,0.618,0.9975164991510689,0.9978563516493125
