drone_count,relationship_axis,relationship_type,scene_key,metric,scene_mean_value,combo_count_in_scene
2,azimuth,adjacent_45,S0-SM_barrel_1,AP50,1.0,14
2,azimuth,adjacent_45,S0-SM_barrel_10,AP50,1.0,6
2,azimuth,adjacent_45,S0-SM_barrel_11,AP50,1.0,6
2,azimuth,adjacent_45,S0-SM_barrel_12,AP50,1.0,10
2,azimuth,adjacent_45,S0-SM_barrel_13,AP50,1.0,6
2,azimuth,adjacent_45,S0-SM_barrel_14,AP50,1.0,8
2,azimuth,adjacent_45,S0-SM_barrel_15,AP50,1.0,8
2,azimuth,adjacent_45,S0-SM_barrel_16,AP50,1.0,3
2,azimuth,adjacent_45,S0-SM_barrel_17,AP50,1.0,12
2,azimuth,adjacent_45,S0-SM_barrel_18,AP50,1.0,5
2,azimuth,adjacent_45,S0-SM_barrel_19,AP50,1.0,10
2,azimuth,adjacent_45,S0-SM_barrel_2,AP50,0.9523809523809523,21
2,azimuth,adjacent_45,S0-SM_barrel_20,AP50,1.0,13
2,azimuth,adjacent_45,S0-SM_barrel_21,AP50,1.0,13
2,azimuth,adjacent_45,S0-SM_barrel_3,AP50,1.0,11
2,azimuth,adjacent_45,S0-SM_barrel_4,AP50,1.0,30
2,azimuth,adjacent_45,S0-SM_barrel_5,AP50,1.0,17
2,azimuth,adjacent_45,S0-SM_barrel_6,AP50,1.0,23
2,azimuth,adjacent_45,S0-SM_barrel_7,AP50,1.0,9
2,azimuth,adjacent_45,S0-SM_barrel_8,AP50,1.0,14
2,azimuth,adjacent_45,S0-SM_container_1,AP50,1.0,13
2,azimuth,adjacent_45,S0-SM_container_10,AP50,1.0,18
2,azimuth,adjacent_45,S0-SM_container_11,AP50,1.0,24
2,azimuth,adjacent_45,S0-SM_container_12,AP50,1.0,9
2,azimuth,adjacent_45,S0-SM_container_13,AP50,0.9933333337306977,25
2,azimuth,adjacent_45,S0-SM_container_14,AP50,1.0,9
2,azimuth,adjacent_45,S0-SM_container_15,AP50,1.0,21
2,azimuth,adjacent_45,S0-SM_container_16,AP50,1.0,13
2,azimuth,adjacent_45,S0-SM_container_17,AP50,1.0,15
2,azimuth,adjacent_45,S0-SM_container_18,AP50,1.0,22
2,azimuth,adjacent_45,S0-SM_container_2,AP50,1.0,7
2,azimuth,adjacent_45,S0-SM_container_21,AP50,1.0,9
2,azimuth,adjacent_45,S0-SM_container_22,AP50,1.0,15
2,azimuth,adjacent_45,S0-SM_container_23,AP50,1.0,15
2,azimuth,adjacent_45,S0-SM_container_3,AP50,1.0,11
2,azimuth,adjacent_45,S0-SM_container_30,AP50,1.0,37
2,azimuth,adjacent_45,S0-SM_container_4,AP50,1.0,14
2,azimuth,adjacent_45,S0-SM_container_5,AP50,1.0,12
2,azimuth,adjacent_45,S0-SM_container_6,AP50,1.0,4
2,azimuth,adjacent_45,S0-SM_container_7,AP50,1.0,16
2,azimuth,adjacent_45,S0-SM_container_8,AP50,1.0,11
2,azimuth,adjacent_45,S0-SM_container_9,AP50,1.0,7
2,azimuth,adjacent_45,S0-SM_male1,AP50,1.0,2
2,azimuth,adjacent_45,S0-SM_male10,AP50,1.0,28
2,azimuth,adjacent_45,S0-SM_male11,AP50,1.0,2
2,azimuth,adjacent_45,S0-SM_male12,AP50,1.0,11
2,azimuth,adjacent_45,S0-SM_male14,AP50,1.0,7
2,azimuth,adjacent_45,S0-SM_male15,AP50,0.9924812035116934,38
2,azimuth,adjacent_45,S0-SM_male16,AP50,1.0,12
2,azimuth,adjacent_45,S0-SM_male17,AP50,1.0,14
2,azimuth,adjacent_45,S0-SM_male18,AP50,1.0,26
2,azimuth,adjacent_45,S0-SM_male19,AP50,1.0,6
2,azimuth,adjacent_45,S0-SM_male2,AP50,1.0,20
2,azimuth,adjacent_45,S0-SM_male20,AP50,1.0,26
2,azimuth,adjacent_45,S0-SM_male3,AP50,0.9898809524519103,21
2,azimuth,adjacent_45,S0-SM_male4,AP50,1.0,30
2,azimuth,adjacent_45,S0-SM_male5,AP50,1.0,12
2,azimuth,adjacent_45,S0-SM_male6,AP50,1.0,8
2,azimuth,adjacent_45,S0-SM_male7,AP50,0.9722222238779068,6
2,azimuth,adjacent_45,S0-SM_male8,AP50,1.0,38
2,azimuth,adjacent_45,S0-SM_male9,AP50,1.0,10
2,azimuth,adjacent_45,S0-SM_rock1,AP50,1.0,27
2,azimuth,adjacent_45,S0-SM_rock10,AP50,1.0,21
2,azimuth,adjacent_45,S0-SM_rock11,AP50,0.9880952388048172,14
2,azimuth,adjacent_45,S0-SM_rock12,AP50,1.0,23
2,azimuth,adjacent_45,S0-SM_rock13,AP50,1.0,6
2,azimuth,adjacent_45,S0-SM_rock14,AP50,1.0,16
2,azimuth,adjacent_45,S0-SM_rock15,AP50,1.0,19
2,azimuth,adjacent_45,S0-SM_rock16,AP50,1.0,10
2,azimuth,adjacent_45,S0-SM_rock17,AP50,0.9881212131904833,25
2,azimuth,adjacent_45,S0-SM_rock18,AP50,1.0,23
2,azimuth,adjacent_45,S0-SM_rock19,AP50,1.0,3
2,azimuth,adjacent_45,S0-SM_rock2,AP50,1.0,31
2,azimuth,adjacent_45,S0-SM_rock20,AP50,1.0,9
2,azimuth,adjacent_45,S0-SM_rock21,AP50,0.9967948719859123,26
2,azimuth,adjacent_45,S0-SM_rock3,AP50,1.0,10
2,azimuth,adjacent_45,S0-SM_rock4,AP50,0.9940476194024086,28
2,azimuth,adjacent_45,S0-SM_rock5,AP50,1.0,8
2,azimuth,adjacent_45,S0-SM_rock6,AP50,0.9974489797438894,14
2,azimuth,adjacent_45,S0-SM_rock7,AP50,1.0,15
2,azimuth,adjacent_45,S0-SM_rock8,AP50,1.0,2
2,azimuth,adjacent_45,S0-SM_rock9,AP50,0.9907692301445282,20
2,azimuth,adjacent_45,S0-SM_suv1,AP50,1.0,8
2,azimuth,adjacent_45,S0-SM_suv10,AP50,1.0,6
2,azimuth,adjacent_45,S0-SM_suv11,AP50,1.0,10
2,azimuth,adjacent_45,S0-SM_suv12,AP50,1.0,22
2,azimuth,adjacent_45,S0-SM_suv13_13,AP50,1.0,14
2,azimuth,adjacent_45,S0-SM_suv14_17,AP50,1.0,4
2,azimuth,adjacent_45,S0-SM_suv15,AP50,1.0,1
2,azimuth,adjacent_45,S0-SM_suv16,AP50,1.0,22
2,azimuth,adjacent_45,S0-SM_suv17,AP50,1.0,13
2,azimuth,adjacent_45,S0-SM_suv18,AP50,0.997000000178814,25
2,azimuth,adjacent_45,S0-SM_suv19,AP50,1.0,7
2,azimuth,adjacent_45,S0-SM_suv2,AP50,1.0,12
2,azimuth,adjacent_45,S0-SM_suv20,AP50,0.9,20
2,azimuth,adjacent_45,S0-SM_suv21,AP50,1.0,20
2,azimuth,adjacent_45,S0-SM_suv22,AP50,1.0,32
2,azimuth,adjacent_45,S0-SM_suv3,AP50,1.0,7
2,azimuth,adjacent_45,S0-SM_suv4,AP50,1.0,28
2,azimuth,adjacent_45,S0-SM_suv5,AP50,0.991919192521259,44
2,azimuth,adjacent_45,S0-SM_suv6,AP50,1.0,2
2,azimuth,adjacent_45,S0-SM_suv7,AP50,1.0,19
2,azimuth,adjacent_45,S0-SM_suv8,AP50,1.0,24
2,azimuth,adjacent_45,S0-SM_suv9,AP50,1.0,13
2,azimuth,adjacent_45,S0-SM_tank1,AP50,1.0,31
2,azimuth,adjacent_45,S0-SM_tank10,AP50,1.0,16
2,azimuth,adjacent_45,S0-SM_tank11,AP50,1.0,15
2,azimuth,adjacent_45,S0-SM_tank12,AP50,1.0,12
2,azimuth,adjacent_45,S0-SM_tank14,AP50,0.9986772485984066,18
2,azimuth,adjacent_45,S0-SM_tank15,AP50,1.0,16
2,azimuth,adjacent_45,S0-SM_tank16,AP50,1.0,4
2,azimuth,adjacent_45,S0-SM_tank17,AP50,1.0,6
2,azimuth,adjacent_45,S0-SM_tank18,AP50,1.0,12
2,azimuth,adjacent_45,S0-SM_tank19,AP50,1.0,34
2,azimuth,adjacent_45,S0-SM_tank2,AP50,1.0,5
2,azimuth,adjacent_45,S0-SM_tank20,AP50,1.0,8
2,azimuth,adjacent_45,S0-SM_tank3,AP50,1.0,7
2,azimuth,adjacent_45,S0-SM_tank4,AP50,1.0,8
2,azimuth,adjacent_45,S0-SM_tank5,AP50,1.0,15
2,azimuth,adjacent_45,S0-SM_tank6,AP50,1.0,5
2,azimuth,adjacent_45,S0-SM_tank7,AP50,1.0,38
2,azimuth,adjacent_45,S0-SM_tank8,AP50,0.9212121218442917,11
2,azimuth,adjacent_45,S0-SM_tank9,AP50,1.0,10
2,azimuth,adjacent_45,S0-SM_tent_1,AP50,1.0,28
2,azimuth,adjacent_45,S0-SM_tent_10,AP50,1.0,27
2,azimuth,adjacent_45,S0-SM_tent_11,AP50,1.0,12
2,azimuth,adjacent_45,S0-SM_tent_12,AP50,1.0,4
2,azimuth,adjacent_45,S0-SM_tent_13,AP50,1.0,13
2,azimuth,adjacent_45,S0-SM_tent_14,AP50,1.0,10
2,azimuth,adjacent_45,S0-SM_tent_15,AP50,1.0,26
2,azimuth,adjacent_45,S0-SM_tent_16,AP50,1.0,14
2,azimuth,adjacent_45,S0-SM_tent_17,AP50,1.0,20
2,azimuth,adjacent_45,S0-SM_tent_18,AP50,1.0,14
2,azimuth,adjacent_45,S0-SM_tent_2,AP50,1.0,28
2,azimuth,adjacent_45,S0-SM_tent_3,AP50,1.0,7
2,azimuth,adjacent_45,S0-SM_tent_4,AP50,1.0,14
2,azimuth,adjacent_45,S0-SM_tent_5,AP50,0.9907407412926356,18
2,azimuth,adjacent_45,S0-SM_tent_6,AP50,1.0,6
2,azimuth,adjacent_45,S0-SM_tent_7,AP50,1.0,16
2,azimuth,adjacent_45,S0-SM_tent_8,AP50,1.0,14
2,azimuth,adjacent_45,S0-SM_tent_9,AP50,1.0,10
2,azimuth,adjacent_45,S0-SM_tower_1,AP50,1.0,4
2,azimuth,adjacent_45,S0-SM_tower_10,AP50,1.0,29
2,azimuth,adjacent_45,S0-SM_tower_11,AP50,1.0,17
2,azimuth,adjacent_45,S0-SM_tower_12,AP50,1.0,8
2,azimuth,adjacent_45,S0-SM_tower_13,AP50,1.0,23
2,azimuth,adjacent_45,S0-SM_tower_2,AP50,1.0,11
2,azimuth,adjacent_45,S0-SM_tower_3,AP50,1.0,26
2,azimuth,adjacent_45,S0-SM_tower_4,AP50,1.0,25
2,azimuth,adjacent_45,S0-SM_tower_5,AP50,1.0,20
2,azimuth,adjacent_45,S0-SM_tower_6,AP50,0.9644510595413742,28
2,azimuth,adjacent_45,S0-SM_tower_7,AP50,0.9534932684893359,22
2,azimuth,adjacent_45,S0-SM_tower_8,AP50,1.0,14
2,azimuth,adjacent_45,S0-SM_tower_9,AP50,1.0,9
2,azimuth,adjacent_45,S0-SM_tree1,AP50,1.0,20
2,azimuth,adjacent_45,S0-SM_tree10,AP50,1.0,16
2,azimuth,adjacent_45,S0-SM_tree11,AP50,1.0,15
2,azimuth,adjacent_45,S0-SM_tree12,AP50,0.9701979726056231,20
2,azimuth,adjacent_45,S0-SM_tree13,AP50,0.9933523272234037,13
2,azimuth,adjacent_45,S0-SM_tree14,AP50,1.0,8
