slice_id,slice_label,definition,threshold_value,row_count,scene_count,method_id,method_label,mean_score,delta_vs_best_box,positive_gain_rate_vs_best_box,slice_order,rank_within_slice
full_ordered_pair_cache,Full ordered-pair cache,All ordered primary-secondary view pairs.,,23692,205,noisy_or_best_iou,Noisy-OR + best IoU,0.951810338251855,0.0418579323172148,0.972480162080027,0,1
full_ordered_pair_cache,Full ordered-pair cache,All ordered primary-secondary view pairs.,,23692,205,roy_odds_best_iou,Odds-product + best IoU,0.9478763923474266,0.03792398641278638,0.9670774945129158,0,2
full_ordered_pair_cache,Full ordered-pair cache,All ordered primary-secondary view pairs.,,23692,205,noisy_or_mean_iou,Noisy-OR + mean IoU,0.9362102057157079,0.02625779978106768,0.9111936518656086,0,3
full_ordered_pair_cache,Full ordered-pair cache,All ordered primary-secondary view pairs.,,23692,205,roy_odds_mean_iou,Odds-product + mean IoU,0.9325547064850501,0.022602300550409904,0.9095053182508864,0,4
full_ordered_pair_cache,Full ordered-pair cache,All ordered primary-secondary view pairs.,,23692,205,support_weighted_or,Support-weighted OR,0.92278560378906,0.012833197854419831,0.9046091507681918,0,5
full_ordered_pair_cache,Full ordered-pair cache,All ordered primary-secondary view pairs.,,23692,205,best_box,Best box,0.9099524059346402,0.0,0.0,0,6
weak_primary_quality,Weak primary quality,Primary strict quality in the bottom quartile (<= 0.8752).,0.8751654247087881,5835,99,noisy_or_best_iou,Noisy-OR + best IoU,0.8660443420066426,0.08243741352793699,0.9089974293059125,1,1
weak_primary_quality,Weak primary quality,Primary strict quality in the bottom quartile (<= 0.8752).,0.8751654247087881,5835,99,roy_odds_best_iou,Odds-product + best IoU,0.85114759324649,0.06754066476778442,0.8910025706940874,1,2
weak_primary_quality,Weak primary quality,Primary strict quality in the bottom quartile (<= 0.8752).,0.8751654247087881,5835,99,noisy_or_mean_iou,Noisy-OR + mean IoU,0.8292413004581801,0.04563437197947451,0.7715509854327335,1,3
weak_primary_quality,Weak primary quality,Primary strict quality in the bottom quartile (<= 0.8752).,0.8751654247087881,5835,99,roy_odds_mean_iou,Odds-product + mean IoU,0.8153944256186847,0.03178749713997908,0.7657240788346187,1,4
weak_primary_quality,Weak primary quality,Primary strict quality in the bottom quartile (<= 0.8752).,0.8751654247087881,5835,99,support_weighted_or,Support-weighted OR,0.7882562447778311,0.004649316299125461,0.7532133676092545,1,5
weak_primary_quality,Weak primary quality,Primary strict quality in the bottom quartile (<= 0.8752).,0.8751654247087881,5835,99,best_box,Best box,0.7836069284787056,0.0,0.0,1,6
small_target_box,Small target box,Primary-view target-box scale proxy in the bottom quartile based on the largest target-class ground-truth box ratio (<= 0.0213).,0.02130131640625,5858,86,noisy_or_best_iou,Noisy-OR + best IoU,0.8699056097189851,0.08213634210029941,0.9086719016729259,2,1
small_target_box,Small target box,Primary-view target-box scale proxy in the bottom quartile based on the largest target-class ground-truth box ratio (<= 0.0213).,0.02130131640625,5858,86,roy_odds_best_iou,Odds-product + best IoU,0.8552940046141387,0.06752473699545303,0.8905769887333561,2,2
small_target_box,Small target box,Primary-view target-box scale proxy in the bottom quartile based on the largest target-class ground-truth box ratio (<= 0.0213).,0.02130131640625,5858,86,noisy_or_mean_iou,Noisy-OR + mean IoU,0.8398968228653868,0.052127555246701096,0.8373164902697167,2,3
