object_class,factor,level,mean_value,std_value,variance_value,n_images
barrel,elevation,low,0.6305174565331099,0.23531295880820693,0.05537218858307289,82
barrel,elevation,mid,0.8482145868827006,0.09766559345751478,0.009538568145408556,69
barrel,elevation,high,0.8546727322742571,0.07908233712227897,0.006254016044721782,61
container,elevation,low,0.7439014883240805,0.22728519232769337,0.051658558651436565,72
container,elevation,mid,0.8974022669311814,0.11279115521277627,0.01272184469423259,80
container,elevation,high,0.915774152585199,0.07498450304320207,0.005622675696635982,85
male,elevation,low,0.6070757102273311,0.24276764491280797,0.05893612941651122,66
male,elevation,mid,0.7937745372886159,0.12404391570808394,0.015386893024194236,72
male,elevation,high,0.797997194728806,0.12093439195037635,0.014625127156407253,74
rock,elevation,low,0.7032972600018479,0.21739997681819986,0.04726274992055384,94
rock,elevation,mid,0.8810099520373661,0.1105763096579587,0.012227120257572771,66
rock,elevation,high,0.9101514276641276,0.07542019971611193,0.00568820652521821,75
suv,elevation,low,0.5929429112660587,0.2575916892682831,0.0663534783800877,80
suv,elevation,mid,0.8947699914927134,0.0891144262355844,0.007941380963297414,78
suv,elevation,high,0.9000580298339258,0.07800701291842839,0.006085094064455853,83
tank,elevation,low,0.5425653559631818,0.28291128696863804,0.08003879629425106,63
tank,elevation,mid,0.8603137536265617,0.1458780337086232,0.02128040071869421,75
tank,elevation,high,0.8966010363965846,0.09105563197656993,0.008291128114652546,62
tent,elevation,low,0.7819375010988673,0.18612888319771226,0.034643961160427617,66
tent,elevation,mid,0.889460742940346,0.0949885065405766,0.009022816374809162,76
tent,elevation,high,0.9029562793612865,0.06824327098574334,0.004657144034833599,63
tower,elevation,low,0.6070875582376786,0.22387221460907675,0.05011876847397252,60
tower,elevation,mid,0.7398330520386612,0.24150305758823462,0.05832372682446616,49
tower,elevation,high,0.8612713560145581,0.12740789045123815,0.0162327705492347,56
tree,elevation,low,0.5830511131139513,0.21649254217662064,0.046869020818095866,106
tree,elevation,mid,0.7370703439387597,0.1845365279208622,0.03405373013708715,115
tree,elevation,high,0.851332931864013,0.0743183161835237,0.005523212120354202,105
whitevan,elevation,low,0.5721163002047951,0.2610824630961488,0.0681640525363519,55
whitevan,elevation,mid,0.8828503915364265,0.14021315101940632,0.019659727718790845,59
whitevan,elevation,high,0.9016398940298779,0.09373622744036526,0.008786480334751887,67
