target_class,scene_count,single_expected_target_detected_rate,pair_expected_target_detected_rate,delta_target_detected_rate,single_expected_target_ap50_95,pair_expected_target_ap50_95,delta_target_ap50_95,single_expected_target_strict_quality_iou50,pair_expected_target_strict_quality_iou50,delta_target_strict_quality_iou50,single_expected_ap50_95,pair_expected_ap50_95,delta_ap50_95,pair_expected_best_available_ap50_95,delta_best_available_ap50_95
barrel,20,0.9325180375180375,0.9921214896214897,0.05960345210345219,0.7005740425426672,0.8100093103892496,0.10943526784658242,0.6845664406138463,0.7651367482231577,0.08057030760931139,0.7653181939980734,0.7653181939980734,0.0,0.8653678468736125,0.10004965287553902
container,22,0.9954545454545454,1.0,0.00454545454545463,0.9490008108457662,0.9917156032681667,0.042714792422400505,0.9386229131544762,0.9520764225980866,0.013453509443610345,0.8519719297013512,0.8519719297013512,0.0,0.9335116778254595,0.08153974812410836
male,20,0.9734157509157508,1.0,0.026584249084249167,0.6712867166072278,0.7654763511750655,0.09418963456783769,0.6814881663434977,0.7485098216220201,0.06702165527852233,0.7576492703579965,0.7576492703579965,0.0,0.8321605348190013,0.07451126446100487
rock,21,0.9929356357927785,1.0,0.007064364207221452,0.9051676711518138,0.9702366642188881,0.06506899306707425,0.9404980839965053,0.9584601492199696,0.01796206522346433,0.8139831893324911,0.8139831893324911,0.0,0.9097548946736848,0.09577170534119361
suv,22,0.9539059425423062,0.9955060091423727,0.04160006660006654,0.8717102175214433,0.9611917671472451,0.08948154962580179,0.8647125867300894,0.9175173536495077,0.05280476691941827,0.7955062793534897,0.7955062793534897,0.0,0.9016073187296626,0.10610103937617288
tank,20,0.99375,1.0,0.006249999999999978,0.836009813047222,0.9359089349509977,0.0998991219037757,0.861668264539254,0.9138052739263278,0.052137009387073774,0.7674839318139977,0.7674839318139977,0.0,0.8928179564310875,0.12533402461708987
tent,18,1.0,1.0,0.0,0.9536303795275425,0.9909821635040426,0.037351783976500075,0.957697160777931,0.9667444730154067,0.00904731223747568,0.8612400335604916,0.8612400335604916,0.0,0.9254113602927799,0.06417132673228831
tower,13,1.0,1.0,0.0,0.8965187454142972,0.975745504044701,0.07922675863040374,0.9486731800473455,0.962554218733088,0.01388103868574253,0.7350504508194761,0.7350504508194761,0.0,0.8582615240822704,0.12321107326279435
tree,30,0.9966666666666666,1.0,0.0033333333333334103,0.852398333424311,0.9164230740117429,0.0640247405874319,0.9371855854640224,0.9521442464068416,0.014958660942819169,0.7280413805357888,0.7280413805357888,0.0,0.8371607047906547,0.10911932425486592
whitevan,19,0.9732873851294904,0.9988304093567252,0.025543024227234756,0.8932431042239525,0.9791096368487974,0.0858665326248449,0.912145612038438,0.9484143390044505,0.036268726966012466,0.7905367620358892,0.7905367620358892,0.0,0.9053087122389569,0.11477195020306774
