run,class_id,class_name,gt_support,evaluated,tp_at_0.25_iou50,fp_at_0.25_iou50,fn_at_0.25_iou50,precision_at_0.25_iou50,recall_at_0.25_iou50,f1_at_0.25_iou50,ap50
synthetic_only,0,tent,1,True,0,2,1,0.0,0.0,nan,0.0
synthetic_only,1,tank,1,True,0,6,1,0.0,0.0,nan,0.030303030303030304
synthetic_only,2,tower,3,True,0,0,3,nan,0.0,nan,0.0
synthetic_only,3,container,2,True,0,15,2,0.0,0.0,nan,0.004166666666666667
synthetic_only,4,whitevan,33,True,1,2,32,0.3333333333333333,0.030303030303030304,0.05555555555555555,0.024142524142524144
synthetic_only,5,suv,84,True,0,0,84,nan,0.0,nan,0.0
synthetic_only,6,male,13,True,0,9,13,0.0,0.0,nan,0.0
synthetic_only,7,rock,3,True,0,26,3,0.0,0.0,nan,0.0
synthetic_only,8,barrel,2,True,0,0,2,nan,0.0,nan,0.0
synthetic_only,9,tree,2,True,0,7,2,0.0,0.0,nan,0.0
finetuned,0,tent,1,True,1,0,0,1.0,1.0,1.0,1.0
finetuned,1,tank,1,True,1,2,0,0.3333333333333333,1.0,0.5,1.0
finetuned,2,tower,3,True,2,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9166666666666666
finetuned,3,container,2,True,0,1,2,0.0,0.0,nan,0.0
finetuned,4,whitevan,33,True,19,10,14,0.6551724137931034,0.5757575757575758,0.6129032258064515,0.479416923529533
finetuned,5,suv,84,True,42,24,42,0.6363636363636364,0.5,0.56,0.4997654420106179
finetuned,6,male,13,True,4,2,9,0.6666666666666666,0.3076923076923077,0.42105263157894735,0.3155890003716091
finetuned,7,rock,3,True,2,2,1,0.5,0.6666666666666666,0.5714285714285715,0.6555555555555556
finetuned,8,barrel,2,True,2,0,0,1.0,1.0,1.0,1.0
finetuned,9,tree,2,True,1,0,1,1.0,0.5,0.6666666666666666,0.5
