viewpoint,train_images,val_images,test_images
ellow-radnear-az000,141,29,35
ellow-radnear-az045,146,27,32
ellow-radnear-az090,148,25,32
ellow-radnear-az135,148,25,32
ellow-radnear-az180,135,31,39
ellow-radnear-az225,139,30,36
ellow-radnear-az270,150,25,30
ellow-radnear-az315,140,36,29
ellow-radmid-az000,147,27,31
ellow-radmid-az045,143,25,37
ellow-radmid-az090,147,26,32
ellow-radmid-az135,146,29,30
ellow-radmid-az180,152,32,21
ellow-radmid-az225,155,21,29
ellow-radmid-az270,142,37,26
ellow-radmid-az315,152,20,33
ellow-radfar-az000,136,30,39
ellow-radfar-az045,148,35,22
ellow-radfar-az090,140,37,28
ellow-radfar-az135,145,24,36
ellow-radfar-az180,145,35,25
ellow-radfar-az225,141,34,30
ellow-radfar-az270,137,36,32
ellow-radfar-az315,149,28,28
elmid-radnear-az000,148,36,21
elmid-radnear-az045,138,35,32
elmid-radnear-az090,150,24,31
elmid-radnear-az135,142,20,43
elmid-radnear-az180,144,29,32
elmid-radnear-az225,146,34,25
elmid-radnear-az270,134,28,43
elmid-radnear-az315,142,30,33
elmid-radmid-az000,138,25,42
elmid-radmid-az045,135,35,35
elmid-radmid-az090,140,36,29
elmid-radmid-az135,147,38,20
elmid-radmid-az180,149,25,31
elmid-radmid-az225,151,32,22
elmid-radmid-az270,138,27,40
elmid-radmid-az315,146,30,29
elmid-radfar-az000,149,29,27
elmid-radfar-az045,139,36,30
elmid-radfar-az090,139,37,29
elmid-radfar-az135,146,28,31
elmid-radfar-az180,151,28,26
elmid-radfar-az225,133,36,36
elmid-radfar-az270,145,34,26
elmid-radfar-az315,148,31,26
elhigh-radnear-az000,141,30,34
elhigh-radnear-az045,152,30,23
elhigh-radnear-az090,141,36,28
elhigh-radnear-az135,137,36,32
elhigh-radnear-az180,146,28,31
elhigh-radnear-az225,131,38,36
elhigh-radnear-az270,143,32,30
elhigh-radnear-az315,140,36,29
elhigh-radmid-az000,137,25,43
elhigh-radmid-az045,147,28,30
elhigh-radmid-az090,141,30,34
elhigh-radmid-az135,141,34,30
elhigh-radmid-az180,136,39,30
elhigh-radmid-az225,130,39,36
elhigh-radmid-az270,147,31,27
elhigh-radmid-az315,150,31,24
elhigh-radfar-az000,154,22,29
elhigh-radfar-az045,123,43,39
elhigh-radfar-az090,147,29,29
elhigh-radfar-az135,153,27,25
elhigh-radfar-az180,147,33,25
elhigh-radfar-az225,150,28,27
elhigh-radfar-az270,144,31,30
elhigh-radfar-az315,144,31,30
