class_name,factor,level,image_count_all_splits,test_image_count,unique_instances,mean_test_ap50_95
barrel,elevation,high,480,61,20,0.8547
barrel,elevation,low,480,82,20,0.6305
barrel,elevation,mid,480,69,20,0.8482
container,elevation,high,528,85,22,0.9158
container,elevation,low,528,72,22,0.7439
container,elevation,mid,528,80,22,0.8974
male,elevation,high,480,74,20,0.7980
male,elevation,low,480,66,20,0.6071
male,elevation,mid,480,72,20,0.7938
rock,elevation,high,504,75,21,0.9102
rock,elevation,low,504,94,21,0.7033
rock,elevation,mid,504,66,21,0.8810
suv,elevation,high,528,83,22,0.9001
suv,elevation,low,528,80,22,0.5929
suv,elevation,mid,528,78,22,0.8948
tank,elevation,high,480,62,20,0.8966
tank,elevation,low,480,63,20,0.5426
tank,elevation,mid,480,75,20,0.8603
tent,elevation,high,432,63,18,0.9030
tent,elevation,low,432,66,18,0.7819
tent,elevation,mid,432,76,18,0.8895
tower,elevation,high,312,56,13,0.8613
tower,elevation,low,312,60,13,0.6071
tower,elevation,mid,312,49,13,0.7398
tree,elevation,high,720,105,30,0.8513
tree,elevation,low,720,106,30,0.5831
tree,elevation,mid,720,115,30,0.7371
whitevan,elevation,high,456,67,19,0.9016
whitevan,elevation,low,456,55,19,0.5721
whitevan,elevation,mid,456,59,19,0.8829
barrel,radius,far,480,65,20,0.7419
barrel,radius,mid,480,78,20,0.7780
barrel,radius,near,480,69,20,0.7747
container,radius,far,528,73,22,0.8073
container,radius,mid,528,76,22,0.8668
container,radius,near,528,88,22,0.8907
male,radius,far,480,70,20,0.6906
male,radius,mid,480,78,20,0.7669
male,radius,near,480,64,20,0.7517
rock,radius,far,504,70,21,0.7915
rock,radius,mid,504,77,21,0.8215
rock,radius,near,504,88,21,0.8392
suv,radius,far,528,70,22,0.8027
suv,radius,mid,528,82,22,0.8069
suv,radius,near,528,89,22,0.7818
tank,radius,far,480,75,20,0.7657
tank,radius,mid,480,61,20,0.7795
tank,radius,near,480,64,20,0.7707
tent,radius,far,432,69,18,0.8417
tent,radius,mid,432,64,18,0.8535
tent,radius,near,432,72,18,0.8804
tower,radius,far,312,59,13,0.7088
tower,radius,mid,312,48,13,0.7113
tower,radius,near,312,58,13,0.7749
tree,radius,far,720,99,30,0.6684
tree,radius,mid,720,119,30,0.7352
tree,radius,near,720,108,30,0.7620
whitevan,radius,far,456,55,19,0.7460
whitevan,radius,mid,456,58,19,0.8191
whitevan,radius,near,456,68,19,0.8151
barrel,azimuth,000,180,32,20,0.8088
barrel,azimuth,045,180,26,20,0.7373
barrel,azimuth,090,180,26,20,0.7865
barrel,azimuth,135,180,29,20,0.7205
barrel,azimuth,180,180,24,20,0.7088
barrel,azimuth,225,180,30,20,0.7683
barrel,azimuth,270,180,26,20,0.7734
barrel,azimuth,315,180,19,20,0.8316
container,azimuth,000,198,34,22,0.8723
container,azimuth,045,198,29,22,0.8093
container,azimuth,090,198,30,22,0.9079
container,azimuth,135,198,24,22,0.8649
container,azimuth,180,198,34,22,0.8463
container,azimuth,225,198,25,22,0.7814
container,azimuth,270,198,27,22,0.8855
container,azimuth,315,198,34,22,0.8780
male,azimuth,000,180,25,20,0.7489
male,azimuth,045,180,35,20,0.7128
male,azimuth,090,180,33,20,0.6969
male,azimuth,135,180,25,20,0.6928
male,azimuth,180,180,23,20,0.8024
male,azimuth,225,180,20,20,0.7065
male,azimuth,270,180,29,20,0.7464
male,azimuth,315,180,22,20,0.8203
rock,azimuth,000,189,35,21,0.8492
rock,azimuth,045,189,29,21,0.8658
rock,azimuth,090,189,28,21,0.7476
