class_name,instance_id,train,val,test,split_count,image_count
barrel,barrel_1,1,1,1,3,72
barrel,barrel_10,1,1,1,3,72
barrel,barrel_11,1,1,1,3,72
barrel,barrel_12,1,1,1,3,72
barrel,barrel_13,1,1,1,3,72
barrel,barrel_14,1,1,1,3,72
barrel,barrel_15,1,1,1,3,72
barrel,barrel_16,1,1,1,3,72
barrel,barrel_17,1,1,1,3,72
barrel,barrel_18,1,1,1,3,72
barrel,barrel_19,1,1,1,3,72
barrel,barrel_2,1,1,1,3,72
barrel,barrel_20,1,1,1,3,72
barrel,barrel_21,1,1,1,3,72
barrel,barrel_3,1,1,1,3,72
barrel,barrel_4,1,1,1,3,72
barrel,barrel_5,1,1,1,3,72
barrel,barrel_6,1,1,1,3,72
barrel,barrel_7,1,1,1,3,72
barrel,barrel_8,1,1,1,3,72
container,container_1,1,1,1,3,72
container,container_10,1,1,1,3,72
container,container_11,1,1,1,3,72
container,container_12,1,1,1,3,72
container,container_13,1,1,1,3,72
container,container_14,1,1,1,3,72
container,container_15,1,1,1,3,72
container,container_16,1,1,1,3,72
container,container_17,1,1,1,3,72
container,container_18,1,1,1,3,72
container,container_2,1,1,1,3,72
container,container_21,1,1,1,3,72
container,container_22,1,1,1,3,72
container,container_23,1,1,1,3,72
container,container_3,1,1,1,3,72
container,container_30,1,1,1,3,72
container,container_4,1,1,1,3,72
container,container_5,1,1,1,3,72
container,container_6,1,1,1,3,72
container,container_7,1,1,1,3,72
container,container_8,1,1,1,3,72
container,container_9,1,1,1,3,72
male,male_1,1,1,1,3,72
male,male_10,1,1,1,3,72
male,male_11,1,1,1,3,72
male,male_12,1,1,1,3,72
male,male_13,1,1,1,3,72
male,male_14,1,1,1,3,72
male,male_15,1,1,1,3,72
male,male_16,1,1,1,3,72
male,male_17,1,1,1,3,72
male,male_18,1,1,1,3,72
male,male_19,1,1,1,3,72
male,male_2,1,1,1,3,72
male,male_20,1,1,1,3,72
male,male_3,1,1,1,3,72
male,male_4,1,1,1,3,72
male,male_5,1,1,1,3,72
male,male_6,1,1,1,3,72
male,male_7,1,1,1,3,72
male,male_8,1,1,1,3,72
male,male_9,1,1,1,3,72
rock,rock_1,1,1,1,3,72
rock,rock_10,1,1,1,3,72
rock,rock_11,1,1,1,3,72
rock,rock_12,1,1,1,3,72
rock,rock_13,1,1,1,3,72
rock,rock_14,1,1,1,3,72
rock,rock_15,1,1,1,3,72
rock,rock_16,1,1,1,3,72
rock,rock_17,1,1,1,3,72
rock,rock_18,1,1,1,3,72
rock,rock_19,1,1,1,3,72
rock,rock_2,1,1,1,3,72
rock,rock_20,1,1,1,3,72
rock,rock_21,1,1,1,3,72
rock,rock_3,1,1,1,3,72
rock,rock_4,1,1,1,3,72
rock,rock_5,1,1,1,3,72
rock,rock_6,1,1,1,3,72
rock,rock_7,1,1,1,3,72
rock,rock_8,1,1,1,3,72
rock,rock_9,1,1,1,3,72
suv,suv_1,1,1,1,3,72
suv,suv_10,1,1,1,3,72
suv,suv_11,1,1,1,3,72
suv,suv_12,1,1,1,3,72
suv,suv_13_13,1,1,1,3,72
suv,suv_14_17,1,1,1,3,72
suv,suv_15,1,1,1,3,72
suv,suv_16,1,1,1,3,72
suv,suv_17,1,1,1,3,72
suv,suv_18,1,1,1,3,72
suv,suv_19,1,1,1,3,72
suv,suv_2,1,1,1,3,72
suv,suv_20,1,1,1,3,72
suv,suv_21,1,1,1,3,72
suv,suv_22,1,1,1,3,72
suv,suv_3,1,1,1,3,72
suv,suv_4,1,1,1,3,72
suv,suv_5,1,1,1,3,72
suv,suv_6,1,1,1,3,72
suv,suv_7,1,1,1,3,72
suv,suv_8,1,1,1,3,72
suv,suv_9,1,1,1,3,72
tank,tank_1,1,1,1,3,72
tank,tank_10,1,1,1,3,72
tank,tank_11,1,1,1,3,72
tank,tank_12,1,1,1,3,72
tank,tank_13,1,1,1,3,72
tank,tank_14,1,1,1,3,72
tank,tank_15,1,1,1,3,72
tank,tank_16,1,1,1,3,72
tank,tank_17,1,1,1,3,72
tank,tank_18,1,1,1,3,72
tank,tank_19,1,1,1,3,72
tank,tank_2,1,1,1,3,72
tank,tank_20,1,1,1,3,72
tank,tank_3,1,1,1,3,72
tank,tank_4,1,1,1,3,72
tank,tank_5,1,1,1,3,72
tank,tank_6,1,1,1,3,72
tank,tank_7,1,1,1,3,72
tank,tank_8,1,1,1,3,72
tank,tank_9,1,1,1,3,72
tent,tent_1,1,1,1,3,72
tent,tent_10,1,1,1,3,72
tent,tent_11,1,1,1,3,72
tent,tent_12,1,1,1,3,72
tent,tent_13,1,1,1,3,72
tent,tent_14,1,1,1,3,72
tent,tent_15,1,1,1,3,72
tent,tent_16,1,1,1,3,72
